canonical_communication_id	species_scope	ligand_name	receptor_name	normalized_ligand_name	normalized_receptor_name	communication_kind	evidence_status	source_method_count	source_record_count	source_methods_json	normalization_notes
MSCICOMM-5c774c9aa3f9a0e77c01fd9c	mouse	2300002M23Rik	Ddr1	2300002M23Rik	Ddr1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-68a6369869a32f4b648fbbf1	mouse	2610528A11Rik	Gpr15	2610528A11Rik	Gpr15	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-297c74880cd392292fe3714e	mouse	9530003J23Rik	Itgal	9530003J23Rik	Itgal	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-327d9dfa5e84612c5c8f7ea5	mouse	A2m	Klk1	A2m	Klk1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-27b539e8136e4f215afcd770	mouse	A2m	Klk1b1	A2m	Klk1b1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-3902e3d1f42945f26ced8a4e	mouse	A2m	Klk1b11	A2m	Klk1b11	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-e6b9ac03f627509fbc526d0a	mouse	A2m	Klk1b16	A2m	Klk1b16	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-e74ae449e27a8647fcc59ec8	mouse	A2m	Klk1b21	A2m	Klk1b21	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-ae2610e6337a3430b3406652	mouse	A2m	Klk1b22	A2m	Klk1b22	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-77195ec74ca9b107358b6400	mouse	A2m	Klk1b24	A2m	Klk1b24	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-fe2bd401a1816a31bf649552	mouse	A2m	Klk1b26	A2m	Klk1b26	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-8f42c61aa6e348e76cea60ff	mouse	A2m	Klk1b27	A2m	Klk1b27	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-a1defed2f24b32d4852ffa4a	mouse	A2m	Klk1b3	A2m	Klk1b3	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7fa3c54956de00e2206d9c4f	mouse	A2m	Klk1b4	A2m	Klk1b4	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-5e5673198c3ec910a09cde9e	mouse	A2m	Klk1b5	A2m	Klk1b5	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-c10f30beeda3acb363518613	mouse	A2m	Klk1b8	A2m	Klk1b8	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-42051a6ddbacf5fd6a14532b	mouse	A2m	Klk1b9	A2m	Klk1b9	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
