b_edge_id	source_entity	target_entity	relation_type	confidence_tier	evidence_layer	edge_status	exportable	register_pathway_name	pathway_family	family_label	assignment_status	assignment_basis	pathway_claim_boundary
M20B-E000001	12oxoLTB4-PTGR1	Ltb4r1	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000002	12oxoLTB4-PTGR1	Ltb4r2	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000003	22HC-CYP11A1	Nr1h4	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000004	22HC-CYP3A4	Nr1h4	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000005	2AG-DAGLA	Cnr1	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000006	2AG-DAGLA	Cnr2	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000007	2AG-DAGLA	Gpr55	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000008	2AG-DAGLB	Cnr1	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000009	2AG-DAGLB	Cnr2	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000010	2AG-DAGLB	Gpr55	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000011	5-HT-DOPA-DDC	Drd1	engages	uncertain	ligand_receptor_or_direct_molecular	frozen_lr_supported	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	direct molecular candidate lacks medium/high confidence tier	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000012	5-HT-DOPA-DDC	Drd2	engages	uncertain	ligand_receptor_or_direct_molecular	frozen_lr_supported	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	direct molecular candidate lacks medium/high confidence tier	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000013	5-HT-DOPA-DDC	Drd3	engages	uncertain	ligand_receptor_or_direct_molecular	frozen_lr_supported	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	direct molecular candidate lacks medium/high confidence tier	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000014	5-HT-DOPA-DDC	Drd4	engages	uncertain	ligand_receptor_or_direct_molecular	frozen_lr_supported	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	direct molecular candidate lacks medium/high confidence tier	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000015	5-HT-DOPA-DDC	Drd5	engages	uncertain	ligand_receptor_or_direct_molecular	frozen_lr_supported	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	direct molecular candidate lacks medium/high confidence tier	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000016	5-HT-DOPA-DDC	Htr1a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000017	5-HT-DOPA-DDC	Htr1b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000018	5-HT-DOPA-DDC	Htr1d	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000019	5-HT-DOPA-DDC	Htr1f	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000020	5-HT-DOPA-DDC	Htr2a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000021	5-HT-DOPA-DDC	Htr2b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000022	5-HT-DOPA-DDC	Htr2c	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000023	5-HT-DOPA-DDC	Htr3a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000024	5-HT-DOPA-DDC	Htr3b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000025	5-HT-DOPA-DDC	Htr4	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000026	5-HT-DOPA-DDC	Htr5a	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000027	5-HT-DOPA-DDC	Htr6	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000028	5-HT-DOPA-DDC	Htr7	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000029	5-HT-TPH1_SLC18A1	Htr1a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000030	5-HT-TPH1_SLC18A1	Htr1b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000031	5-HT-TPH1_SLC18A1	Htr1d	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000032	5-HT-TPH1_SLC18A1	Htr1e	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000033	5-HT-TPH1_SLC18A1	Htr1f	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000034	5-HT-TPH1_SLC18A1	Htr2a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000035	5-HT-TPH1_SLC18A1	Htr2b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000036	5-HT-TPH1_SLC18A1	Htr2c	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
