expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	intracellular_tf_edge_id	tf_target_edge_id	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0795	M21B-DOWNSTREAM:00169	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10149	SEMA3C	M21B-E000473	NODE09116	PLXNB1									SEMA3C-PLXNB1-associated RTK phosphorylation, activation and prostate-cancer growth output			SEMA3C-PlexinB1-receptor	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000473;M21B-EVID-000416;M21B-DOWNSTREAM-EVID:000288;PMCID:PMC5801490	M21B-DOWNSTREAM-EVID:000288	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0795	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	human	Human DU145/LNCaP prostate-cancer cells; SEMA3C-Fc cell-surface association and binding, PLXNB1 knockdown/decoy, RTK phosphorylation and xenograft assays	Extracellular SEMA3C engagement of PLXNB1 or a receptor complex with RTK activation output; intracellular relay is not assigned	No SCI transfer inferred; primary cancer-cell model context only	Primary evidence supports a SEMA3C-PLXNB1-associated activation/output annotation without inferring a complete intracellular chain or terminal TF.	SEMA3C-Fc PLA and alkaline-phosphatase binding, PLXNB1 knockdown/decoy, RTK phosphorylation and xenograft function	activating	direct_edge	PMCID:PMC5801490	Primary SEMA3C-PlexinB1 cell-surface association and RTK-activation study	Primary-supported evidence links SEMA3C-PLXNB1 cell-surface association to receptor-dependent RTK activation and prostate-cancer growth; intracellular continuation and TF layers remain unresolved.	Preserve secreted/processed SEMA3C, possible NRP1/2 dependence and cancer-cell context; do not infer a universal semaphorin receptor complex or CNS/SCI relay.	curated_primary_route	LITEXP:000795
M21B-LITEXP-0796	M21B-DOWNSTREAM:00176	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10149	SEMA3C	M21B-E000493	NODE08302	NRP1:PlexinD1 receptor complex									SEMA3C-NRP1:PlexinD1-associated endothelial migration, junction, focal-adhesion and angiogenesis output			SEMA3C-NRP1-PlexinD1-signaling	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000493;M21B-EVID-000436;M21B-DOWNSTREAM-EVID:000298;PMID:26194913	M21B-DOWNSTREAM-EVID:000298	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0796	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human; mouse; rat	Human endothelial-cell assays with recombinant Sema3C and Nrp1/PlexinD1 perturbation; mouse oxygen-induced retinopathy model; endothelial migration, junction, focal-adhesion and angiogenesis readouts	Extracellular SEMA3C engagement of the NRP1:PlexinD1 holoreceptor; intracellular relay is not assigned	No SCI transfer inferred; endothelial/retinal model context only	Primary evidence supports a SEMA3C-NRP1:PlexinD1 complex-level functional output while intracellular continuation and TF layers remain unresolved.	Recombinant Sema3C, Nrp1/PlexinD1 perturbation, endothelial migration, junction, focal-adhesion and angiogenesis assays	activating	direct_edge	PMID:26194913	Primary Sema3C-NRP1-PlexinD1 endothelial and pathological-angiogenesis study	Primary evidence supports Sema3C signaling through NRP1 and PlexinD1 in endothelial and retinal angiogenesis models, with migration, junction, focal-adhesion and angiogenesis readouts; the route retains the functional output without assigning a complete intracellular chain or TF.	Preserve NRP1/PlexinD1 holoreceptor topology, secreted SEMA3C processing and inhibitory angiogenesis function in this context; do not treat SEMA3C as a direct autonomous PlexinD1 ligand or infer SCI relevance.	curated_primary_route	LITEXP:000796
M21B-LITEXP-0797	M21B-DOWNSTREAM:00213	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor	not_assayed	NODE10201	SEMA7A	M21B-E000570	NODE09123	PLXNC1									SEMA7A-PLXNC1 receptor-binding and complex-associated output annotation			SEMA7A-PLXNC1-guidance-immune	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000570;M21B-EVID-000513;M21B-DOWNSTREAM-EVID:000352;PMID:10520995;PMCID:PMC2936782	M21B-DOWNSTREAM-EVID:000352	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0797	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	gene_expression_or_transcription	human	Human plexin expression-cloning and alkaline-phosphatase ligand-binding assays; recombinant SEMA7A/PlexinC1 ectodomains with ITC and complex-structure analysis	GPI-anchored or soluble SEMA7A association with PlexinC1; intracellular relay and terminal gene output are not assigned	No SCI transfer inferred; receptor-binding and structural assay context only	Primary evidence supports the SEMA7A-PLXNC1 receptor-binding layer; the source output annotation is retained without inferring a downstream TF or gene target.	Plexin expression-cloning and alkaline-phosphatase ligand-binding assays; recombinant ectodomain ITC and complex-structure analysis	activating	direct_edge	PMID:10520995; PMCID:PMC2936782	Primary SEMA7A-PlexinC1 expression-cloning and structural-binding evidence	Primary evidence identifies PlexinC1 as a SEMA7A receptor context and provides ligand-binding/complex evidence; no intracellular continuation, TF or terminal gene-expression experiment is assigned to this route.	Preserve GPI-anchored/soluble SEMA7A and PlexinC1 context; the gene-expression/transcription label is inherited from the source record and is not a claim of a measured terminal target gene. Do not infer a universal intracellular pathway or SCI relevance.	curated_primary_route	LITEXP:000797
M21B-LITEXP-0798	M21B-DOWNSTREAM:00214	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10201	SEMA7A	M21B-E000571	NODE05926	ITGB1									SEMA7A-ITGB1-associated melanocyte spreading, dendricity and axon-outgrowth output			SEMA7A-ITGB1-integrin-guidance	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000571;M21B-EVID-000514;M21B-DOWNSTREAM-EVID:000353;PMID:17671519;PMID:12879062	M21B-DOWNSTREAM-EVID:000353	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0798	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human	Human melanocytes with SEMA7A stimulation, beta1-integrin and PlexinC1 perturbation, spreading/dendricity readouts; embryonic neural explants with integrin-dependent axon-outgrowth assays	Extracellular SEMA7A association with a beta1-integrin-containing receptor context; intracellular relay is not assigned	No SCI transfer inferred; melanocyte and embryonic neural-explant model contexts only	Primary evidence supports an SEMA7A-beta1-integrin-associated functional output while preserving the heterodimer and cell-context boundary.	SEMA7A stimulation, beta1-integrin/PlexinC1 perturbation, spreading/dendricity and integrin-dependent axon-outgrowth assays	activating	direct_edge	PMID:17671519; PMID:12879062	Primary SEMA7A beta1-integrin spreading and axon-outgrowth evidence	Primary evidence supports beta1-integrin involvement in SEMA7A-dependent spreading, dendricity and axon-outgrowth responses; intracellular continuation and terminal TF layers remain unresolved.	ITGB1 is an integrin subunit and may represent multiple beta1 heterodimers; preserve heterodimer and cell-context boundaries and do not infer an autonomous ITGB1 relay.	curated_primary_route	LITEXP:000798
M21B-LITEXP-0799	M21B-DOWNSTREAM:00215	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10176	SEMA4D	M21B-E000572	NODE09117	PLXNB2									SEMA4D-PLXNB2-associated embryonic DRG neurite-outgrowth modulation output			SEMA4D-PLXNB2-guidance	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000572;M21B-EVID-000515;M21B-DOWNSTREAM-EVID:000354;PMID:15330859	M21B-DOWNSTREAM-EVID:000354	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0799	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human; mouse	Mouse SEMA4D-alkaline-phosphatase binding to human Plexin-B2-transfected cells and membrane-fraction inhibition of embryonic DRG neurite-outgrowth responses	Extracellular SEMA4D association with PLXNB2 in a receptor-candidate context; intracellular relay is not assigned	No SCI transfer inferred; embryonic DRG guidance model context only	Primary evidence supports a SEMA4D-PLXNB2-associated neurite-outgrowth modulation annotation without promoting an unqualified Plexin-B2 signaling chain.	SEMA4D-alkaline-phosphatase binding to PLXNB2-transfected cells and membrane-fraction neurite-outgrowth assay	activating	direct_edge	PMID:15330859	Primary SEMA4D-PlexinB2 binding and embryonic DRG neurite-outgrowth study	Primary evidence supports SEMA4D binding to Plexin-B2 in receptor-transfected cells and Plexin-B2-associated modulation of embryonic DRG neurite outgrowth; intracellular continuation and TF layers remain unresolved.	Preserve Plexin-B2 receptor-candidate wording and embryonic DRG guidance context, including the distinction from established high-affinity Plexin-B1; do not infer SCI relevance.	curated_primary_route	LITEXP:000799
M21B-LITEXP-0800	M21B-DOWNSTREAM:00326	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|gene_expression_or_transcription	intracellular_continuation|transcription_factor	not_assayed	NODE10159	SEMA3G	M21B-E000830	NODE08325	NRP2:PlexinD1 receptor complex									SEMA3G-NRP2:PlexinD1-associated lymphatic endothelial collapse, branching and artery-lymph alignment output			SEMA3G-NRP2-PlexinD1-lymphatic-guidance	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000830;M21B-EVID-000773;M21B-DOWNSTREAM-EVID:000547;PMID:27880905	M21B-DOWNSTREAM-EVID:000547	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0800	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	gene_expression_or_transcription	human; mouse	Mouse embryonic back-skin lymphatic endothelial cells and embryos; human dermal lymphatic endothelial cells; NRP2/PlexinD1 co-expression, siRNA/blockade, collapse and branching/alignment readouts	Extracellular SEMA3G association with the NRP2:PlexinD1 complex; intracellular relay is not assigned	No SCI transfer inferred; lymphatic endothelial and embryonic patterning context only	Primary evidence supports a SEMA3G-NRP2:PlexinD1 complex-level lymphatic-guidance output without inferring a terminal gene target or TF.	Nrp2/PlexinD1 co-expression, siRNA/blockade, Sema3G or PlexinD1 loss, collapse and lymphatic branching/alignment readouts	activating	direct_edge	PMID:27880905	Primary Sema3G-NRP2-PlexinD1 lymphatic-patterning study	Primary evidence supports Sema3G-dependent endothelial collapse and lymphatic patterning requiring the NRP2/PlexinD1 complex, with branching and artery-lymph alignment outputs; intracellular continuation and TF layers remain unresolved.	Promote at the NRP2/PlexinD1 complex and lymphatic-guidance function layer; do not describe PlexinD1 as a direct Sema3G-binding receptor or infer CNS/SCI weighting. The source gene-expression label does not establish a measured terminal target gene.	curated_primary_route	LITEXP:000800
M21B-LITEXP-0801	M21B-DOWNSTREAM:00327	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10159	SEMA3G	M21B-E000833	NODE08324	NRP2:PlexinA4 receptor complex									SEMA3G-NRP2:PlexinA4-associated Rac1 activation, dendritic-spine and excitatory-transmission output			SEMA3G-NRP2-PlexinA4-hippocampal-synapse	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E000833;M21B-EVID-000776;M21B-DOWNSTREAM-EVID:000548;PMID:30685224	M21B-DOWNSTREAM-EVID:000548	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0801	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	mouse; rat	Mouse endothelial Sema3G conditional knockout/rescue and hippocampal neuronal models; rat primary neurons; HEK293 receptor/ligand assays; NRP2/PlexinA4 perturbation, Rac1, dendritic-spine and excitatory-transmission readouts	Extracellular SEMA3G association with the NRP2:PlexinA4 complex; intracellular relay is not assigned	No SCI transfer inferred; endothelial-to-hippocampal paracrine and synaptic model contexts only	Primary evidence supports a SEMA3G-NRP2:PlexinA4 complex-level activation and synaptic-function output without inferring a terminal TF.	Endothelial Sema3G conditional knockout/rescue, Nrp2/PlexinA4 perturbation, Rac1, dendritic-spine and excitatory-transmission assays	activating	direct_edge	PMID:30685224	Primary SEMA3G-NRP2-PlexinA4 hippocampal synaptic-function study	Primary evidence supports endothelial SEMA3G-dependent excitatory synapse density and hippocampal plasticity requiring NRP2/PlexinA4 signaling, with Rac1 activation as a downstream readout; intracellular continuation and TF layers remain unresolved.	Promote at the NRP2/PlexinA4 complex and hippocampal synaptic-function layer; preserve endothelial-to-neuronal paracrine context, do not claim direct SEMA3G binding to PlexinA4, and do not infer SCI weighting or terminal-TF status.	curated_primary_route	LITEXP:000801
M21B-LITEXP-0802	M21B-DOWNSTREAM:01545	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10157	SEMA3F	M21B-E005100	NODE08322	NRP2/Neuropilin-2:PLXNA3/PlexinA3 receptor complex									SEMA3F-NRP2:PLXNA3-associated cortical, oligodendrocyte-precursor and axon-guidance functional output			SEMA3F-NRP2-PLXNA3-holoreceptor	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E005100;M21B-EVID-005043;M21B-DOWNSTREAM-EVID:002437;PMID:20010807;PMID:23063687;PMID:11683995	M21B-DOWNSTREAM-EVID:002437	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0802	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	mouse; rat	Mouse cortical neurons/brain slices and knockout mice; neonatal rat oligodendrocyte precursor cultures with NRP2/PlexinA3 expression and siRNA perturbation; PlexinA3 knockout axon-guidance models	Extracellular SEMA3F association with the NRP2:PLXNA3 holoreceptor; intracellular relay is not assigned	No SCI transfer inferred; CNS development and oligodendrocyte-precursor model contexts only	Primary genetic and perturbation evidence supports a SEMA3F-NRP2:PLXNA3 complex-level functional output without inferring a direct binary ligand interface or terminal TF.	NRP2/PlexinA3 expression and siRNA perturbation, SEMA3F migration, cortical/brain-slice and knockout, and PlexinA3 axon-guidance assays	activating	direct_edge	PMID:20010807; PMID:23063687; PMID:11683995	Primary CNS and oligodendrocyte-precursor SEMA3F-NRP2/PlexinA3 evidence	Primary CNS studies support SEMA3F-dependent synaptic, oligodendrocyte-precursor and axon-guidance responses requiring NRP2/PlexinA3 receptor components; intracellular continuation and TF layers remain unresolved.	Promote only the SEMA3F-NRP2/PLXNA3 complex-level functional edge; support is genetic/perturbation-based rather than purified ternary binding, so do not infer a direct SEMA3F-PLXNA3 binary interface, SCI outcome or terminal-TF output.	curated_primary_route	LITEXP:000802
M21B-LITEXP-0803	M21B-DOWNSTREAM:01548	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10157	SEMA3F	M21B-E005103	NODE08320	NRP2/Neuropilin-2:PLXNA1/PlexinA1 receptor complex									SEMA3F-NRP2:PLXNA1-associated RhoA, cytoskeletal-collapse and migration output			SEMA3F-NRP2-PLXNA1-holoreceptor	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E005103;M21B-EVID-005046;M21B-DOWNSTREAM-EVID:002441;PMID:18660502;PMCID:PMC2555994	M21B-DOWNSTREAM-EVID:002441	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0803	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	cellular_functional_readout	human	Human U87MG glioma cells and HUVEC; SEMA3F stimulation; NRP2/PlexinA1 co-immunoprecipitation, PlexinA1 cytoplasmic deletion, ABL2/p190RhoGAP knockdown, RhoA, cytoskeleton-collapse and migration assays	Extracellular SEMA3F association with the NRP2:PLXNA1 holoreceptor; intracellular relay is not assigned	No SCI transfer inferred; human glioma and endothelial model contexts only	Primary evidence supports a SEMA3F-NRP2:PLXNA1 complex-level cytoskeletal and migration output without inferring a complete intracellular chain or TF.	NRP2/PlexinA1 co-immunoprecipitation, PlexinA1 cytoplasmic deletion, ABL2/p190RhoGAP knockdown, RhoA, cytoskeleton-collapse and migration assays	activating	direct_edge	PMID:18660502; PMCID:PMC2555994	Primary SEMA3F-NRP2/PlexinA1 complex and cytoskeletal-response study	Primary evidence supports SEMA3F-dependent NRP2/PlexinA1 complex formation and receptor-dependent RhoA, cytoskeletal-collapse and migration responses; intracellular continuation and TF layers remain unresolved.	Promote only the SEMA3F-NRP2/PLXNA1 complex-level activation/function edge; preserve NRP2 as ligand-binding component, PlexinA1 as signal-transducing component and human tumor/endothelial context. Do not infer purified ternary stoichiometry, SCI relevance or terminal-TF output.	curated_primary_route	LITEXP:000803
M21B-LITEXP-0804	M21B-DOWNSTREAM:01561	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor	not_assayed	NODE10155	SEMA3E	M21B-E005124	NODE09126	PLXND1/PlexinD1:NRP1/Neuropilin-1:VEGFR2/KDR receptor complex									SEMA3E-PLXND1:NRP1:VEGFR2-associated VEGFR2 phosphorylation, PI3K/Akt and axonal-growth output			SEMA3E-PLXND1-NRP1-VEGFR2-axonal-growth	primary_literature_route_expansion	primary_receptor_output_annotation	M21B-E005124;M21B-EVID-005067;M21B-DOWNSTREAM-EVID:002459;PMID:20434998;DOI:10.1016/j.neuron.2010.04.006	M21B-DOWNSTREAM-EVID:002459	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0804	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	assay_or_readout_term	phosphorylation_or_activation_readout	mouse	Mouse embryonic subicular neurons and developing brain/fornix; recombinant Sema3E; PlexinD1/NRP1/VEGFR2 association and immunoprecipitation, VEGFR2 phosphorylation, PI3K/Akt inhibition and axonal-growth assays	Extracellular SEMA3E association with the PLXND1:NRP1:VEGFR2 receptor complex; intracellular relay is not assigned	No SCI transfer inferred; developing subicular-axon model context only	Primary evidence supports a SEMA3E-PLXND1:NRP1:VEGFR2 complex-level activation and axonal-growth output without inferring a terminal TF.	PlexinD1/NRP1/VEGFR2 association and immunoprecipitation, VEGFR2 phosphorylation, PI3K/Akt inhibition and axonal-growth assays	activating	direct_edge	PMID:20434998; DOI:10.1016/j.neuron.2010.04.006	Primary Sema3E-PlexinD1-NRP1-VEGFR2 axonal-growth study	Primary evidence supports a Sema3E receptor complex containing PlexinD1 and NRP1 with VEGFR2-associated phosphorylation and PI3K/Akt-linked axonal growth in developing subicular neurons; intracellular continuation and TF layers remain unresolved.	Promote only the Sema3E-PLXND1/NRP1/VEGFR2 tripartite receptor-complex context; preserve PlexinD1 as ligand-binding component and VEGFR2 as signal-transducing subunit. Do not collapse this into a binary SEMA3E-PLXND1 route, infer VEGF ligand dependence, CNS-injury transfer or terminal-TF output.	curated_primary_route	LITEXP:000804
