repository_root	relative_path	module	register_edge_id	register_evidence_id	matched_identifier_type	matched_identifier_value	match_method	crosswalk_status	notes
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B222_PMC3081198_ESELECTIN_CD44_fulltext.html	20B	M20B-E004804	M20B-EVID-004804-P2-DIRECT	PMCID	PMC3081198	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B222_PMC3081198_ESELECTIN_CD44_fulltext.html	20B	M20B-E004804	M20B-EVID-004804-P2-RELAY	PMCID	PMC3081198	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B222_PMC3081198_ESELECTIN_CD44_fulltext.html	20B	M20B-E004804	M20B-EVID-004804-P2-FUNC	PMCID	PMC3081198	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B059_pmc3183016_sdc2_ptprj_full.xml	20B	M20B-E004802	M20B-EVID-004802-P2-DIRECT	PMCID	PMC3183016	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B059_pmc3183016_sdc2_ptprj_full.xml	20B	M20B-E004802	M20B-EVID-004802-P2-RELAY	PMCID	PMC3183016	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B059_pmc3183016_sdc2_ptprj_full.xml	20B	M20B-E004802	M20B-EVID-004802-P2-FUNC	PMCID	PMC3183016	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema6D_PMC2268573_fulltext.xml	20B	M20B-E004876	M20B-EVID-004876-P2-DIRECT-FT	PMCID	PMC2268573	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema6D_PMC2268573_fulltext.xml	20B	M20B-E004876	M20B-EVID-004876-P2-RELAY-FT	PMCID	PMC2268573	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema6D_PMC2268573_fulltext.xml	20B	M20B-E004876	M20B-EVID-004876-P2-FUNC-FT	PMCID	PMC2268573	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B267_PMID16672230_pubmed.xml	20B	M20B-E004265	M20B-EVID-004265-P2-DIRECT	PMID	16672230	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B175_PMID16517605_MIA_pubmed.xml	20B	M20B-E004244	M20B-EVID-004244-P2-DIRECT	PMID	16517605	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B175_PMID16517605_MIA_pubmed.xml	20B	M20B-E004244	M20B-EVID-004244-P2-RELAY	PMID	16517605	filename_locator_token	filename_token_candidate	Conservative candidate link only; filename token does not by itself validate or promote biological evidence.
