repository_root	relative_path	identifier_type	identifier_value	match_scope
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M21B_11416133_PMC87113.json	PMCID	PMC87113	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_16718380_PMC2441693.json	PMCID	PMC2441693	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_20456019_PMC2928856.json	PMCID	PMC2928856	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_28811323_PMC5626396.json	PMCID	PMC5626396	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_28878115_PMC5621925.json	PMCID	PMC5621925	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M24B_18059327_PMC2241786.json	PMCID	PMC2241786	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M24B_20304963_PMC2861100.json	PMCID	PMC2861100	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M24B_34993473_PMC8728726.json	PMCID	PMC8728726	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M24B_41390852_PMC12717188.json	PMCID	PMC12717188	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M24B_41660680_PMC12884443.json	PMCID	PMC12884443	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/PMC2614630_PROS1_MERTK_primary.xml	PMCID	PMC2614630	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/PMC3716315_full_text.html	PMCID	PMC3716315	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/PMC3738877_bioc.json	PMCID	PMC3738877	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/PMC3742533_bioc.json	PMCID	PMC3742533	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/PMC9065593_PROS1_TYRO3_primary.xml	PMCID	PMC9065593	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap001/gdf11_alk5_acvr2b_PMID16845371.xml	PMID	16845371	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap001/gdf5_bmpr1b_acvr2a_PMID8702914.xml	PMID	8702914	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap001/neurexin_latrophilin1_PMID22262843.xml	PMID	22262843	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_PMID26124272.xml	PMID	26124272	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_mouse_PMID10601352.xml	PMID	10601352	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap001/sema7a_itga1_PMID17377534.xml	PMID	17377534	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap004/PMC2080618_oa.xml	PMCID	PMC2080618	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap004/PMC327120_fulltext.xml	PMCID	PMC327120	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap004/PMC5017282_idconv.json	PMCID	PMC5017282	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap012/PMC2839190.json	PMCID	PMC2839190	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap013/PMC2993182.json	PMCID	PMC2993182	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap030/PMC12017343.xml	PMCID	PMC12017343	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap030/PMC1573530.xml	PMCID	PMC1573530	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap030/PMC6416418.xml	PMCID	PMC6416418	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap048/PMID15923613.xml	PMID	15923613	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap048/PMID29925589.xml	PMID	29925589	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap050/PMC3499309_fulltext.xml	PMCID	PMC3499309	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap050/PMID22568954_Figure1.jpg	PMID	22568954	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/gap054/PMC6525020_fulltext.json	PMCID	PMC6525020	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC10050359_full.xml	PMCID	PMC10050359	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC11430182_full.xml	PMCID	PMC11430182	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC12017343_full.xml	PMCID	PMC12017343	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC3842941_full.xml	PMCID	PMC3842941	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml	PMCID	PMC4176247	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC5580235_core.json	PMCID	PMC5580235	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC6587955_full.xml	PMCID	PMC6587955	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/module20b_pmid10433822.xml	PMID	10433822	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMC6545341_full.xml	PMCID	PMC6545341	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID11706020_europepmc.xml	PMID	11706020	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID12486876_europepmc.xml	PMID	12486876	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID14675174_europepmc.xml	PMID	14675174	filename
