repository_root	relative_path	sha256	byte_size	file_extension	artifact_role	scan_version
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M21B_11416133_PMC87113.json	3acc5f4c51ec704cd708d3379196db9f66442a96c9bf275773710e0de0196b52	6148	json	full_text_or_bioc_json	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M21B_batch001_pubmed.xml	8d2950edfaf43808f396e50494b4c1df063558ea1a3f979868e039bf03915950	62143	xml	literature_xml	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_16718380_PMC2441693.json	3acc5f4c51ec704cd708d3379196db9f66442a96c9bf275773710e0de0196b52	6148	json	full_text_or_bioc_json	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_20456019_PMC2928856.json	aa3dbfa446db803afc1164d35386bca374bba66aea2c67e2a7a6ca18fa36e1c5	78615	json	full_text_or_bioc_json	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_28811323_PMC5626396.json	0da31045e4910749f8ffd08c8483902d04576991e2b31d9a6db82aa2d14935ef	94393	json	full_text_or_bioc_json	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_28878115_PMC5621925.json	3acc5f4c51ec704cd708d3379196db9f66442a96c9bf275773710e0de0196b52	6148	json	full_text_or_bioc_json	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M22B_batch001_pubmed.xml	0db3c98b2fc57552a0e094c441d4ff51fea6c1b91c0d54a234a7f4cd31f654c4	129961	xml	literature_xml	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M23B_batch001_1_10_1016_j_expneurol_2022_114264.html	9a56fe507457cd3f1e8c0bf1cd5ddf6fbcddb85d8921b3e09a810c793647e6d7	2721	html	full_text_html	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M23B_batch001_2_10_1089_neu_2019_6540.html	c8f6b670d39d4ce77757469b82b4fdb65c0f46deb86204bd8a1770412849729a	5528	html	full_text_html	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M23B_batch001_3_10_1016_j_nbd_2018_04_014.html	6de274419cc8a07d89f00b61e28c8f58f1bb8e87847e4612750bf2620d603e21	2695	html	full_text_html	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M23B_batch001_4_10_1016_j_jmbbm_2020_103953.html	a72cdc54c93ed19fe9bce606508b3671daaac9814bf493e6107d482ed6f4c45e	2745	html	full_text_html	module20_24_artifact_scan_v1
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/M24B_18059327_PMC2241786.json	3acc5f4c51ec704cd708d3379196db9f66442a96c9bf275773710e0de0196b52	6148	json	full_text_or_bioc_json	module20_24_artifact_scan_v1
