expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	primary_locator	citation_note	evidence_summary	limitations	curation_status	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	route_evidence_id
M21B-LITEXP-4224	M21B-DOWNSTREAM:00005	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE08845	PDGFB/PDGF-BB	M21B-E000182	NODE08864	PDGFRB receptor dimer	M21B-E000142	NODE10303	SHP2/PTPN11									PDGFRB Y1009-SHP2-FAK-associated membrane ruffling and migration output			PDGFRB-SHP2-FAK-migration	primary_literature_route_expansion	primary_receptor_proximal_and_migration_output	M21B-E000182;M21B-E000142;M21B-EVID-000085;M21B-DOWNSTREAM-EVID:000012;M21B-DOWNSTREAM-EVID:000013;PMID:7691811;PMID:10318871	M21B-LITEXP-4224	M21B-DOWNSTREAM-EVID:000012	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:PDGFRB;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:7691811; PMID:10318871	Primary PDGFRbeta Y1009/SHP2 studies measuring phosphatase, FAK, membrane-ruffling and PDGF-directed migration outputs.	Primary-supported claim: PDGFRbeta phosphotyrosine docking for SHP2 and Y1009-dependent migration studies support a bounded PDGFRB-SHP2-FAK branch. Primary model/assay: human PDGFRbeta phosphotyrosyl peptide competition and immunoprecipitation systems; PDGFRbeta-expressing cells with Y1009F receptor, SHP2 activity, FAK activity, membrane ruffling and PDGF-directed migration.	Preserve the Y1009 docking and SHP2-dependent migration branch; do not infer SCI/pericyte receiver attribution or claim that SHP2 is a kinase. TF and target-gene layers remain unresolved.	curated_primary_route	human; rat	Human PDGFRbeta phosphotyrosyl peptide competition and immunoprecipitation systems; PDGFRbeta-expressing cells with Y1009F receptor; SHP2 activity, FAK activity, membrane ruffling and PDGF-directed migration	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary PDGFB-PDGFRB Y1009-SHP2-FAK migration branch; terminal TF and target gene unresolved	PDGFRbeta Y1009F, phosphotyrosyl peptide competition, SHP2/FAK activity, membrane ruffling and migration assays	activating	direct_edge	LITEXP:000105
M21B-LITEXP-4225	M21B-DOWNSTREAM:00006	retained_evidence_route	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|output	transcription_factor|target_gene_expression	explicit_receptor_proximal_edge	NODE08845	PDGFB/PDGF-BB	M21B-E000182	NODE08864	PDGFRB receptor dimer	M21B-E000143	NODE09095	PLCgamma1/PLCG1									PDGFRB Y1021-PLCG1-associated inositol-phosphate and DNA-synthesis output			PDGFRB-PLCG1-IP3-mitogenesis	primary_literature_route_expansion	primary_receptor_proximal_and_activation_output	M21B-E000182;M21B-E000143;M21B-EVID-000086;M21B-DOWNSTREAM-EVID:000014;M21B-DOWNSTREAM-EVID:000015;PMID:7678051	M21B-LITEXP-4225	M21B-DOWNSTREAM-EVID:000014	literature_expansion:lr_pair_resolved_by_receptor_identity_alias:PDGFRB;receptor_proximal_evidence_remains_context_bound	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	PMID:7678051	Primary PDGFRbeta Y1021 receptor-mutant study mapping PLCgamma association, phosphorylation, inositol-phosphate and DNA-synthesis readouts.	Primary-supported claim: PDGFRbeta docking and PLCgamma recruitment studies support a Y1021-dependent association and inositol-phosphate response. Primary model/assay: PDGFRbeta receptor mutants in mammalian receptor-expression systems with PDGF stimulation, PLCgamma association/tyrosine phosphorylation, inositol-phosphate production and DNA-synthesis readouts.	Preserve the Y1021-dependent docking/function branch and receptor-site/cell-system context; do not infer a unique downstream fate from PLCgamma alone. TF and target-gene layers remain unresolved.	curated_primary_route	as stated in primary model/assay	PDGFRbeta receptor mutants in mammalian receptor-expression systems; PDGF stimulation; PLCgamma association/tyrosine phosphorylation, inositol-phosphate production and DNA-synthesis readouts	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary PDGFB-PDGFRB Y1021-PLCG1 branch; terminal TF and target gene unresolved	PDGFRbeta receptor mutants, PDGF stimulation, PLCgamma association/phosphorylation, inositol-phosphate and DNA-synthesis assays	activating	direct_edge	LITEXP:000106
M21B-LITEXP-4226	M21B-DOWNSTREAM:00007	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE04761	HMGB1 (disulfide isoform)	M21B-E000144	NODE06883	MD-2/TLR4 receptor complex												Disulfide-HMGB1-MD2/TLR4-associated NF-kB p65 and TNF release output			HMGB1-MD2-TLR4-NFKB	primary_literature_route_expansion	primary_ligand_receptor_and_cytokine_output	M21B-E000144;M21B-EVID-000087;M21B-DOWNSTREAM-EVID:000016;PMID:20547845	M21B-LITEXP-4226	M21B-DOWNSTREAM-EVID:000016	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	PMID:20547845	Primary redox-dependent HMGB1 binding to the TLR4/MD-2 system with macrophage NF-kB and TNF-release outputs.	Primary-supported claim: Redox-dependent HMGB1 engagement of TLR4 is supported by cysteine-dependent HMGB1 binding to the TLR4/MD-2 system and macrophage cytokine release. Primary model/assay: primary human macrophages, murine RAW264.7 macrophage-like cells, synovial fibroblasts and TLR4/MD-2 receptor assays with recombinant redox/point-mutant HMGB1, binding, NF-kB p65 and TNF-release readouts.	Preserve the redox- and MD-2-dependent DAMP branch; do not treat all HMGB1 preparations as equivalent or infer a direct HMGB1-to-TLR4 binary interaction independent of MD-2. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Primary human macrophages, murine RAW264.7 macrophage-like cells, synovial fibroblasts and TLR4/MD-2 receptor assays; recombinant redox/point-mutant HMGB1; binding, NF-kB p65 and TNF-release readouts	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary disulfide-HMGB1-MD2/TLR4 cytokine-release evidence; intracellular continuation and TF unresolved	Redox/point-mutant HMGB1, TLR4/MD-2 binding, NF-kB p65 and TNF-release assays	activating	direct_edge	LITEXP:000107
M21B-LITEXP-4227	M21B-DOWNSTREAM:00008	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE04656	Hemopexin-heme complex	M21B-E000147	NODE06536	LRP1/CD91												Hemopexin-heme-LRP1/CD91 uptake and HO-1 transcription output			Hpx-heme-LRP1-scavenging	primary_literature_route_expansion	primary_ligand_receptor_and_clearance_output	M21B-E000147;M21B-EVID-000090;M21B-DOWNSTREAM-EVID:000017;PMID:15947085	M21B-LITEXP-4227	M21B-DOWNSTREAM-EVID:000017	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	gene_expression_or_transcription	PMID:15947085	Primary hemopexin-heme/LRP1-CD91 affinity, uptake and HO-1 transcription study.	Primary-supported claim: LRP1/CD91 functions as a hemopexin-heme clearance receptor, supported by ligand-affinity, uptake and HO-1 studies. Primary model/assay: human LRP/CD91 affinity-purification and Biacore systems, LRP/CD91-expressing COS cells, cultured monocytes and radiolabeled/fluorescent hemopexin-heme uptake with HO-1 transcription.	Preserve the heme-containing ligand and endocytic transport edge and LRP1/CD91 scavenger topology; do not infer LRP1 kinase signaling or SCI-specific weighting. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human LRP/CD91 affinity-purification and Biacore systems; LRP/CD91-expressing COS cells; cultured monocytes; radiolabeled/fluorescent hemopexin-heme uptake and HO-1 transcription	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary hemopexin-heme-LRP1/CD91 clearance and HO-1 output evidence; intracellular continuation and TF unresolved	LRP/CD91 affinity and uptake assays with hemopexin-heme and HO-1 transcription readout	activating	direct_edge	LITEXP:000108
M21B-LITEXP-4228	M21B-DOWNSTREAM:00013	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02888	DLL1	M21B-E000152	NODE08203	NOTCH2 receptor												DLL1-NOTCH2 cleavage, nuclear translocation and RBP-Jkappa reporter output			DLL1-NOTCH2-canonical-Notch	primary_literature_route_expansion	primary_ligand_receptor_processing_and_reporter_output	M21B-E000152;M21B-EVID-000095;M21B-DOWNSTREAM-EVID:000027;M21B-DOWNSTREAM-EVID:000028;M21B-DOWNSTREAM-EVID:000029;M21B-DOWNSTREAM-EVID:000030;PMID:10958687	M21B-LITEXP-4228	M21B-DOWNSTREAM-EVID:000029	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	PMID:10958687	Primary membrane-presented DLL1-Notch2 coculture study measuring receptor cleavage, nuclear translocation, hyperphosphorylation and RBP-Jkappa reporter activity.	Primary-supported claim: Membrane-bound DLL1 activates Notch2 in receptor-cleavage and reporter assays. Primary model/assay: mouse full-length membrane DLL1 in CHO-to-BaF3 coculture with Notch2 cleavage, nuclear translocation/hyperphosphorylation and RBP-Jkappa reporter readouts.	Preserve the membrane-presented juxtacrine ligand context; do not infer reverse DLL1 signaling, SCI receiver attribution or terminal-TF promotion. Intracellular continuation and TF remain unresolved.	curated_primary_route	mouse	Mouse full-length membrane DLL1 in CHO-to-BaF3 coculture; Notch2 cleavage, nuclear translocation/hyperphosphorylation and RBP-Jkappa reporter readouts	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary DLL1-NOTCH2 processing and reporter output evidence; intracellular continuation and TF unresolved	Membrane DLL1-Notch2 coculture, receptor cleavage, nuclear translocation and RBP-Jkappa reporter assays	activating	direct_edge	LITEXP:000109
M21B-LITEXP-4229	M21B-DOWNSTREAM:00016	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02639	CXCL12	M21B-E000158	NODE02712	CXCR4												CXCL12-CXCR4 monomer/dimer-dependent G-protein, beta-arrestin and migration output			CXCL12-CXCR4-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_functional_output	M21B-E000158;M21B-EVID-000101;M21B-DOWNSTREAM-EVID:000036;PMID:28325822	M21B-LITEXP-4229	M21B-DOWNSTREAM-EVID:000036	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:28325822	Primary CXCL12 monomer/dimer and CXCR4 structural/functional study with receptor reconstitution, G-protein, beta-arrestin and migration readouts.	Primary-supported claim: CXCL12-CXCR4 structural and functional work distinguishes monomer/dimer ligand states and receptor signaling. Primary model/assay: human CXCL12 monomer/dimer and CXCR4 structural/NMR systems with receptor reconstitution and G-protein/beta-arrestin or migration readouts.	Retain monomer/dimer and biased-signaling boundaries; do not infer a universal G-protein route or SCI glial claim. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; rat	Human CXCL12 monomer/dimer and CXCR4 structural/NMR systems; receptor reconstitution and G-protein/beta-arrestin or migration readouts	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary CXCL12-CXCR4 functional output evidence; intracellular continuation and TF unresolved	CXCL12 monomer/dimer, CXCR4 structural/reconstitution, G-protein, beta-arrestin and migration assays	activating	direct_edge	LITEXP:000110
M21B-LITEXP-4230	M21B-DOWNSTREAM:00017	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02650	CXCL13	M21B-E000159	NODE02721	CXCR5												CXCL13-CXCR5 calcium, ERK1/2 and chemotaxis output			CXCL13-CXCR5-GPCR	primary_literature_route_expansion	primary_ligand_receptor_and_functional_output	M21B-E000159;M21B-EVID-000102;M21B-DOWNSTREAM-EVID:000037;PMID:11688722	M21B-LITEXP-4230	M21B-DOWNSTREAM-EVID:000037	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	PMID:11688722	Primary CXCR5 chimeric-receptor mapping study with CXCL13 calcium, pertussis-toxin-sensitive ERK1/2 and chemotaxis readouts.	Primary-supported claim: CXCR5 chimeric-receptor mapping supports CXCL13-dependent calcium, pertussis-toxin-sensitive ERK1/2 and chemotaxis signaling. Primary model/assay: human CXCR5/CXCR1 chimeric receptors and CXCR5-expressing signaling systems with CXCL13 stimulation, calcium signaling, ERK1/2, chemotaxis and receptor-domain mapping.	Preserve the chimeric-receptor signaling context; do not assert one universal G-protein route or SCI glial context. Intracellular continuation and TF remain unresolved.	curated_primary_route	human	Human CXCR5/CXCR1 chimeric receptors and CXCR5-expressing signaling systems; CXCL13 stimulation; calcium signaling, pertussis-toxin-sensitive ERK1/2, chemotaxis and receptor-domain mapping	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary CXCL13-CXCR5 functional output evidence; intracellular continuation and TF unresolved	CXCR5/CXCR1 chimeric-receptor mapping, CXCL13 stimulation, calcium, ERK1/2 and chemotaxis assays	activating	direct_edge	LITEXP:000111
M21B-LITEXP-4231	M21B-DOWNSTREAM:00020	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE04679	HGF (cleaved two-chain form)	M21B-E000167	NODE06947	MET receptor												Mature two-chain HGF-MET binding, phosphorylation and migration output			HGF-MET-RTK	primary_literature_route_expansion	primary_ligand_receptor_processing_and_functional_output	M21B-E000167;M21B-EVID-000110;M21B-DOWNSTREAM-EVID:000043;M21B-DOWNSTREAM-EVID:000044;M21B-DOWNSTREAM-EVID:000045;PMID:15218027	M21B-LITEXP-4231	M21B-DOWNSTREAM-EVID:000043	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:15218027	Primary mature HGF beta-chain mutant/MET-binding study with migration and MET-phosphorylation readouts.	Primary-supported claim: Proteolytically activated HGF beta-chain interactions with MET are supported by mutational binding and phosphorylation studies. Primary model/assay: purified two-chain HGF beta-chain mutants, MET-binding assays and cell migration/Met-phosphorylation readouts with mature versus single-chain HGF processing comparison.	Preserve the requirement for proteolytic maturation and alpha/beta-chain and heparan-sulfate boundaries; do not infer that all pro-HGF forms are agonists. Intracellular continuation and TF remain unresolved.	curated_primary_route	rat	Purified two-chain HGF beta-chain mutants, MET-binding assays and cell migration/Met-phosphorylation readouts; mature versus single-chain HGF processing comparison	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary mature HGF-MET processing and functional output evidence; intracellular continuation and TF unresolved	Two-chain HGF beta-chain mutants, MET binding, processing, migration and receptor-phosphorylation assays	activating	direct_edge	LITEXP:000112
M21B-LITEXP-4232	M21B-DOWNSTREAM:00021	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE02607	CX3CL1 (membrane or soluble form)	M21B-E000168	NODE02615	CX3CR1												CX3CL1-CX3CR1 membrane-adhesion and soluble-chemotaxis output			CX3CL1-CX3CR1-adhesion-migration	primary_literature_route_expansion	primary_ligand_receptor_and_adhesion_output	M21B-E000168;M21B-EVID-000111;M21B-DOWNSTREAM-EVID:000046;PMID:25395671	M21B-LITEXP-4232	M21B-DOWNSTREAM-EVID:000046	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:25395671	Primary CX3CL1-CX3CR1 domain-function study distinguishing membrane adhesion from soluble chemotactic signaling.	Primary-supported claim: CX3CL1 is the ligand for CX3CR1, with membrane-anchored adhesion distinguished from soluble chemotactic signaling. Primary model/assay: human/mammalian CX3CL1-CX3CR1 adhesion and migration systems with membrane-domain/stalk glycosylation perturbations, FRAP/structural analysis and leukocyte-capture assays.	Retain membrane versus soluble ligand form, stalk glycosylation and adhesion-versus-chemotaxis distinction; do not infer a CNS-specific receiver claim. Intracellular continuation and TF remain unresolved.	curated_primary_route	human; rat	Human/mammalian CX3CL1-CX3CR1 adhesion and migration systems; membrane-domain/stalk glycosylation perturbations, FRAP/structural analysis and leukocyte capture assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary CX3CL1-CX3CR1 adhesion and migration output evidence; intracellular continuation and TF unresolved	CX3CL1 membrane/stalk perturbation, FRAP/structural, adhesion and migration assays	activating	direct_edge	LITEXP:000113
M21B-LITEXP-4233	M21B-DOWNSTREAM:00022	retained_evidence_route	ligand>receptor>output	ligand_receptor_output_missing_intracellular_and_tf	ligand|receptor|output	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE00984	ATP	M21B-E000171	NODE08713	P2X7/P2RX7												ATP/BzATP-P2X7 microglial IL-1beta release output			ATP-P2X7-IL1B-release	primary_literature_route_expansion	primary_ligand_receptor_and_cytokine_release_output	M21B-E000171;M21B-EVID-000114;M21B-DOWNSTREAM-EVID:000047;PMID:11943809	M21B-LITEXP-4233	M21B-DOWNSTREAM-EVID:000047	literature_expansion:direct_lr_output_with_intracellular_and_tf_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	PMID:11943809	Primary recombinant P2X7 and microglial study measuring nucleotide-dependent electrophysiology, imaging and IL-1beta release.	Primary-supported claim: ATP-gated P2X7 supports microglial cytokine-release output. Primary model/assay: recombinant P2X7 in Xenopus oocytes and mouse microglial cells with ATP/BzATP priming followed by ADP/AMP, electrophysiology, fluorescence imaging and IL-1beta release assays.	Preserve the ATP-primed ion-channel and microglial cytokine-release context, nucleotide order and priming; do not infer a single inflammasome mechanism or traumatic-SCI weighting. Intracellular continuation and TF remain unresolved.	curated_primary_route	mouse; Xenopus	Recombinant P2X7 in Xenopus oocytes and mouse microglial cells; ATP/BzATP priming followed by ADP/AMP, electrophysiology, fluorescence imaging and IL-1beta release assays	extracellular ligand to plasma-membrane receptor or receptor complex	no SCI transfer inferred; primary model context only	Primary ATP-P2X7 IL-1beta-release evidence; intracellular continuation and TF unresolved	ATP/BzATP priming, recombinant P2X7 electrophysiology, imaging and microglial IL-1beta-release assays	activating	direct_edge	LITEXP:000114
