staging_evidence_id	module	b_evidence_id	b_edge_ids	source_a_evidence_id	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations	evidence_layer	exportable	promotion_specific	staging_status
21B-EVID-STAGE-00001	21B	M21B-EVID-000005	M21B-E000023;M21B-E000024;M21B-E000025;M21B-E000026;M21B-E000027;M21B-E000028;M21B-E000029	M21A-SAT-EVID-005	pubmed_pmid	PMID:11416133; PMID:11518704; PMID:12538665	primary_experiment	human; mouse	pathway_membership	high	IL-1 MyD88 IRAK TRAF6 NF-kappaB/JNK relay	MyD88 and IRAK are required for IL-1 responses; IRAK supports TRAF6/TAB2 recruitment; the MyD88 short isoform fails to recruit IRAK4.	The record spans receptor-proximal association and pathway branches; exact IRAK4-to-IRAK1 ordering and direct TRAF6 activation are not established.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00002	21B	M21B-EVID-PROMO-20260826-001	M21B-E000025	PROMO-21A-L01-M21B-E000025	promotion_round_primary_corroboration	PMID:11416133; https://pubmed.ncbi.nlm.nih.gov/11416133/; PMID:11518704; https://pubmed.ncbi.nlm.nih.gov/11518704/; PMID:12538665; https://pubmed.ncbi.nlm.nih.gov/12538665/; PMID:11960013; https://pubmed.ncbi.nlm.nih.gov/11960013/; PMID:28512203; https://pubmed.ncbi.nlm.nih.gov/28512203/	primary_experiment_plus_independent_corroboration	linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	2026-08-26 supervised lane-01 exact-pair corroboration; linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	high	Lane-01 promotion; primary PMIDs 11416133;11518704;12538665; independent corroboration PMIDs 11960013;28512203	Linked IL-1 perturbations place IRAK in the required MyD88 relay and show IRAK4-dependent recruitment/IRAK1 phosphorylation boundaries. Independent PMID 11960013 reports IRAK4 interaction with IRAK1 and TRAF6, IRAK4-mediated IRAK1 phosphorylation, and dominant-negative IRAK4 blockade of IL-1-induced IRAK1 activation; PMID 28512203 independently supports IRAK4-dependent IRAK1 activation.	The papers support an IRAK4-to-IRAK1 relay but do not define every phosphorylation site or prove that receptor recruitment is exclusively ordered through IRAK4.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00003	21B	M21B-EVID-000005	M21B-E000023;M21B-E000024;M21B-E000025;M21B-E000026;M21B-E000027;M21B-E000028;M21B-E000029	M21A-SAT-EVID-005	pubmed_pmid	PMID:11416133; PMID:11518704; PMID:12538665	primary_experiment	human; mouse	pathway_membership	high	IL-1 MyD88 IRAK TRAF6 NF-kappaB/JNK relay	MyD88 and IRAK are required for IL-1 responses; IRAK supports TRAF6/TAB2 recruitment; the MyD88 short isoform fails to recruit IRAK4.	The record spans receptor-proximal association and pathway branches; exact IRAK4-to-IRAK1 ordering and direct TRAF6 activation are not established.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00004	21B	M21B-EVID-PROMO-20260826-002	M21B-E000026	PROMO-21A-L01-M21B-E000026	promotion_round_primary_corroboration	PMID:11416133; https://pubmed.ncbi.nlm.nih.gov/11416133/; PMID:11518704; https://pubmed.ncbi.nlm.nih.gov/11518704/; PMID:12538665; https://pubmed.ncbi.nlm.nih.gov/12538665/; PMID:8837778; https://pubmed.ncbi.nlm.nih.gov/8837778/	primary_experiment_plus_independent_corroboration	linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	2026-08-26 supervised lane-01 exact-pair corroboration; linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	high	Lane-01 promotion; primary PMIDs 11416133;11518704;12538665; independent corroboration PMIDs 8837778	Linked PMID 11518704 shows phosphorylated IRAK associates with membrane, recruits/translocates TRAF6 and assembles the TRAF6-TAK1-TAB1-TAB2 complex. Independent PMID 8837778 shows IL-1-dependent association of TRAF6 with IRAK recruited to the IL-1 receptor.	This is a recruitment/translocation edge rather than a claim of direct TRAF6 enzymatic activation; isoform and adaptor-complex stoichiometry remain context dependent.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00005	21B	M21B-EVID-000005	M21B-E000023;M21B-E000024;M21B-E000025;M21B-E000026;M21B-E000027;M21B-E000028;M21B-E000029	M21A-SAT-EVID-005	pubmed_pmid	PMID:11416133; PMID:11518704; PMID:12538665	primary_experiment	human; mouse	pathway_membership	high	IL-1 MyD88 IRAK TRAF6 NF-kappaB/JNK relay	MyD88 and IRAK are required for IL-1 responses; IRAK supports TRAF6/TAB2 recruitment; the MyD88 short isoform fails to recruit IRAK4.	The record spans receptor-proximal association and pathway branches; exact IRAK4-to-IRAK1 ordering and direct TRAF6 activation are not established.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00006	21B	M21B-EVID-PROMO-20260826-003	M21B-E000027	PROMO-21A-L01-M21B-E000027	promotion_round_primary_corroboration	PMID:11416133; https://pubmed.ncbi.nlm.nih.gov/11416133/; PMID:11518704; https://pubmed.ncbi.nlm.nih.gov/11518704/; PMID:12538665; https://pubmed.ncbi.nlm.nih.gov/12538665/; PMID:10882101; https://pubmed.ncbi.nlm.nih.gov/10882101/; PMID:28507161; https://pubmed.ncbi.nlm.nih.gov/28507161/	primary_experiment_plus_independent_corroboration	linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	2026-08-26 supervised lane-01 exact-pair corroboration; linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	high	Lane-01 promotion; primary PMIDs 11416133;11518704;12538665; independent corroboration PMIDs 10882101;28507161	Linked PMID 11518704 connects TRAF6/TAB2 translocation to TAK1 activation. Independent PMID 10882101 identifies TAB2 as the adaptor linking TAK1 to TRAF6 and shows IL-1-induced TAK1-TRAF6 association; PMID 28507161 confirms TRAF6-dependent TAK1 activation under altered TAB2/TAB3 conditions.	TAB2/TAB3 can provide alternative TAK1 activation routes, so the promotion is for the TRAF6-linked relay and not an assertion that TAB2 is universally required.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00007	21B	M21B-EVID-000018	M21B-E000062	M21A-SAT-EVID-018	pubmed_pmid	PMID:37725008	primary_experiment	human	pathway_membership	high	Type-III interferon receptor-associated kinase requirement	Type-III receptor reconstitution and TYK2 perturbation support JAK/TYK2 participation in IFN-lambda-induced STAT activation.	Synthetic receptor context; do not transfer type-III receptor findings to IFNAR/IFNGR or assume the same branch in astrocytes.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00008	21B	M21B-EVID-PROMO-20260826-004	M21B-E000062	PROMO-21A-L01-M21B-E000062	promotion_round_primary_corroboration	PMID:37725008; https://pubmed.ncbi.nlm.nih.gov/37725008/; PMID:23830819; https://pubmed.ncbi.nlm.nih.gov/23830819/	primary_experiment_plus_independent_corroboration	human synthetic/heterologous type-III receptor systems in both studies	2026-08-26 supervised lane-01 exact-pair corroboration; human synthetic/heterologous type-III receptor systems in both studies	high	Lane-01 promotion; primary PMIDs 37725008; independent corroboration PMIDs 23830819	Linked PMID 37725008 uses type-III receptor reconstitution and TYK2 deletion to show a defined TYK2 contribution to IFN-lambda-induced STAT activation. Independent PMID 23830819 shows IFNLR1/IL10RB receptor pairing and proximity to JAK1/TYK2 are required for type-III receptor activity.	The evidence is synthetic/heterologous and does not establish universal native TYK2 necessity in astrocytes; keep IFN-lambda separate from IFNAR and IFNGR branches.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00009	21B	M21B-EVID-000020	M21B-E000065	M21A-SAT-EVID-020	pubmed_pmid	PMID:7544915; DOI:10.1126/science.7544915; https://pubmed.ncbi.nlm.nih.gov/7544915/	primary_experiment	human	pathway_membership	medium	Primary PubMed-abstract evidence for a TRAF2-dependent TNFR2-to-NF-kappa B pathway relay.	TRAF2 overexpression induced NF-kappa B, while dominant-negative TRAF2 lacking its RING finger inhibited TNFR2- and CD40-mediated NF-kappa B activation.	Overexpression/reporter context; exact endogenous TNFR2-TRAF2 recruitment, assay cell line, and full-text experimental locus are not resolved; no SCI or terminal TF claim.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
21B-EVID-STAGE-00010	21B	M21B-EVID-PROMO-20260826-005	M21B-E000065	PROMO-21A-L01-M21B-E000065	promotion_round_primary_corroboration	PMID:7544915; https://pubmed.ncbi.nlm.nih.gov/7544915/; PMID:25152365; https://pubmed.ncbi.nlm.nih.gov/25152365/; PMID:11112773; https://pubmed.ncbi.nlm.nih.gov/11112773/	primary_experiment_plus_independent_corroboration	human TNFR2-expressing reporter/cell systems	2026-08-26 supervised lane-01 exact-pair corroboration; human TNFR2-expressing reporter/cell systems	high	Lane-01 promotion; primary PMIDs 7544915; independent corroboration PMIDs 25152365;11112773	Linked PMID 7544915 shows TRAF2 sufficiency and dominant-negative TRAF2 inhibition of TNFR2-mediated NF-kappaB activation. Independent PMID 25152365 maps TRAF2 binding sites in the TNFR2 intracellular region and the functional NF-kappaB consequence; PMID 11112773 independently supports TNFR2-region recruitment of TRAF2 and NF-kappaB reporter activation.	TNFR2 also has TRAF2-independent JNK activity and TRAF1/TRAF3 modulation; promotion is limited to the TRAF2-dependent NF-kappaB relay and not all TNFR2 outputs.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
