evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch011_regulator_zbtb1	zbtb1	ZBTB1	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human and mouse lymphocyte models	reporter repression and loss-of-function	ZBTB1 has transcriptional repression and lymphocyte-development evidence, but none of the four queued targets was directly validated.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://pubmed.ncbi.nlm.nih.gov/21706167/	https://pubmed.ncbi.nlm.nih.gov/22753936/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_znf165	znf165	ZNF165	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human TNBC models	ChIP-seq, depletion, and chromatin co-occupancy	ZNF165 has evidence for TGF-beta transcriptional programs and SMAD3 co-occupancy, but none of the four queued targets was directly established.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC4660212/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7302877/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_znf791	znf791	ZNF791	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human KRAB-domain and cardiomyocyte models	KRAB recruitment and miRNA-axis perturbation	ZNF791 has limited regulator-level repression/perturbation evidence, without queued target attribution.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://pubmed.ncbi.nlm.nih.gov/33326746/	https://pubmed.ncbi.nlm.nih.gov/35989482/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_znf418	znf418	ZNF418	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human reporter, MAPK/AP-1, and cardiac-remodeling models	reporter repression and perturbation	ZNF418 has repression and MAPK/AP-1 evidence at nonqueued contexts, but none of the four queued targets was directly established.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://pubmed.ncbi.nlm.nih.gov/18084723/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6643133/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_znf581	znf581	ZNF581	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human annotation and TFLink/GTRD candidate set	protein annotation and database membership	ZNF581 has cautious annotation-level transcriptional-regulation support, but no direct regulator-level functional study was verified in this pass.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://www.uniprot.org/uniprotkb/Q9P0T4/entry		regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_znf236	znf236	ZNF236	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human TFLink/GTRD candidate set	species-matched target-set membership	No qualifying regulator-level functional or perturbation evidence was located in this bounded pass beyond the database-derived candidate set.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://tflink.net/download/#interaction-gmt		regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_mlxip	mlxip	MLXIP	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human TFLink/GTRD candidate set	species-matched target-set membership	No qualifying regulator-level evidence was located for the queued targets in this bounded pass.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://tflink.net/download/#interaction-gmt		regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_ybx3	ybx3	YBX3	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human TFLink/GTRD candidate set	species-matched target-set membership	No qualifying regulator-level evidence was located for the queued targets in this bounded pass.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://tflink.net/download/#interaction-gmt		regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_hoxd11	hoxd11	HOXD11	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human and mouse HOXD11 developmental studies	developmental expression and DNA-binding/target studies	HOXD11 has regulator-level developmental evidence at nonqueued targets, but none of the four queued targets was directly validated.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC5805373/	https://pmc.ncbi.nlm.nih.gov/articles/PMC12189421/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch011_regulator_znf669	znf669	ZNF669	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human TFLink/GTRD candidate set	species-matched target-set membership	No qualifying regulator-level functional or perturbation evidence was located in this bounded pass beyond the database-derived candidate set.	queued-pair direction not established except staged Msgn1-Dll3 candidate	https://tflink.net/download/#interaction-gmt		regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not establish SCI target-cell presence, exact queued-target direction, downstream activation, or upstream relay. The Msgn1-Dll3 pair is retained separately as a promotion candidate pending SCI-cell context.
