batch_rank	tf_key	tf_symbol	species	target_symbol	tflink_target_count	lead_rank_within_tf	pubmed_hit_count	primary_candidate_count	direct_experiment_candidate_count	best_pmid	best_score	suggested_action	query_variant	source_snapshot	limitations
1	tet2	TET2	human	TMEM53	23647	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
1	tet2	TET2	human	PINX1	23647	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
1	tet2	TET2	human	SNRNP35	23647	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
1	tet2	TET2	human	TBC1D9	23647	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
1	tet2	Tet2	mouse	Ckb	23647	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
1	tet2	Tet2	mouse	Znf423	23647	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
1	tet2	Tet2	mouse	Cenpp	23647	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
1	tet2	Tet2	mouse	Klf8	23647	4	1	1	0	39281527	14	abstract_review_then_fulltext	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	TCF7L1	human	TMEM53	19122	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	TCF7L1	human	MIS12	19122	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	TCF7L1	human	ANKHD1	19122	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	TCF7L1	human	TBC1D9	19122	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	Tcf7l1	mouse	Ckb	19122	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	Tcf7l1	mouse	Cenpp	19122	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	Tcf7l1	mouse	Znf426	19122	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
2	tcf7l1	Tcf7l1	mouse	Tmem18	19122	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	SETDB1	human	TMEM53	19086	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	SETDB1	human	MIS12	19086	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	SETDB1	human	SNRNP35	19086	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	SETDB1	human	SVOP	19086	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	Setdb1	mouse	Znf423	19086	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	Setdb1	mouse	Cenpp	19086	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	Setdb1	mouse	Cd40	19086	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
3	setdb1	Setdb1	mouse	B4galt7	19086	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	ZFX	human	TMEM53	16412	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	ZFX	human	MIS12	16412	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	ZFX	human	SNRNP35	16412	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	ZFX	human	TBC1D9	16412	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	Zfx	mouse	Emg1	16412	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	Zfx	mouse	Usp28	16412	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	Zfx	mouse	Ciao1	16412	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
4	zfx	Zfx	mouse	Aurka	16412	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
5	mbd4	MBD4	human	TMEM53	16091	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
5	mbd4	MBD4	human	MIS12	16091	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
5	mbd4	MBD4	human	SNRNP35	16091	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
5	mbd4	MBD4	human	TBC1D9	16091	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
6	ebf2	Ebf2	mouse	Ckb	14888	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
6	ebf2	Ebf2	mouse	Ndst3	14888	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
6	ebf2	Ebf2	mouse	Znf423	14888	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
6	ebf2	Ebf2	mouse	Cenpp	14888	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
7	isx	Isx	mouse	Ckb	14564	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
7	isx	Isx	mouse	Ndst3	14564	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
7	isx	Isx	mouse	Znf423	14564	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
7	isx	Isx	mouse	Cenpp	14564	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
8	ascl2	ASCL2	human	TMEM53	14210	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
8	ascl2	ASCL2	human	MIS12	14210	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
8	ascl2	ASCL2	human	SNRNP35	14210	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
8	ascl2	ASCL2	human	TBC1D9	14210	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
8	ascl2	Ascl2	mouse	Cenpp	14210	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
8	ascl2	Ascl2	mouse	Pou1f1	14210	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
