queue_id	module	edge_id	source_label	target_label	evidence_scope	curation_priority	disposition	output_class_observed	route_action	existing_output_route_count	existing_output_route_ids	review_basis	source_locator	source_evidence_ids	evidence_summary	limitations	next_action
M21B-DOWNSTREAM:02284	21B	M21B-E000275	Fibronectin/FN	ITGA5:ITGB1 integrin	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	1	ROUTE:10294	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:12970173; PMID:33962943	M21B-EVID-000218	Primary-supported claim: The reviews identify alpha5beta1 as the fibronectin receptor and cite structural studies resolving fibronectin engagement of the alpha5beta1 headpiece and ligand-induced integrin opening. Primary model/assay: Human recombinant alpha5beta1 and fibronectin fragments or native fibronectin; EM/cryo-EM structural complexes, interface mapping, ligand-induced opening, and receptor-binding assays	Preserve alpha5beta1 heterodimer, fibronectin RGD/synergy-module context, and structural/receptor-binding scope; no universal integrin kinase relay or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02285	21B	M21B-E000276	Laminin-511	ITGA6:ITGB1 integrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:34188035	M21B-EVID-000219	Primary-supported claim: The reviews identify alpha6beta1 as a laminin-511 receptor and the cited primary study resolves direct interaction of alpha6beta1 with a three-chain laminin-511 fragment across the integrin and laminin interface. Primary model/assay: Human alpha6beta1 and three-chain laminin-511 E8 fragment; X-ray/cryo-EM structures, recombinant pull-down and cell-surface binding, interface mutagenesis, and ligand-induced integrin opening	Preserve the three-chain laminin-511 E8 fragment and alpha6beta1 heterodimer; structural/cell-surface binding scope only, with no universal integrin kinase relay or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02294	21B	M21B-E000317	CD13/ANPEP	SELE/E-selectin	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	6	ROUTE:10381;ROUTE:10382;ROUTE:10383;ROUTE:10384;ROUTE:12345;ROUTE:12346	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:29777742	M21B-EVID-000260	Primary-supported claim: The review identifies sLeX-decorated CD13 among additional E-selectin ligands and cites the primary breast-cancer glycoproteomics study; the primary study isolates E-selectin-binding glycoproteins and validates CD13 glycoforms as sLeX-bearing E-selectin ligands. Primary model/assay: Human CF1_T patient-derived ductal breast-cancer cells and clinical breast-cancer tissue; E-selectin affinity glycoprotein isolation, bottom-up LC-MS/MS, flow cytometry, Western blot, immunohistochemistry, and in-situ proximity ligation assays	Preserve CD13 and CD44 co-expression, sLeX glycoform, patient-derived breast-cancer context, and affinity/proximity validation limits; no standalone CD13 intracellular relay or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02345	21B	M21B-E000557	Laminin-411	ITGA7:ITGB1 integrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:16413178	M21B-EVID-000500	Primary-supported claim: The laminin reviews identify alpha7beta1 as a laminin receptor and cite the recombinant-integrin survey showing that laminin-411 binds alpha7X1beta1, albeit weakly. Primary model/assay: Purified recombinant human alpha7X1beta1 and other laminin-binding integrins; purified laminin isoform panel including laminin-411; solid-phase binding and affinity assays	Preserve the weak laminin-411 affinity and alpha7X1 splice-variant context; no generic laminin signaling or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02346	21B	M21B-E000558	Laminin-421	ITGA7:ITGB1 integrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:16413178	M21B-EVID-000501	Primary-supported claim: The laminin reviews identify alpha7beta1 as a laminin receptor and cite the recombinant-integrin survey showing alpha7X1beta1 binding across the laminin panel, including laminin-421. Primary model/assay: Purified recombinant human alpha7X1beta1 and other laminin-binding integrins; purified laminin isoform panel including laminin-421; solid-phase binding and affinity assays	Preserve alpha7X1 splice-variant and laminin-421 isoform context; no generic laminin signaling or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02365	21B	M21B-E000675	CD274/PD-L1	PDCD1/PD-1	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:26602187; PMCID:PMC4752817; DOI:10.1016/j.str.2015.09.010	M21B-EVID-000618	Primary-supported claim: The review identifies PD-L1 as a PD-1 ligand; the primary human structure resolves the PD-1/PD-L1 extracellular complex and supports the inhibitory immune-checkpoint interaction. Primary model/assay: Human recombinant PD-1/PD-L1 ectodomain complex and immune-synapse comparator systems	Preserve membrane immune-synapse geometry and inhibitory checkpoint context; structural binding does not by itself assign a specific intracellular adaptor or SCI function.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02368	21B	M21B-E000681	HLA-G1	LILRB1/ILT2	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	2	ROUTE:10531;ROUTE:10532	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:17056715; PMCID:PMC1637596; PMCID:PMC7609294	M21B-EVID-000624	Primary-supported claim: The reviews identify HLA-G as an inhibitory ligand for LILRB1/ILT2; primary structural and binding studies resolve HLA-G recognition by LILRB1 and support an inhibitory checkpoint interaction. Primary model/assay: Human HLA-G1/LILRB1 ectodomain structural and binding systems; immune-cell inhibitory checkpoint comparator context	Preserve HLA-G isoform, beta2-microglobulin/peptide, dimeric versus monomeric form, and cis/trans geometry; direct binding does not establish a universal downstream adaptor or SCI receiver function.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02369	21B	M21B-E000682	HLA-G1	LILRB2/ILT4	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	2	ROUTE:10533;ROUTE:10534	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:17056715; PMCID:PMC1637596; PMCID:PMC7609294	M21B-EVID-000625	Primary-supported claim: The reviews identify HLA-G as an inhibitory ligand for LILRB2/ILT4; primary structural and binding studies resolve the HLA-G/LILRB2 interface and support inhibitory receptor recognition. Primary model/assay: Human HLA-G1/LILRB2 ectodomain structural and binding systems; immune-cell inhibitory checkpoint comparator context	Preserve HLA-G isoform, beta2-microglobulin/peptide, dimeric versus monomeric form, and cis/trans geometry; direct binding does not establish a universal downstream adaptor or SCI receiver function.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02440	21B	M21B-E001233	HFE/beta2M	TFRC/TfR1	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:10556042	M21B-EVID-001176	Primary-supported claim: Soluble HFE and TfR assays support an HFE-beta2M/TfR homodimer complex that competes with diferric transferrin at overlapping receptor sites Primary model/assay: Soluble HFE-beta2M and TfR assays; receptor-complex association and competition with diferric transferrin	Represent HFE as a beta2M-dependent regulatory MHC-I-like partner/competitor, not a canonical ligand; preserve ternary-complex semantics and no CNS inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02578	21B	M21B-E002195	Collagen IV	ITGA1:ITGB1 integrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:8344274; PMID:1646206	M21B-EVID-002138	Primary-supported claim: The reviews identify alpha1beta1 as a collagen IV receptor and the cited primary directly measures isolated alpha1beta1 binding to triple-helical collagen IV CB3 fragments, with affinity chromatography independently isolating the alpha1beta1 complex from collagen IV-binding cell material. Primary model/assay: Purified alpha1beta1 integrin and triple-helical collagen IV CB3/tryptic fragments; solid-phase and inhibition assays with cation dependence and nanomolar affinity; collagen IV affinity chromatography from cell lysates	Preserve native/triple-helical collagen IV or CB3 fragment conformation, alpha1beta1 heterodimer and cation dependence; adhesion/receptor evidence is non-SCI and does not imply a universal collagen receptor mechanism.	full_text_primary_review_if_output_route_is_needed
