promotion_id	review_id	batch_id	batch_rank	regulator_key	regulator_symbol	species_scope	source_registry	source_record_id	raw_tf_symbol	target_symbol	target_graph_modules	candidate_membership_status	exact_pair_search_url	exact_pair_status	regulator_general_evidence_status	target_cell_presence_status	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	disposition	primary_citation	corroborating_citation	additional_corroborating_citation	near_match_exclusions	review_notes	exportable	canonical_write_performed	module22b_write_performed	source_review_file	promotion_scope	promotion_class	module_route	promotion_confidence	promotion_basis	independent_literature_support_status	independent_literature_source_count	evidence_weight_tier	tflink_source_database	tflink_detection_method	tflink_pubmed_id	tflink_small_scale_evidence	tflink_source_url	tflink_raw_snapshot_path	tflink_raw_snapshot_sha256	tflink_source_selection
public_tf_comprehensive_001	public_tf_evidence_batch001_pair_086	public_tf_evidence_batch_001	22	znf580	ZNF580	human	TFLink	tflink:human:000882:8a35050e7b9a	ZNF580	ABCA1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF580%22+AND+%22ABCA1%22+AND+human	partial_functional_support_without_binding_or_independent_corroboration	supported_general_regulator_evidence	supported_human_thp1_oxldl_foam_cells	not_found_for_exact_pair	supported_znf580_overexpression_and_silencing_direction	not_assessed	not_assessed	retain_partial_staging_only_pending_direct_binding_and_corroboration	https://pmc.ncbi.nlm.nih.gov/articles/PMC9353537/		https://pmc.ncbi.nlm.nih.gov/articles/PMC9353537/	ZNF580-to-ACVR1/ACVR1C and unrelated metabolic/receptor studies were excluded; direct ABCA1 occupancy was not shown	Human THP-1 oxLDL foam-cell study reports ZNF580 overexpression increasing ABCA1 mRNA/protein and silencing decreasing it. No direct promoter occupancy or ZNF580-ABCA1 binding was shown, and no independent exact corroboration was located. This is not sufficient for a canonical Module 22B promotion.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_001/public_tf_evidence_review_batch001_pairs.tsv	comprehensive_public_interaction_catalog	role_specific_noncanonical_indirect_expression_association	20B_target_interaction	broad_human_perturbation_expression_evidence_primary_only	Peer-reviewed human THP-1 foam-cell evidence shows ZNF580 overexpression increases ABCA1 mRNA/protein and silencing decreases it; direct occupancy and independent corroboration were not established, so this is an indirect expression association.	independent_literature_single_source	1	B_independent_literature_single_source								
public_tf_comprehensive_002	public_tf_evidence_batch009_pair_11_3	public_tf_evidence_batch_009	11	znf507	ZNF507	human	TFLink	tflink:human:001256:1c23a14de14b	ZNF507	IGF2R	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF507%22+AND+%22IGF2R%22+AND+human	perturbation_signal_directness_unproven_not_promotable	supported_general_regulator_evidence	human_HEK293_model_not_SCI_target_cell	authoritative_occupancy_plus_nearest_peak_not_direct_promoter_validation	IGF2R_expression_changed_after_ZNF507_CRISPR_disruption	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_perturbation_signal_as_nonpromotable_search_lead	https://academic.oup.com/g3journal/article/12/3/jkac002/6509542	https://pubmed.ncbi.nlm.nih.gov/35100360/	https://academic.oup.com/g3journal/article/12/3/jkac002/6509542;https://pmc.ncbi.nlm.nih.gov/articles/PMC8896011/	The IGF2R perturbation signal is not treated as a direct target or promotion-ready edge; nonqueued targets were not transferred.	ZNF507 CRISPR disruption changed IGF2R expression (log2FC +0.416262343; adjusted P 2.75e-7), but the nearest ZNF507 peak was 26.007 kb away and the authors did not establish direct regulation; do not promote. ZNF507 has human DNA-binding and perturbation evidence; IGF2R is the only queued pair with a perturbation-associated expression signal, but the nearest peak was 26.007 kb away and directness was not demonstrated.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_009/public_tf_evidence_review_batch009_pairs.tsv	comprehensive_public_interaction_catalog	role_specific_noncanonical_indirect_expression_association	20B_target_interaction	broad_human_perturbation_expression_with_nearest_peak	Peer-reviewed human ZNF507-disruption evidence reports an IGF2R expression change with a nearby ZNF507 peak; direct promoter causality was not established, so this is an indirect expression association.	independent_literature_single_source	1	B_independent_literature_single_source								
public_tf_comprehensive_003	public_tf_evidence_batch009_pair_12_4	public_tf_evidence_batch_009	12	ovol2	OVOL2	mouse	TFLink	tflink:mouse:001047:f0214f0ec9f5	Ovol2	Cdh2	20B;23B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22OVOL2%22+AND+%22Cdh2%22+AND+mouse	functional_direct_binding_promotion_candidate	supported_general_regulator_evidence	present_in_mouse_mammary_model_not_SCI_target_cell	direct_ChIP_and_orthogonal_ChIP_validation	Cdh2_increased_after_Ovol2_deletion_and_DNA_binding_dependent_rescue	not_established_for_SCI_target_cell	not_tested_for_exact_pair	promotion_candidate_pending_SCI_target_cell_context	https://pmc.ncbi.nlm.nih.gov/articles/PMC4062651/	https://pubmed.ncbi.nlm.nih.gov/24735879/		Mouse mammary evidence is not silently transferred to SCI target-cell context; other Ovol2 targets remain occupancy-only.	Ovol2 deletion increased Cdh2/N-cadherin, genome-wide Ovol2 ChIP-seq and ChIP validation identified Cdh2 binding, and rescue required intact DNA binding. This is the strongest exact pair in the batch, but the evidence is from mouse mammary models rather than the SCI target cell; stage for review, do not materialize. Ovol2 has strong mouse regulator-level evidence. Cdh2 is an exact target with direct binding plus deletion/rescue evidence and is staged as the sole promotion candidate in this batch, pending SCI-cell context.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_009/public_tf_evidence_review_batch009_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_exact_pair	20B_target_interaction;23B_target_interaction	strong_exact_pair_evidence_context_limited	direct_ChIP_and_orthogonal_ChIP_validation; Cdh2_increased_after_Ovol2_deletion_and_DNA_binding_dependent_rescue	independent_literature_corroborated	2	A_independent_literature_corroborated								
public_tf_comprehensive_004	public_tf_evidence_batch010_pair_24_2	public_tf_evidence_batch_010	24	msgn1	MSGN1	mouse	TFLink	tflink:mouse:001103:16f35a9b6e14	Msgn1	Dll3	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22MSGN1%22+AND+%22Dll3%22+AND+mouse	functional_direct_binding_promotion_candidate	supported_general_regulator_evidence	present_in_mouse_presomitic_mesoderm_not_SCI_target_cell	direct_upstream_binding_and_regulatory_element_validation	Msgn1_loss_lowered_Dll3_and_inducible_Msgn1_increased_Dll3	not_established_for_SCI_target_cell	not_tested_for_exact_pair	promotion_candidate_pending_SCI_target_cell_context	https://pmc.ncbi.nlm.nih.gov/articles/PMC3622708/	https://reactome.org/content/detail/R-MMU-9824184	https://pubmed.ncbi.nlm.nih.gov/25371364/	Regulator-level evidence at nonqueued targets, orthologs, reverse-direction relationships, and lineage-driver use were not transferred to queued edges.	Msgn1 binds upstream of Dll3; Msgn1 loss lowers Dll3, inducible Msgn1 increases Dll3, and a Dll3 regulatory element is transactivated in reporter assays. This is a strong exact pair, but the evidence is from mouse presomitic mesoderm rather than the SCI target cell; stage for review, do not materialize. Msgn1 directly regulates Dll3 in mouse presomitic mesoderm; this exact candidate is staged separately because SCI target-cell context is not established.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_010/public_tf_evidence_review_batch010_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_exact_pair	20B_target_interaction	strong_exact_pair_evidence_context_limited	direct_upstream_binding_and_regulatory_element_validation; Msgn1_loss_lowered_Dll3_and_inducible_Msgn1_increased_Dll3	independent_literature_corroborated	3	A_independent_literature_corroborated								
public_tf_comprehensive_005	public_tf_evidence_batch014_pair_14_1	public_tf_evidence_batch_014	14	znf513	Znf513	mouse	TFLink	tflink:mouse:000491:22115a44de52	Znf513	Arr3		database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Arr3%22+AND+mouse	direct_binding_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	WT_ZNF513_direct_promoter_ChIP_binding_mutant_lost_binding	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_as_staging_search_lead_only	https://pubmed.ncbi.nlm.nih.gov/20797688/			Regulator-level evidence at nonqueued targets, orthologs, paralogs, reverse-direction relationships, and cross-species models was not transferred.	The mouse retinal study reports WT ZNF513 binding at the queued promoter; no activation/repression direction or SCI target-cell context was established. RBP3 is the alias-normalized IRBP target. ZNF513 has direct binding/function evidence at some loci; exact queued pairs are binding-only.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_014/public_tf_evidence_review_batch014_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_direct_binding_association	general_public_interaction_catalog	broad_mouse_direct_promoter_binding_primary_only	Peer-reviewed mouse retinal evidence reports WT ZNF513 binding at the Arr3 promoter; activation/repression direction and SCI-cell context were not established, so this is a direct-binding association only.	independent_literature_single_source	1	B_independent_literature_single_source								
public_tf_comprehensive_006	public_tf_evidence_batch014_pair_14_2	public_tf_evidence_batch_014	14	znf513	Znf513	mouse	TFLink	tflink:mouse:000491:22115a44de52	Znf513	Pax6		database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Pax6%22+AND+mouse	direct_binding_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	WT_ZNF513_direct_promoter_ChIP_binding_mutant_lost_binding	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_as_staging_search_lead_only	https://pubmed.ncbi.nlm.nih.gov/20797688/			Regulator-level evidence at nonqueued targets, orthologs, paralogs, reverse-direction relationships, and cross-species models was not transferred.	The mouse retinal study reports WT ZNF513 binding at the queued promoter; no activation/repression direction or SCI target-cell context was established. RBP3 is the alias-normalized IRBP target. ZNF513 has direct binding/function evidence at some loci; exact queued pairs are binding-only.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_014/public_tf_evidence_review_batch014_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_direct_binding_association	general_public_interaction_catalog	broad_mouse_direct_promoter_binding_primary_only	Peer-reviewed mouse retinal evidence reports WT ZNF513 binding at the Pax6 promoter; activation/repression direction and SCI-cell context were not established, so this is a direct-binding association only.	independent_literature_single_source	1	B_independent_literature_single_source								
public_tf_comprehensive_007	public_tf_evidence_batch014_pair_14_3	public_tf_evidence_batch_014	14	znf513	Znf513	mouse	TFLink	tflink:mouse:000491:22115a44de52	Znf513	Rbp3		database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Rbp3%22+AND+mouse	direct_binding_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	WT_ZNF513_direct_promoter_ChIP_binding_mutant_lost_binding	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_as_staging_search_lead_only	https://pubmed.ncbi.nlm.nih.gov/20797688/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7710524/		Regulator-level evidence at nonqueued targets, orthologs, paralogs, reverse-direction relationships, and cross-species models was not transferred.	The mouse retinal study reports WT ZNF513 binding at the queued promoter; no activation/repression direction or SCI target-cell context was established. RBP3 is the alias-normalized IRBP target. ZNF513 has direct binding/function evidence at some loci; exact queued pairs are binding-only.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_014/public_tf_evidence_review_batch014_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_direct_binding_association	general_public_interaction_catalog	broad_mouse_direct_promoter_binding_with_corroboration	Peer-reviewed mouse retinal evidence reports WT ZNF513 binding at the Rbp3 promoter, with an independent Rbp3-related study retained as corroboration; activation/repression direction and SCI-cell context were not established.	independent_literature_corroborated	2	A_independent_literature_corroborated								
public_tf_comprehensive_008	public_tf_evidence_batch014_pair_14_4	public_tf_evidence_batch_014	14	znf513	Znf513	mouse	TFLink	tflink:mouse:000491:22115a44de52	Znf513	Sp4		database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Sp4%22+AND+mouse	direct_binding_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	WT_ZNF513_direct_promoter_ChIP_binding_mutant_lost_binding	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_as_staging_search_lead_only	https://pubmed.ncbi.nlm.nih.gov/20797688/			Regulator-level evidence at nonqueued targets, orthologs, paralogs, reverse-direction relationships, and cross-species models was not transferred.	The mouse retinal study reports WT ZNF513 binding at the queued promoter; no activation/repression direction or SCI target-cell context was established. RBP3 is the alias-normalized IRBP target. ZNF513 has direct binding/function evidence at some loci; exact queued pairs are binding-only.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_014/public_tf_evidence_review_batch014_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_direct_binding_association	general_public_interaction_catalog	broad_mouse_direct_promoter_binding_primary_only	Peer-reviewed mouse retinal evidence reports WT ZNF513 binding at the Sp4 promoter; activation/repression direction and SCI-cell context were not established, so this is a direct-binding association only.	independent_literature_single_source	1	B_independent_literature_single_source								
public_tf_comprehensive_009	public_tf_evidence_batch014_pair_19_1	public_tf_evidence_batch_014	19	bhlha15	BHLHA15/MIST1	human	TFLink	tflink:human:000732:0127c0b4cede	BHLHA15	RAB26		database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22BHLHA15%2FMIST1%22+AND+%22RAB26%22+AND+human	functional_direct_binding_promotion_candidate	supported_general_or_authoritative_regulator_evidence	human_and_mouse_secretory_cell_models_not_SCI_target_cell	MIST1_ChIP_at_RAB26_regulatory_site	MIST1_induction_increased_RAB26_mouse_loss_lowered_RAB26_and_dominant_negative_RAB26_blocked_granule_phenotype	not_established_for_SCI_target_cell	not_tested_for_exact_pair	promotion_candidate_pending_SCI_target_cell_context	https://pubmed.ncbi.nlm.nih.gov/20038531/			The exact MIST1/BHLHA15-RAB26 study is retained as staging evidence; secretory-cell context was not transferred to SCI target-cell context.	MIST1/BHLHA15 binds the RAB26 regulatory site, induction increases RAB26, mouse loss lowers RAB26, and dominant-negative RAB26 blocks the MIST1-induced secretory-granule phenotype. This is a strong exact pair but remains staging-only pending SCI-cell context. MIST1/BHLHA15 exact RAB26/RAB3D evidence is kept separate and is not transferred to SCI context.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_014/public_tf_evidence_review_batch014_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_exact_pair	general_public_interaction_catalog	strong_exact_pair_evidence_context_limited	MIST1_ChIP_at_RAB26_regulatory_site; MIST1_induction_increased_RAB26_mouse_loss_lowered_RAB26_and_dominant_negative_RAB26_blocked_granule_phenotype	independent_literature_single_source	1	B_independent_literature_single_source								
public_tf_comprehensive_010	public_tf_evidence_batch014_pair_19_2	public_tf_evidence_batch_014	19	bhlha15	BHLHA15/MIST1	human	TFLink	tflink:human:000732:0127c0b4cede	BHLHA15	RAB3D		database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22BHLHA15%2FMIST1%22+AND+%22RAB3D%22+AND+human	partial_functional_binding_support_not_promotable	supported_general_or_authoritative_regulator_evidence	human_and_mouse_secretory_cell_models_not_SCI_target_cell	MIST1_ChIP_at_RAB3D_regulatory_site	MIST1_induction_increased_RAB3D_mouse_loss_lowered_RAB3D_without_RAB3D_specific_rescue	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_partial_exact_pair_support_separately	https://pubmed.ncbi.nlm.nih.gov/20038531/		https://pmc.ncbi.nlm.nih.gov/articles/PMC6026875/	Regulator-level evidence at nonqueued targets, orthologs, paralogs, reverse-direction relationships, and cross-species models was not transferred.	The MIST1 paper supports direct binding and expression change for RAB3D, but lacks RAB3D-specific loss/rescue; it is not promoted to the stronger exact functional tier. MIST1/BHLHA15 exact RAB26/RAB3D evidence is kept separate and is not transferred to SCI context.	true	false	false	data/processed/public_tf_union_expansion_v1/current_set_crosswalk_v1/candidate_triage_v1/evidence_batches/batch_014/public_tf_evidence_review_batch014_pairs.tsv	comprehensive_public_interaction_catalog	sequence_specific_tf_broad_functional_pair	general_public_interaction_catalog	broad_exact_binding_and_expression_evidence_with_corroboration	MIST1 binds the RAB3D regulatory region and MIST1 induction/loss changes RAB3D expression in peer-reviewed secretory-cell models.	independent_literature_corroborated	2	A_independent_literature_corroborated								
