queue_key	regulator_symbol	target_symbol	species_scope	target_graph_modules	source_record_id	raw_tf_symbol	tf_uniprot_id	target_uniprot_id	name_tf	name_target	detection_method	pubmed_id	organism	source_database	small_scale_evidence	tflink_source_url	raw_snapshot_path	raw_snapshot_sha256	exact_pair_match
ahrr|adgrb3|human	AHRR	ADGRB3	human	20B	tflink:human:001370:776f07a2418e	AHRR	A9YTQ3	O60242	AHRR	ADGRB3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_A9YTQ3.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_A9YTQ3_targets.tsv	3043ddfd65d9b17e90e79844ed1795161d9dd087805fa6186474ea44801fee60	true
ahrr|adipoq|human	AHRR	ADIPOQ	human	20B;23B	tflink:human:001370:776f07a2418e	AHRR	A9YTQ3	Q15848	AHRR	ADIPOQ	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_A9YTQ3.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_A9YTQ3_targets.tsv	3043ddfd65d9b17e90e79844ed1795161d9dd087805fa6186474ea44801fee60	true
ahrr|alcam|human	AHRR	ALCAM	human	20B;23B	tflink:human:001370:776f07a2418e	AHRR	A9YTQ3	Q13740	AHRR	ALCAM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_A9YTQ3.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_A9YTQ3_targets.tsv	3043ddfd65d9b17e90e79844ed1795161d9dd087805fa6186474ea44801fee60	true
arnt2|a2m|mouse	ARNT2	A2m	mouse	20B	tflink:mouse:000856:ade019945ee8	Arnt2	Q61324	Q6GQT1	Arnt2	A2m	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q61324.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	dbaeb86d0c136fd21c128912cdd84ad2c68684608e9387e6dea454f22c5bc0da	true
arnt2|abca1|mouse	ARNT2	Abca1	mouse	20B	tflink:mouse:000856:ade019945ee8	Arnt2	Q61324	P41233	Arnt2	Abca1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q61324.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	dbaeb86d0c136fd21c128912cdd84ad2c68684608e9387e6dea454f22c5bc0da	true
arnt2|ackr3|mouse	ARNT2	Ackr3	mouse	20B	tflink:mouse:000856:ade019945ee8	Arnt2	Q61324	P56485	Arnt2	Ackr3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q61324.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	dbaeb86d0c136fd21c128912cdd84ad2c68684608e9387e6dea454f22c5bc0da	true
arnt2|actr2|mouse	ARNT2	Actr2	mouse	20B	tflink:mouse:000856:ade019945ee8	Arnt2	Q61324	P61161	Arnt2	Actr2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q61324.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q61324_targets.tsv	dbaeb86d0c136fd21c128912cdd84ad2c68684608e9387e6dea454f22c5bc0da	true
ascl2|ackr2|human	ASCL2	ACKR2	human	20B	tflink:human:001045:0be97b935eac	ASCL2	Q99929	O00590	ASCL2	ACKR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q99929.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q99929_targets.tsv	ec38841e6f41241bdb03ff7282aa0e4fbc8f0f8051273763e14c5721c77e3e5c	true
ascl2|ackr3|human	ASCL2	ACKR3	human	20B	tflink:human:001045:0be97b935eac	ASCL2	Q99929	P25106	ASCL2	ACKR3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q99929.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q99929_targets.tsv	ec38841e6f41241bdb03ff7282aa0e4fbc8f0f8051273763e14c5721c77e3e5c	true
ascl2|ackr4|mouse	ASCL2	Ackr4	mouse	20B	tflink:mouse:000953:3231da0bbb17	Ascl2	O35885	Q924I3	Ascl2	Ackr4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_O35885.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	16ecb64147602e41a178aa76eb47b0848559cfc7f0c4d848b850d580df2af644	true
ascl2|actr2|human	ASCL2	ACTR2	human	20B	tflink:human:001045:0be97b935eac	ASCL2	Q99929	P61160	ASCL2	ACTR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q99929.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q99929_targets.tsv	ec38841e6f41241bdb03ff7282aa0e4fbc8f0f8051273763e14c5721c77e3e5c	true
ascl2|actr2|mouse	ASCL2	Actr2	mouse	20B	tflink:mouse:000953:3231da0bbb17	Ascl2	O35885	P61161	Ascl2	Actr2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_O35885.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	16ecb64147602e41a178aa76eb47b0848559cfc7f0c4d848b850d580df2af644	true
ascl2|adam17|mouse	ASCL2	Adam17	mouse	20B	tflink:mouse:000953:3231da0bbb17	Ascl2	O35885	Q9Z0F8	Ascl2	Adam17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_O35885.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	16ecb64147602e41a178aa76eb47b0848559cfc7f0c4d848b850d580df2af644	true
ascl2|adam9|mouse	ASCL2	Adam9	mouse	20B	tflink:mouse:000953:3231da0bbb17	Ascl2	O35885	Q61072	Ascl2	Adam9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_O35885.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_O35885_targets.tsv	16ecb64147602e41a178aa76eb47b0848559cfc7f0c4d848b850d580df2af644	true
ascl2|ada|human	ASCL2	ADA	human	20B	tflink:human:001045:0be97b935eac	ASCL2	Q99929	P00813	ASCL2	ADA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q99929.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q99929_targets.tsv	ec38841e6f41241bdb03ff7282aa0e4fbc8f0f8051273763e14c5721c77e3e5c	true
barx1|adm|human	BARX1	ADM	human	20B	tflink:human:001381:b79bd74fcea5	BARX1	Q9HBU1	P35318	BARX1	ADM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9HBU1.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9HBU1_targets.tsv	8a79fc1c2257d2a024c9bf8713ce1eb6695261d0ac0990eabc5211efe8e5d1a3	true
barx1|alcam|human	BARX1	ALCAM	human	20B;23B	tflink:human:001381:b79bd74fcea5	BARX1	Q9HBU1	Q13740	BARX1	ALCAM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9HBU1.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9HBU1_targets.tsv	8a79fc1c2257d2a024c9bf8713ce1eb6695261d0ac0990eabc5211efe8e5d1a3	true
barx1|areg|human	BARX1	AREG	human	20B	tflink:human:001381:b79bd74fcea5	BARX1	Q9HBU1	P15514	BARX1	AREG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9HBU1.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9HBU1_targets.tsv	8a79fc1c2257d2a024c9bf8713ce1eb6695261d0ac0990eabc5211efe8e5d1a3	true
