outcome_id	queue_key	regulator_symbol	target_symbol	species_scope	search_query	source_citations	evidence_type	outcome_summary	disposition	search_status
search_outcome_001	cdyl|cacng3|mouse	CDYL	Cacng3	mouse	"CDYL Cacng3 direct binding mouse"	https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	direct_occupancy_only	Mouse hippocampal CDYL qChIP occupancy at CACNG3 was confirmed, but no secure individual CDYL perturbation direction for CACNG3 was established.	retain_direct_occupancy_lead_without_promotion	completed
search_outcome_002	cdyl|glra1|mouse	CDYL	Glra1	mouse	"CDYL Glra1 direct binding mouse"	https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	direct_occupancy_only	Mouse hippocampal CDYL qChIP occupancy at GLRA1 was confirmed, but no secure individual CDYL perturbation direction for GLRA1 was established.	retain_direct_occupancy_lead_without_promotion	completed
search_outcome_003	znf580|abca1|human	ZNF580	ABCA1	human	"ZNF580 ABCA1 primary study"	https://pmc.ncbi.nlm.nih.gov/articles/PMC9353537/	perturbation_expression_without_binding	Human THP-1 oxLDL foam-cell experiments showed ZNF580 overexpression increased ABCA1 mRNA/protein and silencing decreased it; direct occupancy and independent corroboration were not found.	retain_partial_functional_staging_pending_binding_and_corroboration	completed
search_outcome_004	esx1|kras|human	ESX1	KRAS	human	"ESX1 KRAS binding promoter human"	https://pubmed.ncbi.nlm.nih.gov/15897875/	processed_fragment_binding_and_function	The exact relationship was supported for a processed ESX1/ESXR1 N-terminal homeodomain fragment that bound the KRAS intron and reduced KRAS expression; full-length ESX1 evidence was not established.	retain_fragment_context_without_full_length_promotion	completed
search_outcome_005	tet3|agrn|mouse	TET3	Agrn	mouse	"TET3 Agrn mouse methylation"	https://pmc.ncbi.nlm.nih.gov/articles/PMC4542306/	locus_level_epigenetic_evidence	TET3-dependent protection/demethylation at the mouse Agrn CGI promoter was supported in zygotes, but direct TET3 occupancy and standalone Agrn expression direction were not established.	retain_locus_epigenetic_lead_without_direct_occupancy_promotion	completed
search_outcome_006	znf507|igf2r|human	ZNF507	IGF2R	human	"ZNF507 IGF2R CRISPR RNA-seq direct regulation"	https://academic.oup.com/g3journal/article/12/3/jkac002/6509542;https://pmc.ncbi.nlm.nih.gov/articles/PMC8896011/	perturbation_and_nearest_peak_without_direct_causality	The primary ZNF507-disruption study reports an IGF2R expression change and a nearby ZNF507 peak, but does not establish direct regulation; the additional ZNF507 study is general CRISPR/RNA-seq context, not an exact IGF2R corroboration.	retain_perturbation_lead_without_promotion	completed
search_outcome_007	auts2|ccnd1|human	AUTS2	CCND1	human	"AUTS2 CCND1 deletion expression primary study"	https://pmc.ncbi.nlm.nih.gov/articles/PMC9825673/;https://pmc.ncbi.nlm.nih.gov/articles/PMC11341827/	conflicting_expression_context_without_direct_binding	A separate human cerebral-organoid study reports CCND1 downregulation in an AUTS2 missense-variant model, while the queued deletion study reports increased CCND1; the discordant variant/context results do not corroborate a single direction or direct AUTS2-to-CCND1 edge.	retain_expression_association_with_context_conflict	completed
search_outcome_008	fxr1|amh|human	FXR1	AMH	human	"FXR1 AMH RNA binding perturbation"	https://graveleylabweb.cam.uchc.edu/ENCORE_TEST/gene/?rbp_name=AMH	perturbation_only_without_exact_RNA_occupancy	The ENCORE AMH page does not establish a direct FXR1-to-AMH RNA interaction; it lists AMH-associated RNA-binding signals without an exact FXR1 occupancy call or causal perturbation for this pair.	retain_perturbation_only_lead_without_promotion	completed
search_outcome_009	kdm5c|abca1|mouse	KDM5C	Abca1	mouse	"KDM5C Abca1 mouse perturbation"	https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=202602292131894912	no_traceable_exact_primary_source	No traceable exact KDM5C-to-Abca1 primary paper was located beyond the existing J-GLOBAL source locator; retain as a search lead without promotion.	retain_database_or_locator_lead_without_promotion	completed
search_outcome_010	prmt1|abca1|human	PRMT1	ABCA1	human	"PRMT1 ABCA1 human direct regulation"	https://pubmed.ncbi.nlm.nih.gov/41545753/	nonspecific_type_I_PRMT_perturbation	A type-I PRMT inhibitor study affected PRMT1/6/8 and increased ABCA1/ABCG1-associated cholesterol efflux, but the perturbation was not PRMT1-specific and direct PRMT1 locus association was not established.	retain_indirect_perturbation_association_without_promotion	completed
search_outcome_011	tet1|il5|human	TET1	IL5	human	"TET1 IL5 human direct regulation"	https://pmc.ncbi.nlm.nih.gov/articles/PMC5868728/	expression_perturbation_without_direct_occupancy	TET1 overexpression in a human CD4 differentiation model altered cytokine expression including IL5, but direct TET1 occupancy at the IL5 locus and an independent exact-pair corroboration were not established.	retain_expression_only_lead_without_promotion	completed
search_outcome_012	ddx21|adipor2|human	DDX21	ADIPOR2	human	"DDX21 ADIPOR2 human direct RNA association"	https://graveleylabweb.cam.uchc.edu/encore/gene/index.php?rbp_name=DDX21	perturbation_only_without_exact_RNA_occupancy	The ENCORE DDX21 page reports DDX21-associated RNA-binding signals but does not establish a direct DDX21-to-ADIPOR2 RNA interaction or pair-specific causal perturbation.	retain_perturbation_only_lead_without_promotion	completed
search_outcome_013	setdb1|actr2|mouse	SETDB1	Actr2	mouse	"SETDB1 Actr2 mouse source-level binding profile"	https://maayanlab.cloud/Harmonizome/gene_set/SETDB1-19884257-MESC-mouse/CHEA%2BTranscription%2BFactor%2BBinding%2BSite%2BProfiles;https://pubmed.ncbi.nlm.nih.gov/19884257/	profile_membership_only	The ChEA profile contains Actr2 among 2057 genes in the SETDB1 mouse ES-cell binding profile, but this profile-level membership does not provide a source-level target-locus call or orthogonal functional validation for Actr2.	retain_profile_only_without_promotion	completed
search_outcome_014	setdb1|acvr1c|mouse	SETDB1	Acvr1c	mouse	"SETDB1 Acvr1c mouse source-level binding profile"	https://maayanlab.cloud/Harmonizome/gene_set/SETDB1-19884257-MESC-mouse/CHEA%2BTranscription%2BFactor%2BBinding%2BSite%2BProfiles;https://pubmed.ncbi.nlm.nih.gov/19884257/	profile_membership_only	The ChEA profile contains Acvr1c among 2057 genes in the SETDB1 mouse ES-cell binding profile, but this profile-level membership does not provide a source-level target-locus call or orthogonal functional validation for Acvr1c.	retain_profile_only_without_promotion	completed
search_outcome_015	kdm5a/jarid1a/rbp2|actr2|mouse	KDM5A/JARID1A/RBP2	Actr2	mouse	"KDM5A JARID1A RBP2 Actr2 mouse binding profile"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28343	genome_wide_binding_profile_without_target_level_validation	GSE28343 is a mouse ES-cell KDM5A/JARID1A/RBP2 ChIP-seq series demonstrating genome-wide occupancy profiling, but the retrieved record did not establish a target-specific Actr2 locus call or functional direction.	retain_profile_only_without_promotion	completed
search_outcome_016	kdm5a/jarid1a/rbp2|acvr1|mouse	KDM5A/JARID1A/RBP2	Acvr1	mouse	"KDM5A JARID1A RBP2 Acvr1 mouse binding profile"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28343	genome_wide_binding_profile_without_target_level_validation	GSE28343 is a mouse ES-cell KDM5A/JARID1A/RBP2 ChIP-seq series demonstrating genome-wide occupancy profiling, but the retrieved record did not establish a target-specific Acvr1 locus call or functional direction.	retain_profile_only_without_promotion	completed
search_outcome_017	kdm5a/jarid1a/rbp2|acvrl1|mouse	KDM5A/JARID1A/RBP2	Acvrl1	mouse	"KDM5A JARID1A RBP2 Acvrl1 mouse binding profile"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28343	genome_wide_binding_profile_without_target_level_validation	GSE28343 is a mouse ES-cell KDM5A/JARID1A/RBP2 ChIP-seq series demonstrating genome-wide occupancy profiling, but the retrieved record did not establish a target-specific Acvrl1 locus call or functional direction.	retain_profile_only_without_promotion	completed
