priority_rank	priority_score	priority_tier	search_lane	active_search_eligible	queue_state	queue_key	regulator_symbol	target_symbol	species_scope	target_graph_modules	provenance_row_count	source_registries	source_record_ids	review_ids	exact_pair_statuses	primary_and_corroborating_citations	dispositions	review_status	evidence_confidence_tier	evidence_tier_basis	search_outcome_status	next_action
1	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	aff4|cdh1|mouse	AFF4	Cdh1	mouse	20B;23B	1	TFLink	tflink:mouse:001065:7944f11c6701	public_tf_evidence_batch024_pair_08_4	contextual_ortholog_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC8865618/	retain_cross_species_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
2	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	baz1a/acf1|ctnnb1|mouse	BAZ1A/ACF1	Ctnnb1	mouse	22B	1	TFLink	tflink:mouse:001050:b18c1bf73b97	public_tf_evidence_batch025_pair_04_2	contextual_ortholog_expression_only_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC11306231/	retain_cross_species_expression_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
3	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	brd4|a2m|human	BRD4	A2M	human	20B	1	TFLink	tflink:human:000931:c23cc9bed6fe	public_tf_evidence_batch016_pair_08_1	perturbation_association_without_direct_binding_not_promotable	https://pubmed.ncbi.nlm.nih.gov/32821285/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7416228/	retain_indirect_perturbation_association_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
4	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	brd4|abca1|human	BRD4	ABCA1	human	20B	1	TFLink	tflink:human:000931:c23cc9bed6fe	public_tf_evidence_batch016_pair_08_2	perturbation_association_without_direct_binding_not_promotable	https://pubmed.ncbi.nlm.nih.gov/39990894/;https://pmc.ncbi.nlm.nih.gov/articles/PMC11843129/	retain_indirect_perturbation_association_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
5	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	capg|adam22|mouse	CAPG	Adam22	mouse	20B;23B	1	TFLink	tflink:mouse:000968:77f9f0203eb8	public_tf_evidence_batch027_pair_17_2	cross_species_expression_association_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/34166375/	retain_cross_species_association_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
6	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	ccl5|adam9|mouse	CCL5	Adam9	mouse	20B	1	TFLink	tflink:mouse:001064:fdad9f6d72a8	public_tf_evidence_batch029_pair_25_2	reverse_direction_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC6298633/	retain_reverse_direction_evidence_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
7	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	cdk7|abca1|mouse	CDK7	Abca1	mouse	20B	1	TFLink	tflink:mouse:000923:876d23c77b63	public_tf_evidence_batch021_pair_13_1	contextual_complex_association_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC2612500/	retain_complex_level_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
8	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	cdk9|abca1|mouse	CDK9	Abca1	mouse	20B	1	TFLink	tflink:mouse:000885:6a00c9fad300	public_tf_evidence_batch020_pair_23_1	contextual_ortholog_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/17998334/;https://pmc.ncbi.nlm.nih.gov/articles/PMC2223422/	retain_indirect_cross_species_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
9	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	cdk9|adam9|mouse	CDK9	Adam9	mouse	20B	1	TFLink	tflink:mouse:000885:6a00c9fad300	public_tf_evidence_batch020_pair_23_4	contextual_complex_axis_near_match_not_promotable	https://doi.org/10.1093/neuped/wuag026.338	retain_complex_axis_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
10	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	cenpt/cenpt|h2ac11|human	CENPT/Cenpt	H2AC11	human		1	TFLink	tflink:human:001542:3941f59e27db	public_tf_evidence_batch039_pair_16_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
