queue_key	regulator_symbol	target_symbol	species_scope	target_graph_modules	source_record_id	raw_tf_symbol	tf_uniprot_id	target_uniprot_id	name_tf	name_target	detection_method	pubmed_id	organism	source_database	small_scale_evidence	tflink_source_url	raw_snapshot_path	raw_snapshot_sha256	exact_pair_match
abcc9/sur2|abca1|mouse	ABCC9/SUR2	Abca1	mouse	20B	tflink:mouse:000941:00eb4586fdbc	Abcc9	P70170	P41233	Abcc9	Abca1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true
abcc9/sur2|ackr4|mouse	ABCC9/SUR2	Ackr4	mouse	20B	tflink:mouse:000941:00eb4586fdbc	Abcc9	P70170	Q924I3	Abcc9	Ackr4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true
abcc9/sur2|acvr1|mouse	ABCC9/SUR2	Acvr1	mouse	20B	tflink:mouse:000941:00eb4586fdbc	Abcc9	P70170	P37172	Abcc9	Acvr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true
abcc9/sur2|adam17|mouse	ABCC9/SUR2	Adam17	mouse	20B	tflink:mouse:000941:00eb4586fdbc	Abcc9	P70170	Q9Z0F8	Abcc9	Adam17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P70170.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P70170_targets.tsv	183392eabc4b58b4a03afefdc53cf4231e80ed99e23346b71e34ad06b0ee7051	true
ada2/cecr1|cckbr|human	ADA2/CECR1	CCKBR	human	20B	tflink:human:001336:43f9f0d36efa	ADA2	Q9NZK5	P32239	ADA2	CCKBR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	true
ada2/cecr1|fgf7|human	ADA2/CECR1	FGF7	human	20B	tflink:human:001336:43f9f0d36efa	ADA2	Q9NZK5	P21781	ADA2	FGF7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	true
ada2/cecr1|hmgb1|human	ADA2/CECR1	HMGB1	human	24B	tflink:human:001336:43f9f0d36efa	ADA2	Q9NZK5	P09429	ADA2	HMGB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NZK5.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NZK5_targets.tsv	af88a9f9851ba8bbc97f898cac0c0d58b2219149d6cc07250dbf3183e6021f16	true
adcyap1|dip2a|human	ADCYAP1	DIP2A	human	20B	tflink:human:001561:a510b1da4da0	ADCYAP1	P18509	Q14689	ADCYAP1	DIP2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true
adcyap1|ehbp1l1|human	ADCYAP1	EHBP1L1	human		tflink:human:001561:a510b1da4da0	ADCYAP1	P18509	Q8N3D4	ADCYAP1	EHBP1L1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true
adcyap1|glyctk|human	ADCYAP1	GLYCTK	human		tflink:human:001561:a510b1da4da0	ADCYAP1	P18509	Q8IVS8	ADCYAP1	GLYCTK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true
