followup_id	promotion_id	regulator_symbol	target_symbol	species_scope	module_route	promotion_class	independent_literature_support_status	independent_literature_source_count	evidence_weight_tier	current_primary_citation	current_corroborating_citation	current_cell_or_model	evidence_gap	next_evidence_requirement	exact_pair_search_url	status
public_tf_comprehensive_followup_001	public_tf_comprehensive_001	ZNF580	ABCA1	human	20B_target_interaction	role_specific_noncanonical_indirect_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC9353537/	https://pmc.ncbi.nlm.nih.gov/articles/PMC9353537/	supported_human_thp1_oxldl_foam_cells	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF580%22+AND+%22ABCA1%22+AND+human	followup_needed
public_tf_comprehensive_followup_002	public_tf_comprehensive_002	ZNF507	IGF2R	human	20B_target_interaction	role_specific_noncanonical_indirect_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://academic.oup.com/g3journal/article/12/3/jkac002/6509542	https://pubmed.ncbi.nlm.nih.gov/35100360/;https://academic.oup.com/g3journal/article/12/3/jkac002/6509542;https://pmc.ncbi.nlm.nih.gov/articles/PMC8896011/	human_HEK293_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZNF507%22+AND+%22IGF2R%22+AND+human	followup_needed
public_tf_comprehensive_followup_003	public_tf_comprehensive_003	OVOL2	Cdh2	mouse	20B_target_interaction;23B_target_interaction	sequence_specific_tf_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pmc.ncbi.nlm.nih.gov/articles/PMC4062651/	https://pubmed.ncbi.nlm.nih.gov/24735879/	present_in_mouse_mammary_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22OVOL2%22+AND+%22Cdh2%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_004	public_tf_comprehensive_004	MSGN1	Dll3	mouse	20B_target_interaction	sequence_specific_tf_exact_pair	independent_literature_corroborated	3	A_independent_literature_corroborated	https://pmc.ncbi.nlm.nih.gov/articles/PMC3622708/	https://reactome.org/content/detail/R-MMU-9824184;https://pubmed.ncbi.nlm.nih.gov/25371364/	present_in_mouse_presomitic_mesoderm_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22MSGN1%22+AND+%22Dll3%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_005	public_tf_comprehensive_005	Znf513	Arr3	mouse	general_public_interaction_catalog	sequence_specific_tf_direct_binding_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/20797688/		not_established_for_exact_pair	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Arr3%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_006	public_tf_comprehensive_006	Znf513	Pax6	mouse	general_public_interaction_catalog	sequence_specific_tf_direct_binding_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/20797688/		not_established_for_exact_pair	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Pax6%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_007	public_tf_comprehensive_007	Znf513	Rbp3	mouse	general_public_interaction_catalog	sequence_specific_tf_direct_binding_association	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/20797688/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7710524/	not_established_for_exact_pair	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Rbp3%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_008	public_tf_comprehensive_008	Znf513	Sp4	mouse	general_public_interaction_catalog	sequence_specific_tf_direct_binding_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/20797688/		not_established_for_exact_pair	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf513%22+AND+%22Sp4%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_009	public_tf_comprehensive_009	BHLHA15/MIST1	RAB26	human	general_public_interaction_catalog	sequence_specific_tf_exact_pair	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/20038531/		human_and_mouse_secretory_cell_models_not_SCI_target_cell	independent_corroboration_and_context	Seek an independent primary study plus target-cell or tissue-context evidence; retain the exact species and direction.	https://pubmed.ncbi.nlm.nih.gov/?term=%22BHLHA15%2FMIST1%22+AND+%22RAB26%22+AND+human	followup_needed
public_tf_comprehensive_followup_010	public_tf_comprehensive_010	BHLHA15/MIST1	RAB3D	human	general_public_interaction_catalog	sequence_specific_tf_broad_functional_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/20038531/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6026875/	human_and_mouse_secretory_cell_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22BHLHA15%2FMIST1%22+AND+%22RAB3D%22+AND+human	followup_needed
