module22a_handoff_id	coverage_id	pair_key	pair_label_canonical	pathway_reuse_keys	terminal_tf_entities	module21a_evidence_ids	tf_program_evidence_ids	handoff_status	terminal_tf_status	search_boundary	limitations
M22A-HANDOFF-000001	M21A-PAIR-000001	12oxoltb4-ptgr1 ltb4r1	12oxoLTB4-PTGR1 Ltb4r1	M21A-REUSE-0290		M21A-PAIR-EVID-534		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	12-oxo-LTB4 was approximately 100-fold less potent than LTB4; the study did not identify LTB4R1 or LTB4R2 as the receptor and supports metabolic inactivation rather than a defined relay
M22A-HANDOFF-000002	M21A-PAIR-000002	12oxoltb4-ptgr1 ltb4r2	12oxoLTB4-PTGR1 Ltb4r2	M21A-REUSE-0291		M21A-PAIR-EVID-535		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	12-oxo-LTB4 was approximately 100-fold less potent than LTB4; the study did not identify LTB4R1 or LTB4R2 as the receptor and supports metabolic inactivation rather than a defined relay
M22A-HANDOFF-000003	M21A-PAIR-000003	22hc-cyp11a1 nr1h4	22HC-CYP11A1 Nr1h4	M21A-REUSE-0292	NR1H4 (FXR)	M21A-PAIR-EVID-536		pending_tf_program_review	candidate_or_supported_activation	Primary downstream review batches028_029; exact pair/family boundary search.	The CYP11A1 study establishes 22HC as a catalytic intermediate and the FXR study establishes receptor activation in hepatocyte/reporter systems, but no single experiment coupled CYP11A1 flux to FXR activation in the same cells
M22A-HANDOFF-000004	M21A-PAIR-000004	22hc-cyp3a4 nr1h4	22HC-CYP3A4 Nr1h4	M21A-REUSE-0293	NR1H4 (FXR)	M21A-PAIR-EVID-537		pending_tf_program_review	candidate_or_supported_activation	Primary downstream review batches028_029; exact pair/family boundary search.	The CYP3A study supports promiscuous cholesterol hydroxylation including low 22R-hydroxylation activity but emphasizes 25-hydroxycholesterol; physiological CYP3A4-to-22HC flux and same-cell FXR coupling were not demonstrated
M22A-HANDOFF-000005	M21A-PAIR-000005	2ag-dagla cnr1	2AG-DAGLA Cnr1	M21A-REUSE-0294		M21A-PAIR-EVID-538		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The biosynthetic-enzyme and receptor-relay experiments use different models; the exact DAGLα-to-CB1 same-cell edge was not measured, and AP-1 was assayed as a composite reporter without resolving JUN/FOS subunits
M22A-HANDOFF-000006	M21A-PAIR-000006	2ag-dagla cnr2	2AG-DAGLA Cnr2	M21A-REUSE-0295		M21A-PAIR-EVID-539		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The CB2 receptor study and DAGLα localization are not a single coupled experiment; the JB6 knockout experiment establishes CB1/2 dependence jointly rather than assigning the ERK/AP-1 output to CB2 alone
M22A-HANDOFF-000007	M21A-PAIR-000007	2ag-dagla gpr55	2AG-DAGLA Gpr55	M21A-REUSE-0296		M21A-PAIR-EVID-540		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	GPR55 pharmacology is disputed: later ligand-panel work favors LPI and reports no discernible 2-AG activation in a Gα13 BRET assay; the neutrophil study shows GPR55 modulation of CB2 responses rather than proving 2-AG is a GPR55 agonist
M22A-HANDOFF-000008	M21A-PAIR-000008	2ag-daglb cnr1	2AG-DAGLB Cnr1	M21A-REUSE-0297		M21A-PAIR-EVID-541		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	DAGLβ production evidence is from macrophages whereas the CB1 relay evidence is from neuronal or epithelial models; no same-cell DAGLβ-to-CB1 coupling experiment was located
M22A-HANDOFF-000009	M21A-PAIR-000009	2ag-daglb cnr2	2AG-DAGLB Cnr2	M21A-REUSE-0298		M21A-PAIR-EVID-542		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	DAGLβ and CB2 evidence are model-separated; the JB6 knockout experiment supports joint CB1/CB2 dependence and does not assign the output uniquely to CB2
M22A-HANDOFF-000010	M21A-PAIR-000010	2ag-daglb gpr55	2AG-DAGLB Gpr55	M21A-REUSE-0299		M21A-PAIR-EVID-543		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	GPR55 ligand assignment is conflicting and the source-enzyme and receptor studies are model-separated; the neutrophil work does not establish direct 2-AG activation of GPR55
M22A-HANDOFF-000011	M21A-PAIR-000011	5-ht-dopa-ddc drd1	5-HT-DOPA-DDC Drd1			M21A-PAIR-EVID-544		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The submitted source combines serotonin with dopamine precursor/enzyme notation; dopamine-receptor evidence cannot be assigned to the 5-HT-DOPA-DDC composite, and no terminal TF was directly measured
