review_id	pair	status	stable_citations	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-CELLCHAT-REMAINING-1621	Pvr Tigit	reviewed_relay_candidate	PMID:22421438	human	recombinant human PVR/TIGIT; BJAB transfectants; primary dendritic cells	crystal structure, BLI, cell-binding/mutational assays, and PVR phosphorylation in primary dendritic cells	direct PVR-TIGIT trans binding with TIGIT clustering and receptor-proximal PVR phosphorylation	receptor_proximal_relay	PVR/TIGIT cis-trans clustering and ITIM-associated immunoregulatory signaling	high	The study supports the exact PVR-TIGIT complex and proximal phosphorylation mechanism, but does not establish a unique downstream TF endpoint in this row.	—
M20A-CELLCHAT-REMAINING-1622	Pyy Npy4r	reviewed_relay_candidate	PMID:7592911	human	COS-7 and LMTK- cells expressing cloned human Y4/NPY4R	125I-PYY binding/displacement and peptide-evoked cAMP and intracellular Ca2+ assays	direct PYY binding to NPY4R with inhibitory GPCR second-messenger coupling	receptor_proximal_relay	NPY4R/Y4 Gi/o-linked cAMP inhibition and Ca2+ signaling	high	The cloning study directly measured PYY binding, while the clearest cAMP/Ca2+ response was reported with pancreatic polypeptide; PYY-specific downstream TF evidence was not found.	—
M20A-CELLCHAT-REMAINING-1623	Pyy Npy6r	reviewed_binding_only	PMID:8910373; PMID:24411939	mouse	COS cells expressing mouse PP2/Npy6r; mouse suprachiasmatic-nucleus VIP-neuron model	125I-PP binding competition with PYY and in vivo PP/Npy6r knockout and Fos/Ghrh/IGF-1 assays	direct PYY competition at mouse Npy6r/PP2 binding site	ligand_receptor_binding_or_activation	NPY6R ligand recognition; PP-specific SCN relay kept separate	medium	Mouse PP2/Npy6r binding ranks PP above PYY, and the in vivo relay study used PP rather than PYY. The PYY-Npy6r edge is therefore not promoted to a PYY-specific relay or TF output; the human ortholog is inactivated.	—
M20A-CELLCHAT-REMAINING-1624	Pyy Pgr15l	reviewed_unresolved	PMID:38918398	human	GPR15L/GPR15 structural and recombinant receptor systems	bounded search of primary PYY, PGR15L/GPR15L, and receptor-activation literature	no qualifying direct PYY-PGR15L molecular or receptor-proximal edge	ligand_receptor_binding_or_activation	PYY versus GPR15L ligand-family boundary unresolved	low	PGR15L is itself the cognate peptide ligand for GPR15 in the cited structure/function study; no evidence supports PYY binding to PGR15L or a PYY-PGR15L receptor complex. No pathway or TF assigned.	—
M20A-CELLCHAT-REMAINING-1625	RA-ALDH1A1 RARA_CRABP2	reviewed_relay_candidate	PMID:10490651; PMID:21998312; PMID:12808103	mouse; human; COS-1, HL-60, NB-4, MCF-7, and mouse retina models	ALDH1A1 loss-of-function/RA-responsive reporter context; CRABP2-RAR association, nuclear translocation, DR5 DNA binding, and RAR reporter assays	ALDH1A1-generated RA context feeds CRABP2-assisted RARalpha activation; CRABP2-RARalpha complex is directly supported	receptor_proximal_relay	ALDH1A1 retinaldehyde oxidation → RA → CRABP2/RARA → RARE transcription	high	ALDH1A1 is a biosynthetic enzyme and not a RARA or CRABP2 subunit. The source studies do not couple ALDH1A1 flux and CRABP2-RARA activation in one assay; no direct ALDH1A1-RARA interaction is inferred.	RARA
M20A-CELLCHAT-REMAINING-1626	RA-ALDH1A1 RARA_RXRA_CRABP2	reviewed_relay_candidate	PMID:10490651; PMID:1310351; PMID:21998312; PMID:12808103	human; mouse; COS-1, HL-60, NB-4, and MCF-7 models	CRABP2/RARalpha/RXRalpha co-localization, DR5 EMSA/supershift, RAR-RXR complex formation, and RA reporter assays	ALDH1A1-generated RA activates the CRABP2-assisted RARA-RXRA receptor complex	receptor_proximal_relay	ALDH1A1 → RA → CRABP2/RARA-RXRA → DR5/RARE transcription	high	The receptor-complex and CRABP2 assistance are supported in separate biochemical/cell assays. ALDH1A1 remains source context only, and the row does not establish a direct enzyme-receptor contact.	RARA
M20A-CELLCHAT-REMAINING-1627	RA-ALDH1A1 RARB_CRABP2	reviewed_function_only	PMID:8125944; PMID:2542014; PMID:10490651; PMID:12808103	human; rat; hepatoma and transfected reporter models	RARbeta ligand-binding/transactivation assays and RA induction of RARB; CRABP2-RAR family delivery studies	RA generated in ALDH1A1 source context produces RARbeta-dependent transcriptional function; exact CRABP2-RARbeta assembly not directly isolated	downstream_pathway_function	ALDH1A1 → RA → RARB/RARE transcription	medium	Direct RARbeta binding and transcription are supported, but the cited CRABP2 complex work is strongest for RARalpha and does not prove an exact CRABP2-RARbeta ternary complex. No direct ALDH1A1-RARB interaction is inferred.	RARB
M20A-CELLCHAT-REMAINING-1628	RA-ALDH1A1 RARB_RXRB_CRABP2	reviewed_function_only	PMID:1662118; PMID:1310259; PMID:8125944; PMID:12808103	human; mouse; HeLa-derived nuclear extracts and transfected reporter systems	RXRbeta/RAR response-element binding, RARbeta ligand/transactivation assays, and CRABP2-RAR family studies	RA-source context is linked to RARbeta/RXRbeta transcriptional function at RAREs; exact CRABP2-RARbeta-RXRbeta assembly is not directly isolated	downstream_pathway_function	ALDH1A1 → RA → RARB/RXRB RARE complex	medium	RXRbeta forms functional heterodimers with RAR family members, but the exact RARB-RXRB-CRABP2 triple complex was not purified or directly perturbed. No direct ALDH1A1-receptor interaction is inferred.	RARB
M20A-CELLCHAT-REMAINING-1629	RA-ALDH1A1 RARG_CRABP2	reviewed_function_only	PMID:9506453; PMID:10490651; PMID:12808103	human; epidermal and transfected receptor models	RARgamma retinoid-binding assays and RAR family/CRABP2 delivery-transcription studies	RA source context supports direct RARgamma ligand binding and transcriptional receptor function; exact CRABP2-RARgamma assembly not directly isolated	downstream_pathway_function	ALDH1A1 → RA → RARG/RARE transcription	medium	RARgamma ligand binding is directly supported, but the CRABP2 complex evidence is not subtype-resolved to RARgamma. No direct ALDH1A1-RARG interaction or unique downstream TF beyond RARG is inferred.	RARG
M20A-CELLCHAT-REMAINING-1630	RA-ALDH1A1 RARG_RXRG_CRABP2	reviewed_function_only	PMID:1324421; PMID:1310259; PMID:9506453; PMID:12808103	human; mouse; purified/transfected nuclear-receptor and reporter systems	RARgamma/RXR family response-element binding and transactivation, RARgamma ligand assays, and CRABP2-RAR studies	RA source context is linked to RARG/RXRG-family RARE transcription; exact CRABP2-RARG-RXRG assembly is not directly isolated	downstream_pathway_function	ALDH1A1 → RA → RARG/RXRG RARE complex	medium	Primary studies support RARgamma with RXR family partners and RAR/CRABP2 delivery, but not the exact RARG-RXRG-CRABP2 complex in one assay. No direct ALDH1A1-receptor interaction is inferred.	RARG
M20A-CELLCHAT-REMAINING-1631	RA-ALDH1A1 Rorb	reviewed_relay_candidate	DOI:10.1038/nsb979; PMID:12808103	human; recombinant RORbeta LBD and reporter systems	non-denaturing mass spectrometry, scintillation proximity, RORbeta ligand-binding/crystal structure, and transcriptional reporter assays	ALDH1A1-derived RA context is linked to direct ATRA binding and inhibition of RORbeta transcriptional activity	receptor_proximal_relay	ALDH1A1 → all-trans RA → RORB retinoid-regulated nuclear-receptor activity	high	The RORbeta paper supports direct ATRA binding and receptor transcriptional inhibition, not activation. ALDH1A1 is source context only; no direct ALDH1A1-RORB interaction is inferred.	RORB
M20A-CELLCHAT-REMAINING-1632	RA-ALDH1A1 RXRA_CRABP2	reviewed_unresolved	PMID:10490651; PMID:1310351; PMID:12808103	human; mouse; CRABP2/RAR/RXR biochemical systems	bounded search of RA, CRABP2, and RXRalpha receptor-complex studies	no qualifying exact ALDH1A1-RA to RXRalpha-CRABP2 activation edge	ligand_receptor_binding_or_activation	RXRalpha-only versus RAR/RXR complex boundary unresolved	low	Classical ALDH1A1-derived all-trans RA activates RARs; CRABP2 delivery is RAR-directed, while RXRalpha is primarily the heterodimer partner in these assays. The exact RXRA-CRABP2 edge was not established and no TF assigned.	—
M20A-CELLCHAT-REMAINING-1633	RA-ALDH1A1 RXRB_CRABP2	reviewed_unresolved	PMID:1662118; PMID:10490651; PMID:12808103	human; mouse; nuclear-receptor and CRABP2 biochemical systems	bounded search of retinoid ligand, RXRbeta, RAR/RXR, and CRABP2 studies	no qualifying exact ALDH1A1-RA to RXRbeta-CRABP2 activation edge	ligand_receptor_binding_or_activation	RXRbeta-only versus RAR/RXR complex boundary unresolved	low	RXRbeta is supported as an RAR heterodimer partner, not as an isolated all-trans-RA/CRABP2 receptor in the submitted composite. No direct ALDH1A1-RXRB interaction or terminal TF assigned.	—
M20A-CELLCHAT-REMAINING-1634	RA-ALDH1A1 RXRG_CRABP2	reviewed_unresolved	PMID:1310259; PMID:10490651; PMID:12808103	mouse; human; nuclear-receptor and CRABP2 biochemical systems	bounded search of retinoid ligand, RXRgamma, RAR/RXR, and CRABP2 studies	no qualifying exact ALDH1A1-RA to RXRgamma-CRABP2 activation edge	ligand_receptor_binding_or_activation	RXRgamma-only versus RAR/RXR complex boundary unresolved	low	RXRgamma participation in RAR/RXR family complexes does not establish an isolated RXRG-CRABP2 receptor edge for ALDH1A1-derived all-trans RA. No terminal TF assigned.	—
