evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-4364	M20A-LIANA-REMAINING-0214	sema4a plxnb1	M21A-REUSE-2076	medium	high	DOI:10.3892/ijmm_00000334	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4365	M20A-LIANA-REMAINING-0215	sema4a plxnb2	M21A-REUSE-2077	medium	high	DOI:10.3892/ijmm_00000334	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4366	M20A-LIANA-REMAINING-0216	sema4a plxnb3	M21A-REUSE-2078	medium	high	DOI:10.3892/ijmm_00000334	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4370	M20A-LIANA-REMAINING-0220	sema5a plxnb3	M21A-REUSE-2081	medium-high	high	PMID:15218527;PMCID:PMC1299100;PMID:33669221	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4372	M20A-LIANA-REMAINING-0222	sema6a plxna4	M21A-REUSE-2083	medium-high	high	PMID:20606624;PMID:19063725;PMID:31698249	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4388	M20A-LIANA-REMAINING-0238	tnf tnfrsf1a	M21A-REUSE-2086	medium	high	PMID:8910423; PMID:32991680	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4389	M20A-LIANA-REMAINING-0239	tnf tnfrsf1b	M21A-REUSE-2087	medium	high	PMID:8910423; PMID:32991680	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4390	M20A-LIANA-REMAINING-0240	tnfsf10 tnfrsf10b	M21A-REUSE-2088	medium-high	high	PMID:10770955	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4391	M20A-LIANA-REMAINING-0241	tnfsf11 lgr4	M21A-REUSE-2089	medium-high	high	PMID:27064449	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4395	M20A-LIANA-REMAINING-0245	tnfsf13 tnfrsf13b	M21A-REUSE-2092	medium-high	high	PMID:15851487	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4396	M20A-LIANA-REMAINING-0246	tnfsf13 tnfrsf17	M21A-REUSE-2093	medium-high	high	PMID:15851487	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4397	M20A-LIANA-REMAINING-0247	tnfsf13b tnfrsf13b	M21A-REUSE-2094	medium	high	PMID:15630136	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4399	M20A-LIANA-REMAINING-0249	tnfsf13b tnfrsf17	M21A-REUSE-2096	medium	high	PMID:10801128; DOI:10.1038/35010115; PMID:15630136; PMCID:PMC2212754; PMID:16960154; PMCID:PMC1785096	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4407	M20A-LIANA-REMAINING-0257	vegfa nrp1	M21A-REUSE-2103	medium-high	high	PMID:22318724; PMCID:PMC3322888; DOI:10.1074/jbc.M111.331140; PMID:17575273; DOI:10.1074/jbc.M703554200	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
M21A-PAIR-EVID-4410	M20A-LIANA-REMAINING-0260	wnt1 fzd10_lrp6	M21A-REUSE-2104	medium-high	high	PMID:24599775; PMCID:PMC4031291; DOI:10.1002/dvdy.24123; PMID:11029007; DOI:10.1038/35035117	Local-register revalidation supports exact pair-associated qualified-high function at the recorded layer; topology and TF metadata remain unchanged.	true	true	false
