review_id	pair	status	stable_citations	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-0875	App Rpsa	reviewed_unresolved	PMCID:PMC4098866; DOI:10.1016/j.bbadis.2025.167753; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APP+RPSA	human; mouse	RPSA membrane-receptor/laminin-receptor studies; APP endolysosomal studies; no exact APP-RPSA binary model	broad PubMed/PMC/publisher search; APP localization or amyloidogenesis was altered by RPSA perturbation in disease-model work, but no exact pair binding or receptor-proximal activation assay was located	no qualifying exact APP-RPSA binding or activation edge	ligand_receptor_binding_or_activation	APP processing/endolysosomal trafficking versus RPSA membrane-receptor functions remain separate	low	RPSA is a ribosomal/multiform membrane-associated protein rather than an established extracellular APP ligand or canonical receptor; disease-level APP accumulation after RPSA perturbation does not establish a direct molecular pair	—
M20A-EXT-0876	App Tspan12	reviewed_function_only	PMID:19587294; PMCID:PMC2775005; PMID:26694839; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APP+TSPAN12	human; mouse	MCF7 and SH-SY5Y cells; mouse brain context	TSPAN12 overexpression, reciprocal ADAM10 co-immunoprecipitation, APP ectodomain-shedding assay, and tetraspanin depletion/secretase-complex assays	regulates APP processing through ADAM10/tetraspanin-secretase organization	downstream_pathway_function	ADAM10-dependent APP alpha-secretase shedding; regulated intramembrane proteolysis	medium	Evidence is pathway/processing-level and mediated through ADAM10; TSPAN12 is not shown to bind APP directly and no APP receptor-proximal relay or terminal TF was measured	—
M20A-EXT-0877	App Tspan15	reviewed_unresolved	PMID:29520422; PMID:26694839; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APP+TSPAN15	mouse; human	mouse brain and Tspan15-knockout brain; APP/ADAM10 tetraspanin literature	Tspan15-ADAM10 interaction and knockout analysis; APP alpha-secretase cleavage measured as a negative/unchanged outcome	no qualifying exact APP-TSPAN15 activation edge; indirect ADAM10 association only	ligand_receptor_binding_or_activation	TspanC8-ADAM10 substrate selection; APP processing boundary	low	Tspan15 directly regulates ADAM10 maturation and shedding of other substrates, but the primary in vivo study reported no change in APP alpha-secretase cleavage after Tspan15 loss; this does not support a direct APP-Tspan15 edge	—
M20A-EXT-0878	App Vldlr	reviewed_binding_only	PMCID:PMC3379943; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=FE65+VLDLR+APP	human; mouse	whole mouse brain lysate; HEK293 and neuronal trafficking models	co-immunoprecipitation of APP and VLDLR with FE65 adaptor context; trafficking/processing perturbation	adaptor-mediated APP-VLDLR complex/trafficking association	ligand_receptor_binding_or_activation	APP-FE65-VLDLR trafficking and receptor processing	medium	The evidence supports a receptor-complex/adaptor association rather than a soluble ligand-receptor activation event; direct binary APP-VLDLR affinity and downstream TF output were not isolated	—
M20A-EXT-0879	Areg Erbb3	reviewed_unresolved	PMID:28723928; PMID:40637454; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=AREG+ERBB3	human; human HNSCC cell lines and patient-derived models	EGFR-ligand expression and ErbB3 inhibition/activation studies; no exact AREG-ErbB3 binding assay	no qualifying exact AREG-ERBB3 binding or receptor activation edge	ligand_receptor_binding_or_activation	AREG-EGFR branch versus NRG1/ERBB3-HER2 branch	low	Primary evidence supports AREG as an EGFR ligand and NRG1 as the relevant ErbB3 ligand; association of AREG expression with ErbB3-model response cannot be converted into exact AREG-ErbB3 binding or activation	—	—
M20A-EXT-0880	Arf1 Chrm3	reviewed_relay_candidate	DOI:10.1111/j.1432-1033.1995.240_c.x; PMID:12799371; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=ARF1+CHRM3+PLD	human	HEK293 cells stably expressing human M3 muscarinic receptor	M3 agonist stimulation in permeabilized cells; GTPgammaS reconstitution with recombinant ARF1; brefeldin-A and ARF-translocation perturbations	receptor-proximal ARF-dependent PLD activation downstream of CHRM3	receptor_proximal_relay	CHRM3-G protein/ARF-GEF-ARF1-PLD signaling	medium	The study measured an ARF-family relay to PLD and reconstituted ARF1 activity, but did not establish a stable binary CHRM3-ARF1 complex or a terminal TF	—
M20A-EXT-0881	Arf1 Insr	reviewed_relay_candidate	PMID:9197239; PMID:12969509; PMCID:PMC212319	rat; human insulin receptor expressed in rat fibroblast/HeLa models	insulin stimulation; ARF1-GFP translocation; ARF/insulin-receptor co-immunoprecipitation; ARNO and PLD perturbation	insulin-receptor-dependent ARF activation and PLD relay	receptor_proximal_relay	INSR-ARNO-ARF1-PLD branch	medium-high	The evidence supports an insulin-triggered ARF/PLD macromolecular relay, with possible adaptor mediation; it does not justify treating ARF1 as an extracellular ligand or assigning a terminal TF	—	—
M20A-EXT-0882	Arf1 Pld2	reviewed_relay_candidate	PMID:9867870; PMID:10801846; PMCID:PMC1220346	mouse; rat; human protein reconstitution	purified PLD2/ARF assays, PLD2 deletion/chimera analysis, cardiac membrane fractionation, and ARF1-reversible inhibition	ARF1 activation/regulation of PLD2	 receptor_proximal_relay	ARF1-PLD2 phospholipase and membrane-trafficking branch	medium	Full-length PLD2 is substantially constitutive and some ARF responsiveness is context- or construct-dependent; this is a direct intracellular effector edge, not ligand-receptor binding and not a terminal TF claim	—	—
M20A-EXT-0883	Arf6 Pld1	reviewed_relay_candidate	PMID:12379803; PMID:12509462	mouse; rat; human proteins	PC12 neuroendocrine cells; purified PLD1; secretagogue and constitutively active/inactive ARF6 perturbations	ARF6 directly interacts with and activates PLD1 during regulated exocytosis	receptor_proximal_relay	ARF6-PLD1 membrane phospholipid remodeling and exocytotic fusion pore	 high	Direct interaction, colocalization, mutant separation-of-function, and PLD1 activity were measured; the edge is intracellular vesicle signaling and must not be interpreted as an extracellular ligand-receptor pair	—	—
M20A-EXT-0884	Arf6 Smap1	reviewed_relay_candidate	PMCID:PMC1073646; PMID:36494580; DOI:10.1038/s41417-022-00570-2	human; mouse	HeLa, DLD1, Caco-2, RKO and SW48 colorectal cell models	purified-protein Arf6-GAP assay; SMAP1 loss/overexpression; active-Arf6 pulldown; clathrin/transferrin endocytosis and migration assays	SMAP1 is an Arf6 GAP and trafficking regulator	receptor_proximal_relay	ARF6-SMAP1 clathrin-dependent endocytosis and Rac1/migration branch	 high	This is a direct intracellular regulatory edge with trafficking and GAP activity, not an extracellular ligand-receptor interaction; cell-line and cancer-context dependence limits generalization	—
