family_id	family_name	canonical_relay_coverage	alternate_branch_coverage	species_posture	SCI_relevance_posture	status	next_gap
M21A-F01	IL6/LIF/OSM/CNTF-gp130	IL-6 receptor to JAK1/STAT3; LIFR-gp130 and OSMR-gp130 to JAK/STAT3	OSMR-specific STAT5B; gp130 SHP2/GRB2/MAPK; JAK2/TYK2 ancillary activation	Human and mouse comparator evidence	IL-6/JAK/STAT3 has SCI-linked carry-forward from Module 15B; receptor-family branch weights remain non-SCI	ACTIVE_SATURATED_FIRST_PASS	CNTFR-specific primary receptor-complex evidence and SCI cell-state validation
M21A-F02	IFN-alpha/beta/gamma	IFNAR JAK1/TYK2 to STAT1/STAT2/ISGF3; IFNGR JAK1/JAK2 to STAT1	IFN-gamma Pyk2/ERK branch	Human and mouse comparator evidence	Inflammatory/immune relay; no direct SCI receiver weighting in this packet	ACTIVE_SATURATED_FIRST_PASS	IFN-lambda and astrocyte-specific IRF/STAT branch evidence
M21A-F03	TNF	TNFR1-TRADD to TRAF2/NF-kappaB and FADD/CASP8; RIPK1 complex	TRADD-independent RIPK1 necrosis boundary	Mouse and mammalian comparator evidence	Strong injury relevance by inflammatory intersection; source packet is not SCI-specific	ACTIVE_SATURATED_FIRST_PASS	TNFR2 and astrocyte-specific death-versus-survival branch evidence
M21A-F04	IL-1	IL1R1/IL1RAP-MyD88-IRAK4/IRAK1-TRAF6-TAK1 to NF-kappaB/JNK	MyD88S inhibitory isoform boundary	Mammalian comparator evidence	Strong inflammatory intersection; no receiver-state weights assigned	ACTIVE_SATURATED_FIRST_PASS	IL-1R2 decoy and SCI astrocyte branch validation
M21A-F05	Chemokine GPCR	CXCL12-CXCR4-Gi to PI3K/AKT and ERK	Src-EGFR transactivation branch	Human and mouse comparator evidence	Neural/chemokine relevance; CXCL12/CXCR4 is exportable as comparator relay pending SCI context	ACTIVE_SATURATED_FIRST_PASS	CCL/CXCR receptor families and ligand-biased branch comparison
M21A-F06	BMP/TGF-beta	TGFBR-SMAD2/3-SMAD4; BMPR-SMAD1/5/9-SMAD4	Noncanonical MAPK/PI3K/RHO branches intentionally bounded	Mouse and mammalian comparator evidence	Repair/fibrosis relevance; direct SCI receiver evidence not yet integrated	ACTIVE_SATURATED_FIRST_PASS	Noncanonical branch sources and SCI cell-type specificity
M21A-F07	EGF/FGF/PDGF/VEGF RTKs	EGFR-Shc-Grb2-Sos-Ras-ERK; FGFR-FRS2; PDGFR-PI3K; VEGFR2-PLC/ERK and PI3K/AKT	Adaptor-specific PI3K/SRC/PLC branch distinctions	Human and mouse comparator evidence	Growth-factor repair relevance; most rows are comparator-only until matched to SCI receiver states	ACTIVE_SATURATED_FIRST_PASS	PDGFR ERK/SRC and FGFR/VEGFR cell-type-specific branch evidence
M21A-F08	WNT	FZD-LRP6-DVL signalosome to beta-catenin-TCF	Noncanonical PCP/JNK and WNT-Ca2+ branches intentionally bounded	Mammalian comparator evidence	Repair/development relevance; no SCI receiver weighting in this packet	ACTIVE_SATURATED_FIRST_PASS	Noncanonical WNT branch and SCI glial-state evidence
M21A-F09	Notch	Ligand-triggered processing to NICD-RBPJ/CSL-HES1/HEY1	Noncanonical Notch outputs intentionally bounded	Mammalian comparator evidence	Repair/development relevance; no SCI receiver weighting in this packet	ACTIVE_SATURATED_FIRST_PASS	Notch ligand/paralog-specific branch and SCI glial-state evidence
M21A-F10	CSF1/CSF1R glial crosstalk	CSF1-CSF1R-dependent microglial proliferation and astrocyte repair feedback	IFN-beta/IFNAR astrocyte survival branch; CSF1 source contributions beyond astrocytes	Mouse focal SCI with astrocytes and microglia	Direct lesion-border astrocyte CSF1 and microglial IFN-beta functional crosstalk	ACTIVE_SATURATED_FIRST_PASS	CSF1R receptor-proximal relay and cell-state/timepoint specificity
