evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-2061	M20A-CELLCHAT-REMAINING-1659	raet1d nkg2d_hcst	M21A-REUSE-1322	medium	high	PMID:11562472; PMID:11825567; PMID:17923698	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2073	M20A-CELLCHAT-REMAINING-1672	sema3c plxnd1	M21A-REUSE-1328	medium-high	high	PMID:18625214; DOI:10.1016/j.ydbio.2008.06.028	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2074	M20A-CELLCHAT-REMAINING-1673	sema4a timd2	M21A-REUSE-1329	medium-high	high	DOI:10.1038/nature01037; PMID:23007237	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2075	M20A-CELLCHAT-REMAINING-1674	sema6d plxna1	M21A-REUSE-1330	medium-high	high	PMID:14977921; PMID:17145500; PMID:17897628; DOI:10.1101/gad.1167304	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2076	M20A-CELLCHAT-REMAINING-1675	sema6d plxna1_kdr	M21A-REUSE-1331	medium-high	high	PMID:14977921; PMCID:PMC359397; DOI:10.1101/gad.1167304	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2095	M20A-CELLCHAT-REMAINING-1695	slurp2 chrna3	M21A-REUSE-1333	medium-high	high	PMID:27485575; PMCID:PMC4971505	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2096	M20A-CELLCHAT-REMAINING-1696	slurp2 chrna4	M21A-REUSE-1334	medium-high	high	PMID:27485575; PMCID:PMC4971505	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2099	M20A-CELLCHAT-REMAINING-1699	slurp2 chrna7	M21A-REUSE-1335	medium-high	high	PMID:27485575; PMCID:PMC4971505; DOI:10.1038/srep30698	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2102	M20A-CELLCHAT-REMAINING-1702	slurp2 chrnb2	M21A-REUSE-1336	medium-high	high	PMID:27485575; PMCID:PMC4971505; DOI:10.1038/srep30698	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-2110	M20A-CELLCHAT-REMAINING-1711	tafa4 fpr1	M21A-REUSE-1339	medium-high	high	PMID:25109685; PMCID:PMC4579646; DOI:10.1038/cmi.2014.61	Exact receptor-complex interaction and qualified receptor-proximal relay or bounded function support qualified-high promotion; recorded topology and context boundaries remain unchanged.	true	true	false
