evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-5441	M20A-EXT-2521	ncan sdc3	M21A-REUSE-2572	medium-high	high	PMID:15198637;PMCID:PMC1134051	HSPG-dependent NCAN/SDC3 binding and cerebellar neurite-outgrowth function support qualified-high function-only promotion; preserve neurocan fragment and HS/CS chain context, with no defined SDC3 cytosolic relay.	true	true	false
M21A-PAIR-EVID-5442	M20A-EXT-2522	ndp lgr4	M21A-REUSE-2573	medium-high	high	PMCID:PMC3666258;PMID:23891289	Direct Norrin/LGR4 binding and activation with FZD/LRP5/6 cooperation and Wnt reporter output support qualified-high promotion; TOPFLASH is pathway output, not direct TF occupancy.	true	true	false
M21A-PAIR-EVID-5446	M20A-EXT-2537	nlgn1 nrxn1	M21A-REUSE-2575	medium-high	high	PMCID:PMC2119998;PMCID:PMC2771087;DOI:10.1016/S0969212611001353	Direct NLGN1/NRXN1 trans-synaptic adhesion with synapse and electrophysiology function supports qualified-high function-only promotion; preserve splice, calcium, and multicomponent scaffold context.	true	true	false
M21A-PAIR-EVID-5447	M20A-EXT-2538	nlgn1 nrxn2	M21A-REUSE-2576	medium	high	PMCID:PMC3243752;PMCID:PMC2771087	NLGN1/NRXN2beta complex-resolved adhesion and GABAergic synapse organization support qualified-high function-only promotion; preserve NRXN2beta and tripartite receptor context.	true	true	false
M21A-PAIR-EVID-5448	M20A-EXT-2539	nlgn2 nrxn1	M21A-REUSE-2577	medium-high	high	PMID:18334217;PMID:18084303;PMCID:PMC2922956	Calcium-dependent NLGN2/NRXN1beta trans-synaptic adhesion and inhibitory synapse organization support qualified-high function-only promotion; preserve NRXN1 splice-site-4 and NLGN2 isoform specificity.	true	true	false
M21A-PAIR-EVID-5449	M20A-EXT-2541	nlgn3 nrxn1	M21A-REUSE-2578	medium	high	PMID:18084303;PMID:18334217;PMID:33758193	Exact NLGN3/NRXN1beta adhesion and synapse differentiation function support qualified-high function-only promotion; preserve splice/isoform dependence and competing PTPdelta-NLGN3 interaction.	true	true	false
M21A-PAIR-EVID-5450	M20A-EXT-2545	nmb nmbr	M21A-REUSE-2579	medium-high	high	PMID:9555086;PMCID:PMC8490515;PMID:41257985	Exact NMB/NMBR GPCR activation with Gq/PLC-calcium and context-dependent neuronal/secretory outputs support qualified-high promotion; preserve PLC/PLD and Gbeta-gamma branch distinctions.	true	true	false
M21A-PAIR-EVID-5452	M20A-EXT-2550	nms nmur2	M21A-REUSE-2581	medium-high	high	PMID:18214396;PMID:27512149;PMID:15331768	NMS stimulation, NMUR2 knockdown, calcium/Akt/ERK, and myometrial contractile function support qualified-high promotion; preserve pregnancy-associated/inflammatory myometrium context.	true	true	false
M21A-PAIR-EVID-5453	M20A-EXT-2554	nmu nmur1	M21A-REUSE-2582	medium-high	high	PMID:10894543;PMID:15331768;PMID:20599609;PMID:28869974	Exact NMU/NMUR1 GPCR activation and Gq/11/Gi, PI3K/PKCepsilon/ERK/calcium functions support qualified-high promotion; preserve neuronal, ILC2, and smooth-muscle branch boundaries.	true	true	false
M21A-PAIR-EVID-5454	M20A-EXT-2555	nmu nmur2	M21A-REUSE-2583	medium-high	high	PMID:10894543;PMID:11010960;PMID:15331768;PMID:27512149	Exact NMU/NMUR2 coupling and contractile/neuroendocrine function support qualified-high promotion; preserve recombinant-receptor versus tissue-model differences.	true	true	false
M21A-PAIR-EVID-5455	M20A-EXT-2556	nodal acvr1b_acvr2a	M21A-REUSE-2584	medium-high	high	PMID:11389842;PMID:18089557;PMCID:PMC154321;https://doi.org/10.1046/j.1365-2443.2002.00528.x	Nodal/Cripto-dependent ACVR1B/ACVR2A assembly, rescue, and SMAD2/3 developmental function support qualified-high promotion; preserve composite coreceptor and ACVR2A/B redundancy.	true	true	false
M21A-PAIR-EVID-5456	M20A-EXT-2558	nodal acvr1b_acvr2b	M21A-REUSE-2585	medium-high	high	PMID:11389842;PMID:18089557;PMID:25603319;PMCID:PMC4300205	Nodal/Cripto-dependent ACVR1B/ACVR2B binding/reconstitution and SMAD2/3 assays support qualified-high promotion; preserve BMPRII/weaker ACTRIIB and ACVR2A/B redundancy, not ACVR2B exclusivity.	true	true	false
M21A-PAIR-EVID-5458	M20A-EXT-2567	npb npbwr1	M21A-REUSE-2587	medium-high	high	PMID:12401809;PMCID:PMC156358;PMID:15797961	Exact NPB/NPBWR1 GPCR binding/activation with Gi/o-cAMP, PLC/calcium, and secretory outputs support qualified-high promotion; NPBWR2 is an alternative where expressed.	true	true	false
M21A-PAIR-EVID-5459	M20A-EXT-2568	npff npffr1	M21A-REUSE-2588	medium-high	high	PMID:23911743;PMCID:PMC4018085;PMID:19682524	Exact NPFF/NPFFR1 binding/activation, Gi/o-cAMP, calcium, and nociceptive modulation support qualified-high promotion; preserve RF-amide cross-reactivity and heterologous/in-vivo circuit limits.	true	true	false
