review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	primary_evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-CELLCHAT-REMAINING-0701	GABA-GAD2_SLC6A8 GABR_A6B3G2	reviewed_relay_candidate	PMID:22319471; PMID:17658489; DOI:10.1016/j.brainres.2007.06.050	rat/human	HEK293 cells expressing recombinant alpha6beta3gamma2 GABAA receptors; recombinant mammalian-cell systems	GABA concentration-response and whole-cell current recordings; alpha-subunit comparison across alpha1-alpha6 beta3gamma2 receptors	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha6beta3gamma2 GABAA pentamer -> ligand-gated anion current; synaptic/extrasynaptic inhibitory relay	medium-high	Exact alpha6beta3gamma2 receptor activation is measured, but native stoichiometry and cell-type localization are model dependent. GAD2 is the biosynthetic enzyme and SLC6A8 is a creatine transporter, not a receptor subunit or direct evidence of receptor activation. No TF measured.	—
M20A-CELLCHAT-REMAINING-0702	GABA-GAD2_SLC6A8 Gabbr1	reviewed_binding_only	PMID:22660477; PMID:11588177; PMID:11008066; DOI:10.1016/S0893-133X(00)00145-7	human/rat	recombinant GABAB1 extracellular-domain and heterologous GABAB receptor systems	GABA-site structural/functional mapping; comparison of GABAB1 alone with GABAB1/GABAB2	receptor ligand-binding component	ligand_receptor_binding_or_activation	GABA binds the GABAB1 Venus-flytrap component; productive GABAB signaling requires the GABAB1-GABAB2 heterodimer	medium	GABAB1 carries the principal orthosteric ligand-binding site but is poorly surface expressed and does not form a complete signaling receptor alone. GAD2 is the biosynthetic enzyme and SLC6A8 is a transport label, not part of GABAB1. No TF measured.	—
M20A-CELLCHAT-REMAINING-0703	GABA-GAD2_SLC6A8 Gabbr2	reviewed_unresolved	PMID:11588177; PMID:16120656; PMID:10939334; DOI:10.1016/S0896-6273(00)00012-X	human/rat	recombinant GABAB1/GABAB2 heterodimers in Xenopus oocytes, BHK cells, and trafficking assays	GABAB2 intracellular-loop mutagenesis; baclofen-evoked GIRK/PLC responses only with GABAB1/GABAB2 coexpression; surface-trafficking analysis	obligate receptor-complex coupling component	ligand_receptor_binding_or_activation	GABAB2 supplies G-protein coupling in assembled GABAB1-GABAB2 receptor; no standalone GABA-GABAB2 activation edge	low	GABAB2 is required for signaling but does not provide the principal orthosteric GABA-binding site; evidence is for the heterodimer, not GABAB2 alone. GAD2 is the biosynthetic enzyme and SLC6A8 is a transport label. No TF measured.	—
M20A-CELLCHAT-REMAINING-0704	GABA-GAD2_SLC6A8 GABR_A1B2	reviewed_relay_candidate	PMID:7815361; PMID:15946973; DOI:10.1111/j.1469-9568.1992.tb00103.x	rat/human	recombinant alpha1beta2 GABAA receptors in transfected cells and Xenopus oocytes	rapid GABA application; whole-cell chloride-current recordings; proton modulation and receptor pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta2 GABAA ligand-gated anion channel -> inhibitory membrane current	medium	Binary alpha1beta2 receptors are experimentally functional, although native assembly and abundance are context dependent. GAD2 is the biosynthetic enzyme and SLC6A8 is a creatine-transport label, not a receptor component. No TF measured.	—
M20A-CELLCHAT-REMAINING-0705	GABA-GAD2_SLC6A8 GABR_A1B2D	reviewed_relay_candidate	PMID:18204487; PMCID:PMC2267270; DOI:10.1038/sj.bjp.0707665	mouse/human receptor sequences	Xenopus laevis oocytes expressing recombinant alpha1beta2delta GABAA receptors	GABA concentration-response recordings; neurosteroid and THIP modulation; bicuculline/picrotoxin pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta2delta GABAA channel -> extrasynaptic tonic inhibitory conductance	medium-high	Exact receptor complex and GABA activation are directly supported; basal efficacy and delta-subtype modulation are context dependent. GAD2 and SLC6A8 remain separate biosynthetic/transport labels. No TF measured.	—
M20A-CELLCHAT-REMAINING-0706	GABA-GAD2_SLC6A8 GABR_A1B2G2	reviewed_relay_candidate	PMID:8757254; PMCID:PMC6578878; DOI:10.1523/JNEUROSCI.16-17-05415.1996; PMID:16339017	rat/human	Xenopus laevis oocytes and HEK293 cells expressing recombinant alpha1beta2gamma2 GABAA receptors	GABA concentration-response, stoichiometry, and whole-cell/patch-clamp kinetic studies	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta2gamma2 GABAA pentamer -> fast synaptic inhibitory chloride current	medium-high	Exact receptor complex and GABA-evoked current are directly measured; native stoichiometry and abundance remain context dependent. GAD2 and SLC6A8 are upstream biosynthetic/transport labels, not receptor subunits. No TF measured.	—
M20A-CELLCHAT-REMAINING-0707	GABA-GAD2_SLC6A8 GABR_A1B3	reviewed_relay_candidate	PMID:8951718; PMCID:PMC1160919; DOI:10.1113/jphysiol.1996.sp021756; PMID:7815361	rat/human	recombinant alpha1beta3 GABAA receptors in transfected cells and oocytes	GABA-evoked whole-cell currents; desensitization and kinetic comparison	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta3 GABAA channel -> inhibitory anion current	medium	Exact binary receptor function is supported, but native prevalence and assembly vary by cell type. GAD2 is the biosynthetic enzyme and SLC6A8 is a transport label. No TF measured.	—
M20A-CELLCHAT-REMAINING-0708	GABA-GAD2_SLC6A8 GABR_A1B3G2	reviewed_relay_candidate	PMID:8951718; PMCID:PMC1160919; DOI:10.1113/jphysiol.1996.sp021756; PMID:20176630; PMCID:PMC2872731	rat/human	recombinant alpha1beta3gamma2 GABAA receptors in transfected cells	GABA activation kinetics; whole-cell currents; gamma2-dependent desensitization and receptor-isoform comparison	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta3gamma2 GABAA pentamer -> fast synaptic inhibitory current	medium-high	Exact recombinant complex and GABA current are supported; neuronal localization and network effects are contextual, not TF evidence. GAD2 and SLC6A8 remain separate biosynthetic/transport labels. No TF measured.	—
M20A-CELLCHAT-REMAINING-0709	GABA-GAD2_SLC6A8 GABR_A2B3G2	reviewed_relay_candidate	PMID:22711532; PMCID:PMC3425235; DOI:10.3389/fnmol.2012.00035; PMID:9370445	rat/human	HEK293T cells expressing recombinant alpha2beta3gamma2 receptors; neuronal receptor-targeting models	whole-cell GABA currents; THDOC/THIP modulation; surface-expression and synaptic-targeting comparisons	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha2beta3gamma2 GABAA channel -> synaptic inhibitory current	medium-high	Exact complex is supported by recombinant current and localization studies; neuronal consequences are receptor-complex function, not terminal transcriptional evidence. GAD2 and SLC6A8 remain separate upstream labels. No TF measured.	—
M20A-CELLCHAT-REMAINING-0710	GABA-GAD2_SLC6A8 GABR_A3B3E	reviewed_relay_candidate	PMID:22319471; PMID:16543268	rat/human/mouse	HEK293 cells and recombinant alpha3beta3epsilon GABAA receptor systems; mouse GnRH-neuron comparator	GABA concentration-response and whole-cell current recordings; picrotoxin-sensitive spontaneous and GABA-evoked currents	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha3beta3epsilon GABAA receptor -> ligand-gated inhibitory current	medium	Exact alpha3beta3epsilon activation is reported in a comparative recombinant study; epsilon-containing receptor pharmacology and native abundance are context dependent. GAD2 is biosynthetic and SLC6A8 is a transport label. No TF measured.	—
M20A-CELLCHAT-REMAINING-0711	GABA-GAD2_SLC6A8 GABR_A3B3G2	reviewed_relay_candidate	PMID:22319471; PMID:7766843; PMID:20074611	rat/human	HEK293 cells and Xenopus oocytes expressing recombinant alpha3beta3gamma2 GABAA receptors	GABA concentration-response; two-electrode voltage clamp; benzodiazepine/allosteric-modulator current assays	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha3beta3gamma2 GABAA pentamer -> synaptic/phasic inhibitory current	medium-high	Exact complex is functionally supported, but pharmacology does not establish a terminal TF or a single native cell type. GAD2 and SLC6A8 remain separate upstream labels. No TF measured.	—
