review_id	pair_key	pair_label_canonical	pathway_reuse_key	evidence_id	source_locators	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence_tier	terminal_tf_entities	review_status	curator_note
M20A-CELLCHAT-REMAINING-0626	gaba-gad2_slc6a1 gabr_a3b3g2	GABA-GAD2_SLC6A1 GABR_A3B3G2	M21A-REUSE-0663	M21A-PAIR-EVID-1084	PMID:15199051; PMID:9767648	human/rat	Xenopus oocytes and recombinant mammalian cells expressing alpha3beta3gamma2 GABAA receptors	GABA concentration-response and recombinant whole-cell/patch-clamp current recordings; subtype pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha3beta3gamma2 GABAA pentamer -> ligand-gated inhibitory Cl- current	medium-high		reviewed_relay_candidate	The exact recombinant receptor complex and GABA-evoked activity are supported, while native abundance and stoichiometry are context dependent. GAD2 is a GABA-biosynthetic enzyme and SLC6A1 is a GABA transporter, not a receptor component. No TF measured.
M20A-CELLCHAT-REMAINING-0627	gaba-gad2_slc6a1 gabr_a3b3q	GABA-GAD2_SLC6A1 GABR_A3B3Q		M21A-PAIR-EVID-1085	https://pubmed.ncbi.nlm.nih.gov/?term=GABRA3+GABRB3+GABRQ+GABA; https://europepmc.org/search?query=GABRA3%20GABRB3%20GABRQ%20GABA	human/mouse/rat	No qualifying exact alpha3beta3theta recombinant receptor model located in the bounded search	Exact-subunit PubMed/PMC/publisher search; family-level alpha3beta3 GABAA pharmacology excluded from promotion	no qualifying exact receptor-complex evidence	ligand_receptor_binding_or_activation	GABAA alpha3beta3theta exact-complex branch unresolved	low		reviewed_unresolved	GABRQ encodes the theta subunit; evidence for alpha3beta3gamma2 or alpha3beta3epsilon cannot be transferred to alpha3beta3theta. GAD2 and SLC6A1 remain synthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0628	gaba-gad2_slc6a1 gabr_a4b2d	GABA-GAD2_SLC6A1 GABR_A4B2D	M21A-REUSE-0664	M21A-PAIR-EVID-1086	PMID:14966300; PMID:18227274; PMID:16452673	human/mouse/rat	Recombinant alpha4beta2delta GABAA receptors in HEK cells and Xenopus oocytes	GABA concentration-response, single-channel and whole-cell recordings; neurosteroid and anesthetic modulation; antagonist pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha4beta2delta GABAA channel -> extrasynaptic tonic inhibitory conductance	medium-high		reviewed_relay_candidate	The exact receptor complex is directly supported, but basal GABA efficacy and modulation are model dependent. GAD2 is a biosynthetic enzyme and SLC6A1 is a transporter, not a receptor component. No TF measured.
M20A-CELLCHAT-REMAINING-0629	gaba-gad2_slc6a1 gabr_a4b3d	GABA-GAD2_SLC6A1 GABR_A4B3D	M21A-REUSE-0665	M21A-PAIR-EVID-1087	PMID:16272218; PMID:18762200	human/mouse/rat	Recombinant alpha4beta3delta GABAA receptors in HEK cells and heterologous fluorescence/electrophysiology systems	GABA-evoked currents; delta-selective compound enhancement; whole-cell electrophysiology and pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha4beta3delta GABAA channel -> extrasynaptic tonic inhibitory current	medium-high		reviewed_relay_candidate	Exact alpha4beta3delta activity is supported, including direct GABA currents, but receptor expression and pharmacological efficacy are heterologous-model dependent. GAD2 and SLC6A1 are separate biosynthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0630	gaba-gad2_slc6a1 gabr_a4b3g2	GABA-GAD2_SLC6A1 GABR_A4B3G2	M21A-REUSE-0666	M21A-PAIR-EVID-1088	PMID:10385690; PMID:16272218	human/rat	Recombinant alpha4beta3gamma2 GABAA receptors in heterologous expression systems	GABA concentration-response and subtype-selective pharmacology; whole-cell current recordings	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha4beta3gamma2 GABAA channel -> phasic inhibitory Cl- current	medium		reviewed_relay_candidate	The exact recombinant complex is supported, but native assembly and synaptic localization are context dependent. GAD2 is a biosynthetic enzyme and SLC6A1 is a transporter, not part of the receptor. No TF measured.
M20A-CELLCHAT-REMAINING-0631	gaba-gad2_slc6a1 gabr_a5b3g2	GABA-GAD2_SLC6A1 GABR_A5B3G2	M21A-REUSE-0667	M21A-PAIR-EVID-1089	PMID:15199051; PMID:10633039	human/rat	Recombinant alpha5beta3gamma2 GABAA receptors and native alpha5-containing neuronal preparations	GABA-evoked current and subtype pharmacology; receptor localization/functional comparison	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha5beta3gamma2 GABAA channel -> inhibitory synaptic or tonic conductance	medium		reviewed_relay_candidate	Exact alpha5beta3gamma2 pharmacology is supported, but native receptor composition and the relative synaptic versus extrasynaptic contribution vary by model. GAD2 and SLC6A1 remain separate synthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0632	gaba-gad2_slc6a1 gabr_a6b3d	GABA-GAD2_SLC6A1 GABR_A6B3D	M21A-REUSE-0668	M21A-PAIR-EVID-1090	PMID:15696164; PMID:12367596; PMID:18021290	human/mouse/rat	Recombinant alpha6beta3delta GABAA receptors and cerebellar granule-cell/extrasynaptic models	GABA and gaboxadol concentration-response; whole-cell/electrophysiological recordings; alpha6/delta pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha6beta3delta GABAA channel -> extrasynaptic tonic inhibition	medium-high		reviewed_relay_candidate	Exact alpha6beta3delta receptor function is supported, but cerebellar expression and behavioral phenotypes do not establish a transcriptional endpoint. GAD2 and SLC6A1 are biosynthesis/transport labels, not receptor components. No TF measured.
M20A-CELLCHAT-REMAINING-0633	gaba-gad2_slc6a1 gabr_a6b3g2	GABA-GAD2_SLC6A1 GABR_A6B3G2	M21A-REUSE-0669	M21A-PAIR-EVID-1091	PMID:10633039; PMID:18021290	human/mouse/rat	Recombinant alpha6beta3gamma2 receptors and cerebellar neuronal models	GABA-evoked current recordings; gaboxadol and subtype-selective pharmacology; receptor expression comparisons	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha6beta3gamma2 GABAA channel -> inhibitory Cl- current	medium		reviewed_relay_candidate	Exact complex pharmacology is supported in recombinant systems, while native alpha6beta3gamma2 abundance and circuit role are context dependent. GAD2 and SLC6A1 are separate synthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0634	gaba-gad2_slc6a11 gabbr1	GABA-GAD2_SLC6A11 Gabbr1		M21A-PAIR-EVID-1092	PMID:22660477; PMID:18165688; PMID:32494023	human/rat	Recombinant GABAB1 extracellular-domain and full-length GABAB1/GABAB2 systems	GABA-site structural/functional mapping; heterodimer activation and cryo-EM ligand-bound receptor studies	ligand-binding component of receptor complex	ligand_receptor_binding_or_activation	GABA binds the GABAB1 orthosteric Venus-flytrap component; productive signaling requires the GABAB1-GABAB2 heterodimer	medium		reviewed_binding_only	GABAB1 carries the principal orthosteric ligand-binding site but is not a complete signaling receptor alone. GAD2 is a biosynthetic enzyme and SLC6A11 is a GABA/betaine transporter, not a GABAB component. No TF measured.
M20A-CELLCHAT-REMAINING-0635	gaba-gad2_slc6a11 gabbr2	GABA-GAD2_SLC6A11 Gabbr2		M21A-PAIR-EVID-1093	PMID:16120656; PMID:18165688; PMID:32494023	human/rat	Recombinant GABAB1/GABAB2 heterodimers in Xenopus oocytes, BHK cells, and structural receptor systems	GABAB2 coupling/trafficking studies; agonist-evoked GIRK/PLC responses only with GABAB1/GABAB2 coexpression	obligate receptor-complex coupling component	ligand_receptor_binding_or_activation	GABAB2 supplies G-protein coupling and trafficking in assembled GABAB1-GABAB2 receptor; no standalone GABA-GABAB2 activation edge	low		reviewed_unresolved	GABAB2 does not provide the principal orthosteric GABA site, and evidence is for the heterodimer rather than GABAB2 alone. GAD2 and SLC6A11 are biosynthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0636	gaba-gad2_slc6a11 gabr_a1b2	GABA-GAD2_SLC6A11 GABR_A1B2	M21A-REUSE-0670	M21A-PAIR-EVID-1094	PMID:7815361; PMID:15946973	rat/human	Recombinant alpha1beta2 GABAA receptors in transfected mammalian cells and Xenopus oocytes	Rapid GABA application; whole-cell chloride-current recordings; receptor pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta2 GABAA ligand-gated anion channel -> inhibitory membrane current	medium		reviewed_relay_candidate	Binary alpha1beta2 receptors are experimentally functional, although native assembly and abundance are context dependent. GAD2 is a biosynthetic enzyme and SLC6A11 is a transporter, not a receptor component. No TF measured.
M20A-CELLCHAT-REMAINING-0637	gaba-gad2_slc6a11 gabr_a1b2d	GABA-GAD2_SLC6A11 GABR_A1B2D	M21A-REUSE-0671	M21A-PAIR-EVID-1095	PMID:16452673; PMID:18204487	human/mouse	Recombinant alpha1beta2delta GABAA receptors in Xenopus oocytes and heterologous mammalian systems	GABA concentration-response; two-electrode voltage clamp; delta-subtype modulator and antagonist pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta2delta GABAA channel -> extrasynaptic tonic inhibitory conductance	medium-high		reviewed_relay_candidate	Exact receptor-complex activity is supported, with subtype efficacy dependent on expression and recording context. GAD2 and SLC6A11 remain separate synthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0638	gaba-gad2_slc6a11 gabr_a1b2g2	GABA-GAD2_SLC6A11 GABR_A1B2G2	M21A-REUSE-0672	M21A-PAIR-EVID-1096	PMID:16554408; PMID:16339017	human/rat	Recombinant alpha1beta2gamma2 GABAA receptors in oocytes and mammalian expression systems	GABA-evoked whole-cell current; receptor assembly/stoichiometry and desensitization pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta2gamma2 GABAA pentamer -> fast synaptic inhibitory Cl- conductance	medium-high		reviewed_relay_candidate	The exact receptor complex and ligand-gated current are directly supported; native stoichiometry and localization remain context dependent. GAD2 and SLC6A11 are synthesis/transport labels, not receptor subunits. No TF measured.
M20A-CELLCHAT-REMAINING-0639	gaba-gad2_slc6a11 gabr_a1b3	GABA-GAD2_SLC6A11 GABR_A1B3	M21A-REUSE-0673	M21A-PAIR-EVID-1097	PMID:11342389; PMID:8951718	rat/human	Recombinant alpha1beta3 GABAA receptors in transfected cells	GABA-evoked whole-cell current and comparative subtype pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta3 GABAA ligand-gated anion channel -> inhibitory membrane current	medium		reviewed_relay_candidate	Binary alpha1beta3 function is supported, but native prevalence and stoichiometry are context dependent. GAD2 is a biosynthetic enzyme and SLC6A11 is a transporter, not a receptor component. No TF measured.
M20A-CELLCHAT-REMAINING-0640	gaba-gad2_slc6a11 gabr_a1b3g2	GABA-GAD2_SLC6A11 GABR_A1B3G2	M21A-REUSE-0674	M21A-PAIR-EVID-1098	PMID:9605491; PMID:15199051	rat/human	Recombinant alpha1beta3gamma2 GABAA receptors in heterologous expression systems	GABA concentration-response, whole-cell current kinetics, and gamma2-dependent subtype pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha1beta3gamma2 GABAA channel -> phasic inhibitory Cl- current	medium-high		reviewed_relay_candidate	Exact recombinant complex and GABA current are supported; neuronal localization and relative subunit abundance are model dependent. GAD2 and SLC6A11 remain separate synthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0641	gaba-gad2_slc6a11 gabr_a2b3g2	GABA-GAD2_SLC6A11 GABR_A2B3G2	M21A-REUSE-0675	M21A-PAIR-EVID-1099	PMID:15199051; PMID:9767648	human/rat	Recombinant alpha2beta3gamma2 GABAA receptors in mammalian cells and oocytes	GABA-evoked whole-cell currents; subtype-selective pharmacology and receptor-complex comparisons	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha2beta3gamma2 GABAA channel -> synaptic inhibitory current	medium-high		reviewed_relay_candidate	Exact receptor-complex activity is supported, but native localization and circuit effects remain model dependent. GAD2 is a biosynthetic enzyme and SLC6A11 is a transporter, not a receptor component. No TF measured.
M20A-CELLCHAT-REMAINING-0642	gaba-gad2_slc6a11 gabr_a3b3e	GABA-GAD2_SLC6A11 GABR_A3B3E	M21A-REUSE-0676	M21A-PAIR-EVID-1100	PMID:22319471; PMCID:PMC3262152; DOI:10.3389/fncel.2012.00001	human/rat	HEK293 cells expressing recombinant alpha3beta3epsilon GABAA receptors; locus-coeruleus expression context	GABA concentration-response; picrotoxin-sensitive spontaneous-current recordings; epsilon-containing receptor pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha3beta3epsilon GABAA channel -> inhibitory anion current; epsilon-associated spontaneous activity	medium		reviewed_relay_candidate	Exact alpha3beta3epsilon recombinant functional evidence is present, but epsilon incorporation and native abundance are context dependent. GAD2 is a GABA-biosynthetic enzyme and SLC6A11 is a transporter; the composite CellChat token is not substituted for GABA. No TF measured.
M20A-CELLCHAT-REMAINING-0643	gaba-gad2_slc6a11 gabr_a3b3g2	GABA-GAD2_SLC6A11 GABR_A3B3G2	M21A-REUSE-0677	M21A-PAIR-EVID-1101	PMID:15199051; PMID:9767648	human/rat	Xenopus oocytes and recombinant mammalian cells expressing alpha3beta3gamma2 GABAA receptors	GABA concentration-response and recombinant whole-cell/patch-clamp current recordings; subtype pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha3beta3gamma2 GABAA pentamer -> ligand-gated inhibitory Cl- current	medium-high		reviewed_relay_candidate	The exact recombinant receptor complex and GABA-evoked activity are supported, while native abundance and stoichiometry are context dependent. GAD2 is a biosynthetic enzyme and SLC6A11 is a transporter, not a receptor component. No TF measured.
M20A-CELLCHAT-REMAINING-0644	gaba-gad2_slc6a11 gabr_a3b3q	GABA-GAD2_SLC6A11 GABR_A3B3Q		M21A-PAIR-EVID-1102	https://pubmed.ncbi.nlm.nih.gov/?term=GABRA3+GABRB3+GABRQ+GABA; https://europepmc.org/search?query=GABRA3%20GABRB3%20GABRQ%20GABA	human/mouse/rat	No qualifying exact alpha3beta3theta recombinant receptor model located in the bounded search	Exact-subunit PubMed/PMC/publisher search; family-level alpha3beta3 GABAA pharmacology excluded from promotion	no qualifying exact receptor-complex evidence	ligand_receptor_binding_or_activation	GABAA alpha3beta3theta exact-complex branch unresolved	low		reviewed_unresolved	GABRQ encodes the theta subunit; alpha3beta3gamma2 and alpha3beta3epsilon evidence was not transferred. GAD2 and SLC6A11 remain synthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0645	gaba-gad2_slc6a11 gabr_a4b2d	GABA-GAD2_SLC6A11 GABR_A4B2D	M21A-REUSE-0678	M21A-PAIR-EVID-1103	PMID:14966300; PMID:18227274; PMID:16452673	human/mouse/rat	Recombinant alpha4beta2delta GABAA receptors in HEK cells and Xenopus oocytes	GABA concentration-response, single-channel and whole-cell recordings; neurosteroid/anesthetic modulation; antagonist pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha4beta2delta GABAA channel -> extrasynaptic tonic inhibitory conductance	medium-high		reviewed_relay_candidate	The exact receptor complex is directly supported, but basal GABA efficacy and modulation are model dependent. GAD2 is a biosynthetic enzyme and SLC6A11 is a transporter, not a receptor component. No TF measured.
M20A-CELLCHAT-REMAINING-0646	gaba-gad2_slc6a11 gabr_a4b3d	GABA-GAD2_SLC6A11 GABR_A4B3D	M21A-REUSE-0679	M21A-PAIR-EVID-1104	PMID:16272218; PMID:18762200	human/mouse/rat	Recombinant alpha4beta3delta GABAA receptors in HEK cells and heterologous fluorescence/electrophysiology systems	GABA-evoked currents; delta-selective compound enhancement; whole-cell electrophysiology and pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha4beta3delta GABAA channel -> extrasynaptic tonic inhibitory current	medium-high		reviewed_relay_candidate	Exact alpha4beta3delta activity is supported, but receptor expression and pharmacological efficacy are heterologous-model dependent. GAD2 and SLC6A11 remain separate biosynthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0647	gaba-gad2_slc6a11 gabr_a4b3g2	GABA-GAD2_SLC6A11 GABR_A4B3G2	M21A-REUSE-0680	M21A-PAIR-EVID-1105	PMID:10385690; PMID:16272218	human/rat	Recombinant alpha4beta3gamma2 GABAA receptors in heterologous expression systems	GABA concentration-response and subtype-selective pharmacology; whole-cell current recordings	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha4beta3gamma2 GABAA channel -> phasic inhibitory Cl- current	medium		reviewed_relay_candidate	The exact recombinant complex is supported, but native assembly and synaptic localization are context dependent. GAD2 is a biosynthetic enzyme and SLC6A11 is a transporter, not part of the receptor. No TF measured.
M20A-CELLCHAT-REMAINING-0648	gaba-gad2_slc6a11 gabr_a5b3g2	GABA-GAD2_SLC6A11 GABR_A5B3G2	M21A-REUSE-0681	M21A-PAIR-EVID-1106	PMID:15199051; PMID:10633039	human/rat	Recombinant alpha5beta3gamma2 GABAA receptors and native alpha5-containing neuronal preparations	GABA-evoked current and subtype pharmacology; receptor localization/functional comparison	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha5beta3gamma2 GABAA channel -> inhibitory synaptic or tonic conductance	medium		reviewed_relay_candidate	Exact alpha5beta3gamma2 pharmacology is supported, but native receptor composition and synaptic versus extrasynaptic contribution vary by model. GAD2 and SLC6A11 remain separate synthesis/transport labels. No TF measured.
M20A-CELLCHAT-REMAINING-0649	gaba-gad2_slc6a11 gabr_a6b3d	GABA-GAD2_SLC6A11 GABR_A6B3D	M21A-REUSE-0682	M21A-PAIR-EVID-1107	PMID:15696164; PMID:12367596; PMID:18021290	human/mouse/rat	Recombinant alpha6beta3delta GABAA receptors and cerebellar granule-cell/extrasynaptic models	GABA and gaboxadol concentration-response; whole-cell/electrophysiological recordings; alpha6/delta pharmacology	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha6beta3delta GABAA channel -> extrasynaptic tonic inhibition	medium-high		reviewed_relay_candidate	Exact alpha6beta3delta receptor function is supported, but cerebellar expression and behavioral phenotypes do not establish a transcriptional endpoint. GAD2 and SLC6A11 are biosynthesis/transport labels, not receptor components. No TF measured.
M20A-CELLCHAT-REMAINING-0650	gaba-gad2_slc6a11 gabr_a6b3g2	GABA-GAD2_SLC6A11 GABR_A6B3G2	M21A-REUSE-0683	M21A-PAIR-EVID-1108	PMID:10633039; PMID:18021290	human/mouse/rat	Recombinant alpha6beta3gamma2 receptors and cerebellar neuronal models	GABA-evoked current recordings; gaboxadol and subtype-selective pharmacology; receptor expression comparisons	receptor-complex/pathway edge	receptor_proximal_relay	GABA -> alpha6beta3gamma2 GABAA channel -> inhibitory Cl- current	medium		reviewed_relay_candidate	Exact complex pharmacology is supported in recombinant systems, while native alpha6beta3gamma2 abundance and circuit role are context dependent. GAD2 and SLC6A11 are separate synthesis/transport labels. No TF measured.
