review_id	pair_key	pair_label_canonical	pathway_reuse_key	module21a_evidence_id	terminal_tf_entities	review_status	confidence_tier	evidence_layer	curator_note
M20A-EXT-0001	bdnf sort1	Bdnf Sort1	M21A-REUSE-0094	M21A-PAIR-EVID-001		reviewed_relay_candidate	reviewed	downstream_pathway_function	Pair/form-specific proBDNF-p75NTR-SORT1 evidence; no TF endpoint.
M20A-EXT-0002	ccl1 ackr4	Ccl1 Ackr4				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream evidence found.
M20A-EXT-0009	ccl24 ackr2	Ccl24 Ackr2				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream evidence found.
M20A-EXT-0012	ccl27b ccr2	Ccl27b Ccr2				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream evidence found.
M20A-EXT-0003	ccl11 ackr2	Ccl11 Ackr2	M21A-REUSE-0095	M21A-PAIR-EVID-002		reviewed_scavenging_only	reviewed	downstream_pathway_function	ACKR2 scavenging/internalization; no canonical intracellular relay or TF.
M20A-EXT-0004	ccl17 ackr2	Ccl17 Ackr2	M21A-REUSE-0095	M21A-PAIR-EVID-002		reviewed_scavenging_only	reviewed	downstream_pathway_function	ACKR2 scavenging/internalization; no canonical intracellular relay or TF.
M20A-EXT-0005	ccl2 ackr2	Ccl2 Ackr2	M21A-REUSE-0095	M21A-PAIR-EVID-002		reviewed_scavenging_only	reviewed	downstream_pathway_function	ACKR2 scavenging/internalization; no canonical intracellular relay or TF.
M20A-EXT-0008	ccl22 ackr2	Ccl22 Ackr2	M21A-REUSE-0095	M21A-PAIR-EVID-002		reviewed_scavenging_only	reviewed	downstream_pathway_function	ACKR2 scavenging/internalization; no canonical intracellular relay or TF.
M20A-EXT-0013	ccl4 ackr2	Ccl4 Ackr2	M21A-REUSE-0095	M21A-PAIR-EVID-002		reviewed_scavenging_only	reviewed	downstream_pathway_function	ACKR2 scavenging/internalization; no canonical intracellular relay or TF.
M20A-EXT-0006	ccl2 ccr2	Ccl2 Ccr2	M21A-REUSE-0096	M21A-PAIR-EVID-003		reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-specific canonical CCR2 pathway; no terminal TF evidence.
M20A-EXT-0007	ccl21b ackr4	Ccl21b Ackr4	M21A-REUSE-0097	M21A-PAIR-EVID-004		reviewed_scavenging_only	reviewed	receptor_proximal_relay	ACKR4 scavenging/internalization; exact paralog context is limited.
M20A-EXT-0010	ccl25 ackr4	Ccl25 Ackr4	M21A-REUSE-0097	M21A-PAIR-EVID-004		reviewed_scavenging_only	reviewed	receptor_proximal_relay	ACKR4 scavenging/internalization; exact paralog context is limited.
M20A-EXT-0011	ccl27b ccr10	Ccl27b Ccr10	M21A-REUSE-0098	M21A-PAIR-EVID-005		reviewed_relay_candidate	reviewed	receptor_proximal_relay	CCR10 receptor relay; exact mouse Ccl27b and TF endpoint unresolved.
