evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	source_metadata_correction	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-5580	M20A-EXT-3092	sema4d plxnb2	M21A-REUSE-2692	medium	high	PMID:28416516; PMID:26275342; DOI:10.1136/annrheumdis-2016-210706	Exact membrane SEMA4D-PLXNB2 contact/reverse-signaling function supports qualified-high promotion; preserve membrane-versus-soluble geometry and do not infer a canonical PLXNB2 adaptor, kinase, or terminal TF.	Source DOI normalized to the PMID-resolved record before batch045 materialization; PMID remains the canonical locator.	true	true	false
M21A-PAIR-EVID-5582	M20A-EXT-3097	sema5b plxna1	M21A-REUSE-2694	medium	high	PMID:31209173; PMCID:PMC6697390; DOI:10.1523/JNEUROSCI.0113-19.2019	Exact PLXNA1-dependent SEMA5B auditory branch-refinement function supports qualified-high promotion; preserve PLXNA3 co-expression and do not infer purified binary binding or a defined cytosolic relay.	none	true	true	false
M21A-PAIR-EVID-5584	M20A-EXT-3102	sema7a itga1_itgb1	M21A-REUSE-2695	medium-high	high	PMID:17377534; PMID:12879062; PMCID:PMC5353663; DOI:10.1038/nature01790	Exact SEMA7A-ITGA1/ITGB1 heterodimer relay/function supports qualified-high promotion; preserve the complete alpha1beta1 complex, membrane anchoring, and neural/immune context.	none	true	true	false
M21A-PAIR-EVID-5585	M20A-EXT-3103	sema7a plxnc1	M21A-REUSE-2696	medium-high	high	PMID:17727705; PMID:20727575; PMID:31292439; PMCID:PMC6610950; DOI:10.1038/ncomms8835; DOI:10.1038/s41467-019-11055-6	Exact SEMA7A-PLXNC1 cell-recognition and activity-dependent olfactory synapse function supports qualified-high promotion; retain the author-correction lineage and do not infer a PLXNC1 adaptor, kinase, or terminal TF.	none	true	true	false
M21A-PAIR-EVID-5587	M20A-EXT-3117	serpinf1 plxdc1	M21A-REUSE-2697	medium-high	high	PMID:25535841; PMCID:PMC4303762; DOI:10.7554/eLife.05401	Exact SERPINF1/PEDF-PLXDC1 receptor-oligomer and cytoplasmic-tail function supports qualified-high promotion; preserve atypical single-pass topology and cell-type-specific outputs.	none	true	true	false
M21A-PAIR-EVID-5588	M20A-EXT-3118	serpinf1 plxdc2	M21A-REUSE-2698	medium-high	high	PMID:25535841; PMCID:PMC4303762; DOI:10.7554/eLife.05401	Exact SERPINF1/PEDF-PLXDC2 binding, oligomer, and cytoplasmic-tail function supports qualified-high promotion; preserve PLXDC2-versus-PLXDC1 distinction and cell-type-specific outputs.	none	true	true	false
M21A-PAIR-EVID-5589	M20A-EXT-3124	sfrp2 fzd5	M21A-REUSE-2699	medium-high	high	PMID:28840375; DOI:10.1016/j.cellsig.2017.06.004	Exact endothelial SFRP2-FZD5 calcium/calcineurin/NFATC3 function supports qualified-high promotion; preserve endothelial and engineered-system boundaries and treat NFATC3 as a measured downstream endpoint.	none	true	true	false
M21A-PAIR-EVID-5591	M20A-EXT-3128	sftpd sirpa	M21A-REUSE-2700	medium-high	high	PMID:18420961; DOI:10.1165/rcmb.2007-0452OC	Exact SFTPD-SIRPA inhibitory receptor-proximal function supports qualified-high promotion; preserve collectin oligomerization/collagen-domain presentation and macrophage context.	none	true	true	false
M21A-PAIR-EVID-5592	M20A-EXT-3129	sftpd tlr4	M21A-REUSE-2701	medium-high	high	PMID:16834340; PMID:35865531; PMCID:PMC9294227; DOI:10.1021/bi060176z; DOI:10.3389/fimmu.2022.913901	Exact antagonistic SFTPD-TLR4/MD-2 complex modulation supports qualified-high promotion; preserve LPS/MD-2, oligomerization, and species/tissue context and do not call it productive TLR4 activation.	none	true	true	false
M21A-PAIR-EVID-5593	M20A-EXT-3135	shh boc	M21A-REUSE-2702	medium-high	high	PMID:21115611; PMID:21664576; PMID:33038332; PMID:34057474; PMCID:PMC6514406	Exact SHH-BOC coreceptor-dependent Hedgehog function supports qualified-high promotion; preserve positive/decoy context and combined GAS1/CDON/BOC boundaries.	none	true	true	false
M21A-PAIR-EVID-5594	M20A-EXT-3136	shh cdon	M21A-REUSE-2703	medium-high	high	PMID:21802063; PMID:21664576; PMID:33038332; DOI:10.1016/j.ajhg.2011.07.001	Exact SHH-CDON coreceptor/ligand-presenting pathway-competence function supports qualified-high promotion; preserve PTCH1-associated topology and do not infer a universal CDON-specific adaptor.	Source DOI normalized to the PMID-resolved record before batch045 materialization; PMID remains the canonical locator.	true	true	false
M21A-PAIR-EVID-5595	M20A-EXT-3137	shh gas1	M21A-REUSE-2704	medium-high	high	PMID:11572986; PMID:21664576; PMID:33038332; DOI:10.1126/science.1064505	Exact SHH-GAS1 availability/coreceptor modulation supports qualified-high promotion; preserve lipid/presentation/tissue-dependent antagonistic or promotive direction and do not infer a GAS1 intracellular relay.	none	true	true	false
M21A-PAIR-EVID-5596	M20A-EXT-3138	shh gpc1	M21A-REUSE-2705	medium-high	high	PMID:23931997; DOI:10.1016/j.neuron.2013.05.025	Exact SHH-GPC1 heparan-sulfate presentation and post-crossing guidance function supports qualified-high function-only promotion; preserve transcription-dependent versus independent branches and do not infer a cytosolic relay.	none	true	true	false
M21A-PAIR-EVID-5597	M20A-EXT-3140	shh hhip	M21A-REUSE-2706	medium-high	high	PMID:34887403; PMID:40333979; DOI:10.1016/j.celrep.2021.109842	Exact inhibitory SHH-HHIP sequestration/function supports qualified-high function-only promotion; preserve HHIP secreted-antagonist topology and separate direct binding/Gli1 inhibition from broader stromal effects.	none	true	true	false
M21A-PAIR-EVID-5598	M20A-EXT-2970	rspo3 znrf3	M21A-REUSE-2707	medium-high	high	PMID:24225776; PMCID:PMC3905715; DOI:10.1038/ncomms3787; PMID:28467820	Exact RSPO3-ZNRF3 E3-ligase receptor-complex relay/function supports qualified-high promotion; preserve ZNRF3 membrane-regulator topology and do not transfer RNF43 evidence or infer a kinase/TF edge.	none	true	true	false
