review_id	pair	status	stable_citations	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-0984	Bst1 Cav1	reviewed_unresolved	PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=BST1+CAV1+interaction	human; mouse	no pair-specific cellular model identified	PubMed/PMC/publisher searches for BST1/CD157 with caveolin-1; no validated pair-specific binding or perturbation found	no pair-specific molecular or relay evidence	no_evidence_boundary	no validated BST1-CAV1 intracellular branch	low	BST1/CD157 is a GPI-anchored ectoenzyme and CAV1 is a membrane scaffold; membrane proximity is insufficient to establish a direct edge	—
M20A-EXT-0985	Btc Erbb3	reviewed_relay_candidate	PMID:12475887; PMID:8570211; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=betacellulin+ERBB3	human; mouse	primary human umbilical vein endothelial cells; engineered ErbB receptor cell lines; MIN-6 mouse beta cells	BTC stimulation; ErbB immunoprecipitation/phosphotyrosine assays; MEK and PI3K inhibition; receptor-selective inhibitors	BTC activates ERBB3-containing ErbB receptor complexes; phosphorylation is followed by ERK1/2 and PI3K-AKT signaling	receptor_proximal_relay	ERBB3/ERBB2/EGFR receptor tyrosine kinase relay to ERK1/2 and PI3K-AKT; angiogenic and proliferative outputs	medium	ERBB3 activation was shown in endothelial models, while a beta-cell study preferentially detected EGFR/ERBB2 phosphorylation; complex composition is context-dependent and no terminal TF is directly established	—
M20A-EXT-0986	Btla Cd247	reviewed_unresolved	PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=BTLA+CD247+interaction	human; mouse	no exact BTLA-CD247 pair model identified	Search of primary immunology literature for BTLA association with CD247; evidence supports BTLA inhibitory signaling through its own ITIM/ITSM motifs, not a direct BTLA-CD247 edge	no exact pair-specific molecular or receptor-proximal evidence	no_evidence_boundary	no validated BTLA-CD247 branch	low	CD247 is an ITAM-bearing TCR/FcR signaling adaptor; pathway co-occurrence with an inhibitory receptor does not establish ligand-receptor binding or a defined complex	—
M20A-EXT-0987	Btla Cd79a	reviewed_unresolved	PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=BTLA+CD79A+interaction	human; mouse	no exact BTLA-CD79A pair model identified	Search of primary B-cell signaling literature for BTLA/CD79A; no direct binding, co-immunoprecipitation, or pair-specific perturbation validated	no exact pair-specific molecular or receptor-proximal evidence	no_evidence_boundary	no validated BTLA-CD79A branch	low	BTLA can modulate B-cell receptor signaling, but CD79A pathway co-occurrence is not evidence that CD79A is a BTLA ligand or receptor complex subunit	—
M20A-EXT-0988	Btn1a1 Negr1	reviewed_unresolved	PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=BTN1A1+NEGR1+binding	human; mouse	no exact BTN1A1-NEGR1 model identified	Broad PubMed/PMC/publisher search; no primary pair-specific binding or signaling assay located	no pair-specific molecular or relay evidence	no_evidence_boundary	no validated BTN1A1-NEGR1 branch	low	BTN1A1 and NEGR1 are cell-surface proteins, but shared expression or adhesion annotations do not establish direct interaction	—
M20A-EXT-0989	Btn1a1 Tarm1	reviewed_unresolved	PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=BTN1A1+TARM1+interaction	human; mouse	no exact BTN1A1-TARM1 model identified	Broad PubMed/PMC/publisher search; no primary pair-specific binding, complex, or perturbation study located	no pair-specific molecular or relay evidence	no_evidence_boundary	no validated BTN1A1-TARM1 branch	low	TARM1 is an immune receptor associated with FcR gamma in reported contexts; that does not establish BTN1A1 as its ligand	—
M20A-EXT-0990	C1qa Cd93	reviewed_unresolved	PMID:15004139; PMID:11560994; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=C1q+CD93+C1qRp	human; mouse	mouse peritoneal macrophages; apoptotic-cell efferocytosis models; human phagocyte literature	C1q-coated apoptotic-cell uptake; CD93 knockout macrophages and mice; comparison with calreticulin/CD91 and complement-dependent phagocytosis	C1q-CD93 receptor assignment is controversial; CD93 contributes to in-vivo apoptotic-cell clearance but is not required for C1q-mediated phagocytosis	receptor_proximal_relay	C1q recognition/efferocytosis; calreticulin-CD91/LRP1 is the better-supported C1q uptake route	low	The knockout study found no requirement for CD93 in C1q-mediated enhancement of phagocytosis, and C1q binding to CD93 remains disputed; do not promote a direct C1QA-CD93 relay	—
M20A-EXT-0991	C1qb C1qbp	reviewed_binding_only	PMID:8892652; PMID:22101277; PMCID:PMC3272292; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=C1q+C1QBP+gC1qR	human; mouse	HUVECs; purified C1q and recombinant/identified gC1qR-C1QBP studies; fibroblast and cancer-cell models	C1q-domain binding and antibody-blocking assays; C1QBP localization and loss-of-function studies	C1q/gC1qR-C1QBP binding reported, but the mature protein is predominantly mitochondrial and its surface-receptor status is disputed	ligand_receptor_binding_or_activation	C1q recognition by gC1qR/C1QBP; no validated receptor-proximal cytosolic branch for the exact C1QB row	low	Evidence concerns the C1q complex or C1q globular head rather than isolated C1QB; C1QBP has a mitochondrial targeting sequence and cannot be treated as a canonical surface relay without additional context	—
M20A-EXT-0992	C1qb Lrp1	reviewed_relay_candidate	PMID:33193398; PMID:11560994; PMID:22422887; DOI:10.3389/fimmu.2020.583754	human; mouse	recombinant human LRP1 clusters and CHO LRP1-null/reconstituted cells; mouse macrophage apoptotic-cell uptake models	C1q-LRP1 cluster binding; receptor-null/reconstitution; C1q-coated macrophage stimulation and efferocytosis assays	C1q binds LRP1 and engages a receptor-associated apoptotic-cell clearance program; C1q also induces MerTK/Gas6 expression in macrophages	receptor_proximal_relay	C1q-LRP1 and calreticulin-CD91/LRP1 uptake machinery; MerTK/Gas6-dependent efferocytosis	medium	The molecular studies use intact C1q rather than isolated C1QB; LRP1 is an endocytic receptor and the downstream macrophage program is context-dependent, with no direct terminal TF assignment	—
M20A-EXT-0993	C1qtnf1 Avpr2	reviewed_unresolved	PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=C1QTNF1+AVPR2	human; mouse	no exact C1QTNF1-AVPR2 model identified	Broad PubMed/PMC/publisher search; no primary pair-specific binding or receptor signaling assay located	no pair-specific molecular or relay evidence	no_evidence_boundary	no validated C1QTNF1-AVPR2 branch	low	C1QTNF-family membership and AVPR2 expression do not establish a ligand-receptor relationship	—
