review_id	pair	status	stable_citations	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-2057	Hspg2 Itga2	reviewed_relay_candidate	https://pubmed.ncbi.nlm.nih.gov/24509440/	human	human coronary artery smooth-muscle cells	Adhesion to purified perlecan domains with glycosaminoglycan removal and integrin-blocking assays	Direct matrix–integrin binding with receptor-proximal adhesion relay	receptor_proximal_relay	integrin alpha2beta1–FAK/adhesion and FGF2-linked matrix signaling	medium	The study supports perlecan protein-core/domain-V interaction with alpha2beta1 and smooth-muscle adhesion; downstream effects are context-dependent and no terminal TF was directly assigned.	null
M20A-EXT-2058	Hspg2 Itgb1	reviewed_relay_candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC6781430/;https://doi.org/10.1083/jcb.201807178	mouse	brain pericytes from control and Hspg2-deficient mice	Perlecan domain-V adhesion, beta1-integrin blocking, PDGFRbeta/SHP-2/FAK phosphorylation, and pericyte migration assays	Receptor-complex/pathway edge through beta1-containing integrin, with perlecan binding and relay measured separately	receptor_proximal_relay	integrin beta1–FAK/SHP-2 cooperation with PDGFRbeta and pericyte migration	high	The mapped alpha partner is principally alpha5; the queue pair names the beta1 subunit, so this is a receptor-complex edge rather than a claim that beta1 acts alone. No terminal TF was directly measured.	null
M20A-EXT-2059	Hspg2 Lrp1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/21289173/	mammalian	neuronal and CHO models using generic cell-surface HSPG	A-beta uptake with HSPG antagonism, heparinase, and LRP1 knockdown/overexpression	No exact HSPG2–LRP1 molecular edge established	downstream_pathway_function	HSPG/LRP1 cooperation in A-beta uptake is comparator biology only	low	The paper shows generic HSPG and LRP1 cooperating for A-beta uptake, not direct perlecan/HSPG2 binding to LRP1; no exact HSPG2-specific relay was recovered.	null
M20A-EXT-2060	Hspg2 Lrp2	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=HSPG2+LRP2+perlecan+megalin;https://reactome.org/content/query?q=HSPG2%20LRP2	mammalian	no exact HSPG2–LRP2 model recovered	Bounded exact-pair PubMed, PMC, publisher, and Reactome searches; megalin ligand-binding studies screened	No exact HSPG2–LRP2 molecular, relay, or functional edge established	ligand_receptor_binding_or_activation	HSPG2 basement-membrane biology and LRP2/megalin endocytosis remain separate contexts	low	Megalin studies establish LRP2 as a multiligand endocytic receptor but do not identify perlecan/HSPG2 as the ligand; no exact pair-specific evidence was found.	null
M20A-EXT-2061	Hspg2 Ptprs	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=HSPG2+PTPRS+perlecan+PTP-sigma;https://reactome.org/content/query?q=HSPG2%20PTPRS	mammalian	no exact HSPG2–PTPRS model recovered	Bounded exact-pair PubMed, PMC, publisher, and Reactome searches; PTPRS extracellular glycosaminoglycan ligand studies screened	No exact HSPG2–PTPRS molecular, relay, or functional edge established	ligand_receptor_binding_or_activation	Heparan-sulfate/chondroitin-sulfate recognition by PTPRS is not equivalent to direct perlecan binding	low	PTPRS proteoglycan recognition studies concern glycosaminoglycan classes and do not validate HSPG2 as the exact ligand; no pair-specific downstream evidence was assigned.	null
M20A-EXT-2062	Hspg2 Sdc1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=HSPG2+SDC1+perlecan+syndecan-1;https://reactome.org/content/query?q=HSPG2%20SDC1	mammalian	no exact HSPG2–SDC1 model recovered	Bounded exact-pair PubMed, PMC, publisher, and Reactome searches; studies of syndecan/perlecan co-expression and shared heparan-sulfate biology screened	No exact HSPG2–SDC1 molecular, relay, or functional edge established	ligand_receptor_binding_or_activation	Shared proteoglycan/glycosaminoglycan biology is comparator context only	low	Perlecan and syndecan-1 are distinct proteoglycans; co-expression, shared heparan-sulfate metabolism, or pathway co-occurrence does not establish direct binding.	null
M20A-EXT-2063	Iapp Adcyap1r1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+ADCYAP1R1+amylin+PAC1;https://reactome.org/content/query?q=IAPP%20ADCYAP1R1	mammalian	no exact IAPP–ADCYAP1R1 model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–ADCYAP1R1 binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin receptor biology uses CALCR-containing complexes, not ADCYAP1R1	low	PAC1/ADCYAP1R1 is a PACAP receptor; the amylin studies reviewed did not demonstrate IAPP binding or activation of this receptor.	null
M20A-EXT-2064	Iapp Adrb2	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+ADRB2+amylin+beta-2-adrenergic;https://reactome.org/content/query?q=IAPP%20ADRB2	mammalian	no exact IAPP–ADRB2 model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–ADRB2 binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin receptor biology and beta2-adrenergic signaling remain separate contexts	low	No primary receptor-binding or perturbation study linking IAPP to ADRB2 was recovered; shared cAMP physiology is not sufficient to assign the pair.	null
M20A-EXT-2065	Iapp Adrb3	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+ADRB3+amylin+beta-3-adrenergic;https://reactome.org/content/query?q=IAPP%20ADRB3	mammalian	no exact IAPP–ADRB3 model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–ADRB3 binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin receptor biology and beta3-adrenergic signaling remain separate contexts	low	No primary receptor-binding or perturbation study linking IAPP to ADRB3 was recovered; overlapping metabolic phenotypes do not establish direct signaling.	null
M20A-EXT-2067	Iapp Calcrl	reviewed_function_only	https://doi.org/10.1186/s12885-019-5369-y	human	human high-grade glioma cell lines	Amylin-stimulated cAMP accumulation with CGRP antagonist testing in glioma lines	Receptor-complex functional response; direct CALCRL binding was not established	downstream_pathway_function	CALCRL/RAMP1-like Gs–cAMP response, with amylin response inconsistent across glioma lines	low	The response was low potency and interpreted as more consistent with a CGRP-receptor phenotype in selected lines; RAMP1 context and exact CALCRL engagement were not resolved, so no direct molecular edge is inferred.	null
M20A-EXT-2068	Iapp Gpr20	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+GPR20+amylin;https://reactome.org/content/query?q=IAPP%20GPR20	mammalian	no exact IAPP–GPR20 model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–GPR20 binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin receptor biology uses CALCR-containing complexes, not GPR20	low	No exact ligand-binding, receptor activation, or perturbation evidence was recovered for IAPP–GPR20.	null
M20A-EXT-2069	Iapp Gpr84	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+GPR84+amylin;https://reactome.org/content/query?q=IAPP%20GPR84	mammalian	no exact IAPP–GPR84 model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–GPR84 binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin receptor biology and GPR84 fatty-acid signaling remain separate contexts	low	No exact IAPP–GPR84 receptor-binding or perturbation evidence was recovered; shared metabolic or inflammatory outputs are insufficient for assignment.	null
M20A-EXT-2070	Iapp Pth1r	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+PTH1R+amylin;https://reactome.org/content/query?q=IAPP%20PTH1R	mammalian	no exact IAPP–PTH1R model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–PTH1R binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin and PTH1R signaling are distinct class-B GPCR contexts	low	No primary IAPP–PTH1R binding or agonist assay was recovered; related peptide-hormone cAMP responses do not establish receptor specificity.	null
M20A-EXT-2071	Iapp Ramp1	reviewed_relay_candidate	https://pubmed.ncbi.nlm.nih.gov/10385705/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7088893/	human and rat	recombinant human calcitonin receptor/RAMP1 in COS-7 cells	Radiolabeled amylin competition binding, receptor cotransfection, cAMP accumulation, CREB phosphorylation, IP1, and ERK1/2 assays	Receptor-complex/pathway edge; RAMP1 modifies CALCR to form an amylin receptor	receptor_proximal_relay	CALCR:RAMP1 amylin receptor–Gs/cAMP–CREB with ERK1/2 and IP1 branches	high	RAMP1 is an accessory subunit and not an autonomous amylin receptor; the edge is retained as a complex-level relay with CALCR required.	null
M20A-EXT-2072	Iapp Ramp2	reviewed_relay_candidate	https://pubmed.ncbi.nlm.nih.gov/10385705/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7088893/	human and rat	recombinant CALCR/RAMP2 in COS-7 cells	Amylin concentration-response assays at CALCR/RAMP receptor complexes measuring cAMP, CREB phosphorylation, IP1, and ERK1/2; earlier cotransfection binding assay also included RAMP2	Receptor-complex/pathway edge; RAMP2 modifies CALCR pharmacology but is not an autonomous receptor	receptor_proximal_relay	CALCR:RAMP2 AMY2-like complex–Gs/cAMP–CREB with weaker IP1/ERK signaling	medium	An early study found little additional amylin binding with one CALCR isoform plus RAMP2, whereas later pathway profiling detected amylin responses at AMY2-like complexes; the complex identity and weaker phenotype limit confidence.	null
M20A-EXT-2074	Iapp Tshr	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+TSHR+amylin;https://reactome.org/content/query?q=IAPP%20TSHR	mammalian	no exact IAPP–TSHR model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–TSHR binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin receptor biology and TSHR signaling remain separate contexts	low	No exact IAPP–TSHR ligand-binding or perturbation evidence was recovered; endocrine co-expression does not establish a receptor edge.	null
M20A-EXT-2075	Iapp Vipr1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=IAPP+VIPR1+amylin;https://reactome.org/content/query?q=IAPP%20VIPR1	mammalian	no exact IAPP–VIPR1 model recovered	Bounded exact-pair PubMed, PMC, publisher, and pathway-resource searches	No exact IAPP–VIPR1 binding, relay, or functional edge established	ligand_receptor_binding_or_activation	Amylin receptor biology and VIPR1 signaling remain separate class-B GPCR contexts	low	No primary IAPP–VIPR1 receptor-binding or perturbation evidence was recovered; shared cAMP signaling is not evidence of direct receptor activation.	null
