evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-4724	M20A-CELLCHAT-REMAINING-0453	ereg erbb4	M21A-REUSE-2169	medium-high	high	PMID:9419975; DOI:10.1038/sj.onc.1201458	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4725	M20A-CELLCHAT-REMAINING-0472	flrt2 unc5d	M21A-REUSE-2170	medium-high	high	PMID:37557174; DOI:10.1016/j.devcel.2023.07.011	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4726	M20A-CELLCHAT-REMAINING-0475	flrt3 adgrl3	M21A-REUSE-2171	medium-high	high	PMID:22405201; PMCID:PMC3326387; DOI:10.1016/j.neuron.2012.01.018; PMID:35393556	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4730	M20A-CELLCHAT-REMAINING-0727	gdf2 acvrl1_acvr2a	M21A-REUSE-2173	medium-high	high	PMID:17068149; DOI:10.1182/blood-2006-07-034124; DOI:10.1021/bi300942x	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4766	M20A-CELLCHAT-REMAINING-1340	klk1b4 ngfr	M21A-REUSE-2198	medium-high	high	PMID:11435417; PMID:8698038; PMID:11027214; URL:https://www.kegg.jp/entry/mmu:18048	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4767	M20A-CELLCHAT-REMAINING-1341	klk1b4 ntrk1	M21A-REUSE-2199	medium-high	high	PMID:11435417; PMID:1382475; PMID:11027214; URL:https://www.kegg.jp/entry/mmu:18048	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4768	M20A-CELLCHAT-REMAINING-1356	lgals9 havcr2		medium-high	high	PMID:20937702; PMCID:PMC2964580; PMID:19017954; DOI:10.1084/jem.20100687; PMID:17363302	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4771	M20A-CELLCHAT-REMAINING-1461	nrxn1 adgrl1	M21A-REUSE-2202	medium-high	high	PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4772	M20A-CELLCHAT-REMAINING-1470	nrxn2 adgrl1	M21A-REUSE-2203	medium-high	high	PMID:22262843; PMCID:PMC3308797; DOI:10.1074/jbc.M111.318659	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
M21A-PAIR-EVID-4781	M20A-CELLCHAT-REMAINING-1594	ppbp cxcr2	M21A-REUSE-2208	medium	high	PMID:20652010; PMID:28368308; PMCID:PMC5372524; https://pubmed.ncbi.nlm.nih.gov/?term=PPBP+CXCR2	Local-register lineage supports exact-pair qualified-high evidence at the recorded layer; molecular form, topology, context, and TF boundaries remain unchanged.	true	true	false
