review_id	pair	status	stable_citations	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-0807	Apln Adra2a	reviewed_unresolved	PMID:25275559; PMID:25712721; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=apelin+ADRA2A	human; rat	recombinant human apelin receptor pharmacology; rat vascular models; no exact APLN-ADRA2A model	exact-pair PubMed/PMC/publisher search; apelin agonism was tested at APLNR/APJ, not ADRA2A	no qualifying exact APLN-ADRA2A binding or activation edge	ligand_receptor_binding_or_activation	apelin-APLNR cognate-receptor boundary; ADRA2A adrenergic branch unresolved	low	The primary apelin studies support APLN/APLNR signaling and Gi/ERK or vascular outputs, but do not test ADRA2A. Alpha2-adrenergic pharmacology cannot be transferred to APLN, and no relay or terminal TF was measured.	—
M20A-EXT-0809	Apln Grm7	reviewed_unresolved	PMID:25275559; PMCID:PMC4983754; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=apelin+GRM7	human; mouse; rat	mGluR7 ligand/signaling literature and apelin receptor literature searched separately; no exact composite model	no qualifying exact APLN-GRM7 interaction or activation edge	ligand_receptor_binding_or_activation	apelin-APLNR versus glutamate-GRM7 branches remain distinct	low	mGluR7 studies support glutamate or allosteric-modulator signaling, while apelin studies support APLNR. No direct APLN-GRM7 binding, receptor-proximal assay, or function was located.	—
M20A-EXT-0810	Apln Mtnr1a	reviewed_unresolved	PMID:25275559; PMID:25712721; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=apelin+MTNR1A	human; rat	apelin/APJ agonist assays and melatonin-receptor literature searched separately; no exact pair model	no qualifying exact APLN-MTNR1A binding or activation edge	ligand_receptor_binding_or_activation	apelin-APLNR and melatonin-MTNR1A branches remain distinct	low	Apelin was tested at APLNR/APJ, and melatonin at MTNR1A/MT1; neither study establishes cross-ligand receptor activation. No relay, cellular output, or terminal TF was assigned.	—
M20A-EXT-0812	Apoa1 Ldlr	reviewed_unresolved	PMID:6501314; PMCID:PMC2431081; PMID:18272520; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA1+LDLR	human; mouse; fibroblasts and hepatocytes; lipoprotein-receptor models	LDLR competition/binding and apoB-containing lipoprotein uptake assays; exact APOA1-LDLR search	no qualifying exact APOA1-LDLR binding or activation edge	ligand_receptor_binding_or_activation	LDLR recognition of apoB/apoE-containing particles; APOA1-LDLR boundary unresolved	low	Primary LDLR studies identify apoB and apoE as receptor-binding determinants, not apoA-I. HDL/apoA-I biology involving SR-BI or ABCA1 cannot be transferred to LDLR, and no relay or TF was measured.	—
M20A-EXT-0813	Apoa1 Lrp1	reviewed_unresolved	PMID:11604390; DOI:10.1074/jbc.M103954200; PMCID:PMC6023722; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA1+LRP1	human; adipocytes; SW872 liposarcoma cells; primary adipocytes	LRP-dependent lipoprotein uptake and LRP1/HDL-genotype studies; no exact apoA-I-LRP1 reconstitution or receptor-specific binding assay	no qualifying exact APOA1-LRP1 binding or activation edge	ligand_receptor_binding_or_activation	LRP1 lipoprotein uptake versus apoA-I/ABCA1-SR-BI HDL handling	low	The recovered LRP1 studies concern apoE/LpL or HDL metabolism and do not isolate apoA-I as an LRP1 ligand. No exact receptor-proximal relay or terminal TF was established.	—
M20A-EXT-0814	Apoa1 Lrp2	reviewed_unresolved	PMCID:PMC4338702; PMCID:PMC13058979; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA1+LRP2+megalin	human; mouse; choroid-plexus and renal epithelial uptake contexts	apoA-I uptake/competition assays and LRP2 ligand-reuptake literature searched; no exact apoA-I-LRP2 binding assay	no qualifying exact APOA1-LRP2 binding or activation edge	ligand_receptor_binding_or_activation	LRP2/megalin bulk reuptake versus apoA-I HDL transport	low	ApoA-I can be taken up by barrier epithelia, but the receptor was not resolved as LRP2. LRP2 evidence for apoM, albumin, vitamin-D-binding protein, and other ligands cannot be assigned to apoA-I.	—
M20A-EXT-0815	Apoa2 Ldlr	reviewed_unresolved	PMID:14729860; PMID:6501314; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA2+LDLR	human; rat; cultured hepatic and receptor-expressing cell models	apoA-II modulation of HDL binding/selective uptake; LDLR ligand-binding assays; no exact apoA-II-LDLR assay	no qualifying exact APOA2-LDLR binding or activation edge	ligand_receptor_binding_or_activation	apoA-II effects on SR-BI/CD36 HDL handling versus LDLR apoB/apoE branch	low	The primary apoA-II study implicates class-B scavenger receptors SR-BI and CD36, not LDLR. General LDLR recognition of apoB/apoE does not establish apoA-II binding or relay.	—
M20A-EXT-0816	Apoa2 Lrp1	reviewed_unresolved	PMID:14729860; PMID:11604390; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA2+LRP1	human; rat; hepatic/adipocyte lipoprotein models	apoA-II/SR-BI-CD36 uptake studies and LRP1 lipoprotein-uptake literature searched separately	no qualifying exact APOA2-LRP1 binding or activation edge	ligand_receptor_binding_or_activation	apoA-II class-B scavenger branch versus LRP1 endocytic branch	low	No primary study recovered an isolated apoA-II-LRP1 interaction. ApoA-II effects on HDL uptake and generic LRP1 lipoprotein biology are insufficient for a direct edge or relay.	—
M20A-EXT-0817	Apoa2 Lrp2	reviewed_unresolved	PMID:14729860; PMCID:PMC13058979; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA2+LRP2+megalin	human; mouse; renal and hepatic lipoprotein contexts	apoA-II receptor studies and LRP2/megalin ligand-reuptake literature searched separately	no qualifying exact APOA2-LRP2 binding or activation edge	ligand_receptor_binding_or_activation	LRP2 bulk reuptake versus apoA-II/SR-BI-CD36 HDL branch	low	The apoA-II primary evidence concerns SR-BI/CD36 modulation, while LRP2 literature concerns other ligands. No exact binding, perturbation, downstream pathway, or TF evidence was found.	—
M20A-EXT-0818	Apoa4 Ldlr	reviewed_unresolved	PMID:3096996; PMID:33246135; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA4+LDLR	rat; mouse; primary hepatocytes and LDLR-knockout atherosclerosis models	apoA-IV-phospholipid complex binding/uptake and LDLR-deficient mouse studies; no exact APOA4-LDLR reconstitution	no qualifying exact APOA4-LDLR binding or activation edge	ligand_receptor_binding_or_activation	apoA-IV hepatocyte uptake receptor distinct from apoB/E receptors; LDLR/CREB3L3 lipid branch	low	The primary apoA-IV hepatocyte study reported a receptor site distinct from apoB/E-dependent receptors. LDLR-knockout/apoA4 expression studies are not direct binding evidence and do not establish APOA4-LDLR relay.	—
M20A-EXT-0820	Apoa4 Lrp2	reviewed_unresolved	PMID:3096996; PMCID:PMC13058979; PubMed search:https://pubmed.ncbi.nlm.nih.gov/?term=APOA4+LRP2+megalin	rat; mouse; hepatocyte and renal epithelial ligand-uptake literature	apoA-IV hepatocyte uptake assays and LRP2/megalin ligand-reuptake studies searched separately	no qualifying exact APOA4-LRP2 binding or activation edge	ligand_receptor_binding_or_activation	apoA-IV uptake receptor unresolved; LRP2/megalin clearance branch	low	ApoA-IV uptake was attributed to a receptor distinct from apoE-dependent apoB/E receptors, but the receptor was not identified as LRP2. No exact LRP2 binding or intracellular relay was measured.	—
