review_id	pair	status	stable_citations	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-2932	Rln1 Rxfp2	reviewed_unresolved	PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/; PMID:24802387; https://pubmed.ncbi.nlm.nih.gov/24802387/; https://pubmed.ncbi.nlm.nih.gov/?term=RLN1+RXFP2	mammalian relaxin-family receptor comparators; exact Rln1 species/model not established	HEK293/recombinant relaxin-family receptor systems used for comparator pharmacology; no exact Rln1-Rxfp2 assay located	Exact-pair PubMed/Europe PMC search plus comparator relaxin-family binding and activation studies	No exact Rln1-Rxfp2 binding, activation, receptor-proximal relay, or pair-specific function established	ligand_receptor_binding_or_activation	Relaxin-family receptor specificity; comparator RXFP1/RXFP3/RXFP4 pharmacology was not transferred to Rln1-Rxfp2	low	The cited relaxin-family studies concern other ligand/receptor assignments, including RLN3 and/or different RXFP receptors; peptide form, species, and noncognate-receptor effects remain unresolved. No direct molecular interaction or downstream relay is assigned.	null
M20A-EXT-2933	Rln1 Rxfp3	reviewed_unresolved	PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/; PMID:24802387; https://pubmed.ncbi.nlm.nih.gov/24802387/; https://pubmed.ncbi.nlm.nih.gov/?term=RLN1+RXFP3	mammalian relaxin-family receptor comparators; exact Rln1 species/model not established	HEK293/recombinant relaxin-family receptor systems used for comparator pharmacology; no exact Rln1-Rxfp3 assay located	Exact-pair PubMed/Europe PMC search plus comparator relaxin-family binding and activation studies	No exact Rln1-Rxfp3 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP3 Gi/o-cAMP/MAPK branch is a cognate comparator only; Rln1-Rxfp3 remains unresolved	low	No qualifying exact Rln1-Rxfp3 primary evidence was located. RLN3 cross-reactivity and RXFP3 pathway evidence must not be used as evidence for Rln1-Rxfp3. No direct molecular interaction, relay, or function is assigned.	null
M20A-EXT-2934	Rln1 Rxfp4	reviewed_unresolved	PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/; PMID:24802387; https://pubmed.ncbi.nlm.nih.gov/24802387/; https://pubmed.ncbi.nlm.nih.gov/?term=RLN1+RXFP4	mammalian relaxin-family receptor comparators; exact Rln1 species/model not established	HEK293/recombinant relaxin-family receptor systems used for comparator pharmacology; no exact Rln1-Rxfp4 assay located	Exact-pair PubMed/Europe PMC search plus comparator relaxin-family binding and activation studies	No exact Rln1-Rxfp4 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP4 Gi/o-cAMP/MAPK branch is a cognate comparator only; Rln1-Rxfp4 remains unresolved	low	No qualifying exact Rln1-Rxfp4 primary evidence was located. RLN3 cross-reactivity and RXFP4 pathway evidence must not be used as evidence for Rln1-Rxfp4. No direct molecular interaction, relay, or function is assigned.	null
M20A-EXT-2935	Rln3 Adcyap1r1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=RLN3+ADCYAP1R1; PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/	no exact species/model established; human/mammalian comparator literature screened	Relaxin-family receptor systems and ADCYAP1R1/PACAP receptor pharmacology screened separately	Exact-symbol/alias PubMed and Europe PMC searches; comparator receptor pharmacology screened for false transfer	No exact Rln3-Adcyap1r1 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP3/RXFP4 relaxin-receptor branches versus PACAP/ADCYAP1R1 specificity boundary	low	ADCYAP1R1/PACAP signaling and RLN3-RXFP3/RXFP4 signaling were not treated as interchangeable. Database, expression, family, and pathway co-occurrence do not establish this exact pair. No direct molecular interaction or downstream relay is assigned.	null
M20A-EXT-2936	Rln3 Adra2a	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=RLN3+ADRA2A; PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/	no exact species/model established; human/mammalian comparator literature screened	Relaxin-family receptor systems and alpha2-adrenergic receptor pharmacology screened separately	Exact-symbol/alias PubMed and Europe PMC searches; comparator receptor pharmacology screened for false transfer	No exact Rln3-Adra2a binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP3/RXFP4 branches versus ADRA2A Gi/o adrenergic signaling specificity boundary	low	Adrenergic-receptor pharmacology and RLN3 relaxin-receptor pharmacology were kept separate. No direct molecular interaction, relay, or pair-specific function was located.	null
M20A-EXT-2937	Rln3 Adrb2	reviewed_unresolved	PMID:20214824; https://pubmed.ncbi.nlm.nih.gov/20214824/; PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/; https://pubmed.ncbi.nlm.nih.gov/?term=RLN3+ADRB2	chick transcriptomic comparator and human/mammalian receptor literature; exact pair not established	Chick hypothalamic transcriptional/pathway study and separate recombinant relaxin-family receptor systems; no exact Rln3-Adrb2 assay	Exact-pair PubMed/Europe PMC search; expression/pathway lead PMID:20214824 screened but not counted as pair evidence	No exact Rln3-Adrb2 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	ADRB2 Gs-cAMP signaling and RLN3-RXFP3/RXFP4 pharmacology are separate receptor systems	low	PMID:20214824 is a transcript/pathway study and does not demonstrate Rln3-Adrb2 binding or activation. No direct molecular interaction or downstream relay is assigned.	null
M20A-EXT-2938	Rln3 Adrb3	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=RLN3+ADRB3; PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/	no exact species/model established; human/mammalian comparator literature screened	Relaxin-family receptor systems and beta3-adrenergic receptor pharmacology screened separately	Exact-symbol/alias PubMed and Europe PMC searches; comparator receptor pharmacology screened for false transfer	No exact Rln3-Adrb3 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP3/RXFP4 branches versus ADRB3 Gs-cAMP adrenergic signaling specificity boundary	low	Adrenergic-receptor pharmacology and RLN3 relaxin-receptor pharmacology were kept separate. No direct molecular interaction, relay, or pair-specific function was located.	null
M20A-EXT-2939	Rln3 Gpr20	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=RLN3+GPR20; PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/	no exact species/model established; human/mammalian comparator literature screened	Relaxin-family receptor systems and orphan-GPCR/GPR20 pharmacology screened separately	Exact-symbol/alias PubMed and Europe PMC searches; comparator receptor pharmacology screened for false transfer	No exact Rln3-Gpr20 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP3/RXFP4 cognate receptor branch versus unresolved GPR20 ligand/deorphanization boundary	low	No direct Rln3-Gpr20 assay or validated endogenous ligand assignment was located. Orphan-GPCR family resemblance, expression, and database evidence do not establish a relay.	null
M20A-EXT-2940	Rln3 Gpr84	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=RLN3+GPR84; PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/	no exact species/model established; human/mammalian comparator literature screened	Relaxin-family receptor systems and GPR84 fatty-acid/inflammatory GPCR pharmacology screened separately	Exact-symbol/alias PubMed and Europe PMC searches; comparator receptor pharmacology screened for false transfer	No exact Rln3-Gpr84 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP3/RXFP4 cognate receptor branch versus GPR84 ligand-specificity boundary	low	GPR84 agonist studies and RLN3 relaxin-receptor studies were not transferred across receptor families. No direct molecular interaction, relay, or pair-specific function was located.	null
M20A-EXT-2941	Rln3 Grm7	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=RLN3+GRM7; PMID:16411781; https://pubmed.ncbi.nlm.nih.gov/16411781/	no exact species/model established; human/mammalian comparator literature screened	Relaxin-family receptor systems and group-III metabotropic glutamate receptor pharmacology screened separately	Exact-symbol/alias PubMed and Europe PMC searches; comparator receptor pharmacology screened for false transfer	No exact Rln3-Grm7 binding, activation, receptor-proximal relay, or pair-specific function established	no_evidence_boundary	RLN3-RXFP3/RXFP4 cognate receptor branch versus GRM7 glutamate-receptor specificity boundary	low	Metabotropic glutamate receptor signaling was not inferred from GPCR class resemblance or pathway overlap. No direct molecular interaction, relay, or pair-specific function was located.	null
