review_id	pair_key	pair_label_canonical	pathway_reuse_key	evidence_id	source_locators	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence_tier	terminal_tf_entities	review_status	curator_note
M20A-EXT-0470	thbs2 cd47	Thbs2 Cd47		M21A-PAIR-EVID-189	https://pmc.ncbi.nlm.nih.gov/articles/PMC2613617/	human	vascular/endothelial and platelet-related systems	CD47/TSP comparison and receptor-context review; no qualifying exact THBS2-CD47 relay	unresolved; weak/unconfirmed direct assignment	ligand_receptor_binding_or_activation	no defensible THBS2-CD47 intracellular branch	low		reviewed_unresolved	The cited CD47/TSP work does not establish a clean full-length THBS2-CD47 downstream relay; retain as an explicit unresolved boundary.
M20A-EXT-0472	thbs2 itgav_itgb3	Thbs2 ITGAV_ITGB3	M21A-REUSE-0251	M21A-PAIR-EVID-190	https://pubmed.ncbi.nlm.nih.gov/7798222/; https://pmc.ncbi.nlm.nih.gov/articles/PMC7686970/	human	endothelial/vascular cell systems	TSP2-alphaVbeta3 binding/competition and integrin-dependent signaling or angiogenesis assays	receptor-proximal adhesion; function	downstream_pathway_function	THBS2-alphaVbeta3 integrin/FAK-ERK-NF-kB vascular branch	medium		reviewed_relay_candidate	NF-kB pathway readouts are retained as pathway-level evidence only; no terminal TF-target program is claimed.
M20A-EXT-0477	thbs4 cd47	Thbs4 Cd47		M21A-PAIR-EVID-191	https://pmc.ncbi.nlm.nih.gov/articles/PMC2613617/	human	vascular/endothelial and platelet-related systems	CD47/TSP comparison and receptor-context review; no qualifying exact THBS4-CD47 relay	unresolved; weak/unconfirmed direct assignment	ligand_receptor_binding_or_activation	no defensible THBS4-CD47 intracellular branch	low		reviewed_unresolved	The available TSP/CD47 evidence does not isolate THBS4 as an exact ligand with a defensible downstream relay.
M20A-EXT-0479	thbs4 itgav_itgb3	Thbs4 ITGAV_ITGB3	M21A-REUSE-0252	M21A-PAIR-EVID-192	https://pmc.ncbi.nlm.nih.gov/articles/PMC2993182/	human	vascular smooth-muscle/endothelial and matrix-remodeling systems	THBS4-alphaVbeta3 adhesion/competition and downstream migration or remodeling assays	receptor-proximal adhesion; function	downstream_pathway_function	THBS4-alphaVbeta3 integrin adhesion/remodeling branch	medium		reviewed_relay_candidate	Context and matrix presentation are required; no terminal TF activation was isolated.
M20A-EXT-0482	tnc itga8_itgb1	Tnc ITGA8_ITGB1	M21A-REUSE-0253	M21A-PAIR-EVID-193	https://pmc.ncbi.nlm.nih.gov/articles/PMC2692383/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2710129/	human and mouse	neural/vascular matrix and cell-adhesion models	TNC fragment/cryptic-site adhesion, alpha8beta1 blocking and migration or survival assays	conditional receptor-proximal adhesion; function	downstream_pathway_function	TNC-alpha8beta1 cryptic-fragment adhesion/migration branch	medium		reviewed_relay_candidate	Evidence is presentation- and fragment-dependent; do not generalize to intact soluble TNC without matching matrix context.
M20A-EXT-0483	tnc itga9_itgb1	Tnc ITGA9_ITGB1	M21A-REUSE-0254	M21A-PAIR-EVID-194	https://pubmed.ncbi.nlm.nih.gov/9565552/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6665849/	human and mouse	neural crest/vascular and matrix-cell systems	TNC-alpha9beta1 binding/adhesion, integrin blocking and migration or matrix-remodeling assays	direct/proximal adhesion; function	downstream_pathway_function	TNC-alpha9beta1 adhesion/migration branch	high		reviewed_relay_candidate	Strong exact-pair support, but cellular output remains context-specific and no terminal TF was measured.
M20A-EXT-0484	tnc itgav_itgb3	Tnc ITGAV_ITGB3	M21A-REUSE-0255	M21A-PAIR-EVID-195	https://pubmed.ncbi.nlm.nih.gov/7505785/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2139818/	human and mouse	fibroblast/endothelial and matrix-adhesion systems	TNC-alphaVbeta3 binding/adhesion, blocking and migration or cytoskeletal assays	direct/proximal adhesion; function	downstream_pathway_function	TNC-alphaVbeta3 RGD adhesion/migration branch	high		reviewed_relay_candidate	RGD/matrix presentation and cell state matter; no terminal TF program is inferred.
M20A-EXT-0485	tnc itgav_itgb6	Tnc ITGAV_ITGB6	M21A-REUSE-0256	M21A-PAIR-EVID-196	https://pubmed.ncbi.nlm.nih.gov/23958855/	human	epithelial and tumor-cell matrix models	TNC-alphaVbeta6 adhesion or activation perturbation and migration/invasion assays	receptor-proximal adhesion; function	downstream_pathway_function	TNC-alphaVbeta6 matrix-adhesion/invasion branch	medium		reviewed_relay_candidate	Pair evidence is model-specific and does not establish a universal intracellular relay or TF endpoint.
M20A-EXT-0487	tnc sdc4	Tnc Sdc4	M21A-REUSE-0257	M21A-PAIR-EVID-197	https://pubmed.ncbi.nlm.nih.gov/17901052/	human	fibroblast/vascular matrix models	TNC cryptic-peptide or fragment binding, SDC4 perturbation and adhesion/migration assays	conditional receptor-proximal adhesion; function	downstream_pathway_function	TNC-SDC4 cryptic-peptide/GAG adhesion branch	medium		reviewed_relay_candidate	Cryptic peptide, GAG and matrix presentation are required; this is not a clean intact-protein binary interaction.
M20A-EXT-0489	tnn itga8_itgb1	Tnn ITGA8_ITGB1		M21A-PAIR-EVID-198	https://pubmed.ncbi.nlm.nih.gov/12812753/	human	neural/adhesion assay systems	exact-pair search and integrin-family comparison	negative/unresolved exact-pair assignment	ligand_receptor_binding_or_activation	no defensible TNN-alpha8beta1 downstream branch	low		reviewed_unresolved	The cited search boundary does not establish exact TNN-alpha8beta1 binding or downstream signaling; do not transfer TNC evidence.
M20A-EXT-0503	tnxb itgav_itgb3	Tnxb ITGAV_ITGB3		M21A-PAIR-EVID-199	https://doi.org/10.1046/j.1432-1327.1999.00563.x	human	recombinant extracellular-matrix and integrin-binding systems	recombinant binding/adhesion assay	direct binding only	ligand_receptor_binding_or_activation	TNXB-alphaVbeta3 binding branch; downstream relay unresolved	medium		reviewed_binding_only	A binding observation is retained, but no exact downstream pathway or cellular function was validated for this pair.
M20A-EXT-0506	vcam1 itgad_itgb2	Vcam1 ITGAD_ITGB2	M21A-REUSE-0258	M21A-PAIR-EVID-200	https://pubmed.ncbi.nlm.nih.gov/9841932/; https://pmc.ncbi.nlm.nih.gov/articles/PMC1367263/	human and mouse	leukocyte/endothelial adhesion and inflammatory models	VCAM1-alphaD/beta2 adhesion, blocking, transmigration and inflammatory signaling assays	direct/proximal adhesion; function	downstream_pathway_function	VCAM1-alphaD/beta2 integrin adhesion/inflammatory branch	high		reviewed_relay_candidate	Exact cellular output depends on leukocyte activation and endothelial context; no terminal TF-target program was measured.
M20A-EXT-0507	vtn itga2b_itgb3	Vtn ITGA2B_ITGB3	M21A-REUSE-0259	M21A-PAIR-EVID-201	https://pubmed.ncbi.nlm.nih.gov/10192457/	human	platelets and recombinant integrin systems	vitronectin-alphaIIbbeta3 binding, platelet adhesion/spreading and integrin blockade	direct/proximal adhesion; function	downstream_pathway_function	VTN-alphaIIbbeta3 platelet outside-in/FAK branch	high		reviewed_relay_candidate	Platelet activation state and ligand presentation are required; no terminal TF endpoint.
M20A-EXT-0508	vtn itga8_itgb1	Vtn ITGA8_ITGB1	M21A-REUSE-0260	M21A-PAIR-EVID-202	https://pubmed.ncbi.nlm.nih.gov/7559467/	human	endothelial/epithelial and recombinant integrin systems	vitronectin-alpha8beta1 binding/adhesion and integrin-blocking assays	direct/proximal adhesion; function	downstream_pathway_function	VTN-alpha8beta1 adhesion/migration branch	high		reviewed_relay_candidate	Exact downstream kinase sequence is context-dependent; the evidence supports function but not a terminal TF program.
M20A-EXT-0509	vtn itgav_itgb1	Vtn ITGAV_ITGB1	M21A-REUSE-0261	M21A-PAIR-EVID-203	https://pubmed.ncbi.nlm.nih.gov/1690718/; https://pubmed.ncbi.nlm.nih.gov/14766759/	human and mouse	recombinant integrin and epithelial/vascular cell systems	vitronectin-alphaVbeta1 binding, adhesion, integrin perturbation and migration assays	direct/proximal adhesion; function	downstream_pathway_function	VTN-alphaVbeta1 adhesion/migration branch	high		reviewed_relay_candidate	Matrix presentation and integrin activation state are required; no terminal TF activation was measured.
M20A-EXT-0510	vtn itgav_itgb3	Vtn ITGAV_ITGB3	M21A-REUSE-0262	M21A-PAIR-EVID-204	https://pmc.ncbi.nlm.nih.gov/articles/PMC2288998/; https://pubmed.ncbi.nlm.nih.gov/11922905/	human and mouse	endothelial, smooth-muscle and recombinant integrin systems	vitronectin-alphaVbeta3 binding, blocking, FAK/Src or MAPK-linked adhesion/migration assays	direct/proximal adhesion; function	downstream_pathway_function	VTN-alphaVbeta3 integrin/FAK-Src-MAPK adhesion branch	high		reviewed_relay_candidate	Strong exact-pair functional support; kinase-to-TF propagation remains unassigned.
M20A-EXT-0511	vtn itgav_itgb5	Vtn ITGAV_ITGB5	M21A-REUSE-0263	M21A-PAIR-EVID-205	https://pmc.ncbi.nlm.nih.gov/articles/PMC2288998/; https://pubmed.ncbi.nlm.nih.gov/9028792/	human and mouse	endothelial/epithelial and recombinant integrin systems	vitronectin-alphaVbeta5 binding, blocking, adhesion and migration/angiogenesis assays	direct/proximal adhesion; function	downstream_pathway_function	VTN-alphaVbeta5 adhesion/angiogenesis branch	high		reviewed_relay_candidate	Exact output depends on cell type and integrin expression; no terminal TF program is inferred.
M20A-EXT-0512	vtn itgav_itgb8	Vtn ITGAV_ITGB8	M21A-REUSE-0264	M21A-PAIR-EVID-206	https://pmc.ncbi.nlm.nih.gov/articles/PMC4882426/; https://pmc.ncbi.nlm.nih.gov/articles/PMC4059974/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3239846/	human and mouse	vascular/epithelial and integrin-alphaVbeta8 models	vitronectin presentation or integrin perturbation with migration, adhesion or signaling/function assays	receptor-proximal function	downstream_pathway_function	VTN-alphaVbeta8 adhesion/migration branch	medium		reviewed_function_only	Functional evidence is stronger than a clean direct ligand-interface assignment; no terminal TF activation was isolated.
M20A-EXT-0513	vtn plaur	Vtn Plaur	M21A-REUSE-0265	M21A-PAIR-EVID-207	https://pubmed.ncbi.nlm.nih.gov/7528215/; https://pubmed.ncbi.nlm.nih.gov/11773078/; https://pubmed.ncbi.nlm.nih.gov/17355965/; https://pubmed.ncbi.nlm.nih.gov/23327926/	human and mouse	endothelial, tumor and recombinant uPAR/integrin systems	vitronectin-uPAR binding, integrin cooperation/blockade, FAK/ERK or migration/invasion assays	direct receptor-complex association; receptor-proximal function	downstream_pathway_function	VTN-uPAR-integrin co-receptor/FAK-ERK migration branch	high		reviewed_relay_candidate	uPAR-integrin cooperation and ligand presentation are context-dependent; composite-complex evidence is not a claim of a single binary interface.
M20A-EXT-0514	vwf itga2b_itgb3	Vwf ITGA2B_ITGB3	M21A-REUSE-0266	M21A-PAIR-EVID-208	https://pubmed.ncbi.nlm.nih.gov/2803984/; https://pmc.ncbi.nlm.nih.gov/articles/PMC296793/	human	platelets and recombinant vWF/integrin systems	vWF-alphaIIbbeta3 binding, platelet adhesion/activation and integrin blockade	direct/proximal adhesion; function	downstream_pathway_function	VWF-alphaIIbbeta3 platelet activation/outside-in branch	high		reviewed_relay_candidate	Shear, multimeric vWF and platelet activation state are required; no terminal TF endpoint.
M20A-EXT-0515	vwf itgav_itgb3	Vwf ITGAV_ITGB3	M21A-REUSE-0267	M21A-PAIR-EVID-209	https://pubmed.ncbi.nlm.nih.gov/7505120/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2644087/	human	endothelial/platelet and recombinant integrin systems	vWF-alphaVbeta3 binding/adhesion, blocking and angiogenesis or migration assays	direct/proximal adhesion; function	downstream_pathway_function	VWF-alphaVbeta3 endothelial adhesion/angiogenesis branch	medium		reviewed_relay_candidate	Multimeric vWF, matrix presentation and shear context limit generalization; no terminal TF program was measured.
