evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-711	M20A-CELLCHAT-REMAINING-0182	agt agtr1b	M21A-REUSE-0448	medium-high	high	PMID:7614710; PMID:12176659; PMID:24370594	Direct AT1B pharmacology and Gq/PLC/IP3-Ca2+/PKC receptor-proximal signaling support qualified-high promotion. Preserve the cloned AT1B evidence and distinguish downstream native AT1R work; no terminal-TF or SCI claim.	true	true	false
M21A-PAIR-EVID-713	M20A-CELLCHAT-REMAINING-0184	aldo-cyp11b2 nr3c2	M21A-REUSE-0449	medium-high	high	PMID:15967794; PMID:32652691; PMID:24491541	Aldosterone-dependent NR3C2 nuclear-receptor activation and target-gene/function outputs support qualified-high promotion at the receptor/TF relay layer. CYP11B2 flux was not manipulated, and NR3C2 is the directly activated node; no direct enzyme-receptor interaction is inferred.	true	true	false
M21A-PAIR-EVID-714	M20A-CELLCHAT-REMAINING-0185	amh amhr2_acvr1	M21A-REUSE-0450	medium-high	high	PMID:11376112; PMID:20861221; PMCID:PMC7286617	AMHR2/ACVR1 complex-dependent SMAD1/5/8 signaling and Mullerian-duct regression support qualified-high promotion at the exact receptor-complex relay layer. Preserve type-I-receptor redundancy and tissue context; no terminal-TF overreach.	true	true	false
M21A-PAIR-EVID-715	M20A-CELLCHAT-REMAINING-0186	androstenedione-cyp17a1 ar	M21A-REUSE-0451	medium-high	high	PMID:15522925; PMID:15336702; DOI:10.1210/jc.2004-1577	Androstenedione supports partial AR ligand-binding/nuclear-receptor function and myogenic/prostate outputs. Preserve weaker activity than DHT, conversion to testosterone, and the unmanipulated CYP17A1 source branch; no direct enzyme-receptor claim.	true	true	false
M21A-PAIR-EVID-721	M20A-CELLCHAT-REMAINING-0192	anxa1 fpr2	M21A-REUSE-0452	medium-high	high	PMCID:PMC3397896; PMID:36279933; PMID:31552142	ANXA1/FPR2-dependent Gi/o-Ca2+/ERK signaling and context-specific inflammatory or repair function support qualified-high promotion. Preserve ANXA1 isoform/peptide bias and cell context; no universal downstream branch, terminal TF, or SCI claim.	true	true	false
M21A-PAIR-EVID-724	M20A-CELLCHAT-REMAINING-0195	apela aplnr	M21A-REUSE-0453	medium-high	high	PMID:28817612; PMID:30631305; PMID:28904225	Direct APELA/APLNR Gi-linked cAMP inhibition and ERK signaling support qualified-high promotion at the GPCR-proximal relay layer. Preserve tissue-specific endothelial metabolism and distinguish phenotypes using apelin rather than APELA; no terminal-TF claim.	true	true	false
M21A-PAIR-EVID-725	M20A-CELLCHAT-REMAINING-0196	apoa1 cubn_amn	M21A-REUSE-0454	medium-high	high	DOI:10.1038/nm0699_656; PMCID:PMC17859; PMID:24357674	ApoA1 binding to the CUBN/AMN membrane complex and megalin-assisted endocytosis/reabsorption support qualified-high promotion at the exact uptake/function layer. This is not a kinase relay; preserve intestinal epithelial complex and processing context.	true	true	false
M21A-PAIR-EVID-728	M20A-CELLCHAT-REMAINING-0199	apob apobr	M21A-REUSE-0455	medium-high	high	PMCID:PMC16572; PMID:10638201; PMID:9633939	ApoB48/apoB-containing lipoprotein uptake through APOBR and foam-cell function support qualified-high promotion at the exact scavenging/function layer. Preserve apoB isoform and particle context; no intracellular kinase or terminal-TF claim.	true	true	false
M21A-PAIR-EVID-730	M20A-CELLCHAT-REMAINING-0201	apoe trem2_tyrobp	M21A-REUSE-0456	medium-high	high	PMID:26374899; PMCID:PMC4646257; PMID:27477018; PMID:10799849	ApoE-dependent TREM2/TYROBP complex function and microglial uptake/phagocytosis support qualified-high promotion at the ligand-complex/function layer. Do not assert every TYROBP/SYK step as a same-experiment relay; no terminal-TF or SCI claim.	true	true	false
M21A-PAIR-EVID-731	M20A-CELLCHAT-REMAINING-0202	app sorl1	M21A-REUSE-0457	medium-high	high	PMID:27466343; PMID:28799085; PMID:35226190	APP-SORL1 cargo sorting/recycling and Aβ-processing function support qualified-high promotion at the exact trafficking/function layer. This is not receptor-proximal kinase signaling and does not support a terminal-TF claim.	true	true	false
M21A-PAIR-EVID-733	M20A-CELLCHAT-REMAINING-0205	b-endorphin-pomc oprd1	M21A-REUSE-0458	medium-high	high	PMID:1328614; PMID:8942644; PMID:1963478	Mature beta-endorphin activation of OPRD1 with Gi/o-linked adenylyl-cyclase inhibition and cAMP reduction supports qualified-high promotion at the receptor-proximal relay layer. Preserve nonselective beta-endorphin/POMC processing and tissue context; no terminal-TF claim.	true	true	false
M21A-PAIR-EVID-735	M20A-CELLCHAT-REMAINING-0207	b-endorphin-pomc oprm1	M21A-REUSE-0459	medium	high	PMID:9689128; PMID:23348513	Mature beta-endorphin-dependent OPRM1 Gi/o-GIRK neuronal inhibition supports qualified-high promotion at the receptor-proximal relay layer. Preserve species/receptor-variant dependence and POMC precursor boundaries; no terminal-TF claim.	true	true	false
M21A-PAIR-EVID-739	M20A-CELLCHAT-REMAINING-0230	cadm1 nectin3	M21A-REUSE-0460	medium	high	PMID:22703826; PMID:24465823; PMCID:PMC3631237	Exact CADM1-nectin-3 cell adhesion, mast-cell attachment, and measured Ca2+ function support qualified-high promotion at the adhesion/function layer. The molecular intracellular relay is unresolved; no terminal-TF or SCI claim.	true	true	false
M21A-PAIR-EVID-740	M20A-CELLCHAT-REMAINING-0231	cadm3 cadm3	M21A-REUSE-0461	medium	high	PMID:37022761; https://rupress.org/jcb/article/222/6/e202204098/214005	Homophilic CADM3 adhesion and retinal neuroepithelial proliferation support qualified-high promotion at the exact adhesion/function layer. No receptor-proximal relay or terminal-TF claim is made.	true	true	false
M21A-PAIR-EVID-741	M20A-CELLCHAT-REMAINING-0232	cadm3 cadm4	M21A-REUSE-0462	medium	high	PMID:30585357; PMID:27658374; PMCID:PMC5073025	Exact CADM3-CADM4 axon-Schwann adhesion and myelination function support qualified-high promotion at the adhesion/function layer. Preserve the ErbB3/PI3K-Akt association as context-specific rather than a complete pair-specific relay; no terminal-TF claim.	true	true	false
