edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	ligand_context	cell_type_context	compartment_context	species_context	injury_context	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M21A-E009	LIFR-gp130 receptor complex	activates	JAK1	LIF-gp130-JAK-STAT	activating	directed	LIF or OSM type-I receptor context	cytokine-responsive human cell systems	plasma-membrane receptor complex to cytoplasmic kinase	human	neural/cytokine comparator	primary activation support	Shared gp130 receptor signaling is retained; receptor-specific branch weights remain unresolved.	high	medium	RETAIN_AS_LIFR_GP130_JAK_EDGE_WITH_RECEPTOR_CONTEXT
M21A-E010	LIFR-gp130 receptor complex	activates	STAT3	LIF-gp130-JAK-STAT	activating	directed	LIF or OSM type-I receptor context	cytokine-responsive human cell systems	cytoplasm to nucleus	human	neural/cytokine comparator	primary activation support	STAT3 is a shared output of the type-I OSM/LIF receptor complex; do not equate with IL-6 receptor occupancy.	high	medium	RETAIN_AS_SHARED_GP130_STAT3_EDGE
M21A-E011	gp130-OSMR receptor complex	activates	JAK1	OSM-gp130-JAK-STAT	activating	directed	OSM	OSM-responsive human cell lines	plasma-membrane receptor complex to cytoplasmic kinase	human	cytokine comparator	primary activation support	Type-II OSM receptor activates JAK1 in the tested cell systems.	high	medium	RETAIN_AS_OSMR_JAK_EDGE
M21A-E012	gp130-OSMR receptor complex	activates	JAK2	OSM-gp130-JAK-STAT	activating	directed	OSM	OSM-responsive human cell lines	plasma-membrane receptor complex to cytoplasmic kinase	human	cytokine comparator	primary activation support	JAK2 is activated by OSMR-gp130; this is parallel receptor-associated activation, not a JAK cascade.	high	low	RETAIN_AS_ANCILLARY_OSMR_JAK2_EDGE
M21A-E013	gp130-OSMR receptor complex	activates	TYK2	OSM-gp130-JAK-STAT	activating	directed	OSM	OSM-responsive human cell lines	plasma-membrane receptor complex to cytoplasmic kinase	human	cytokine comparator	primary activation support	TYK2 is activated in the tested OSM receptor systems; receptor-specific necessity is not established.	high	low	RETAIN_AS_ANCILLARY_OSMR_TYK2_EDGE
M21A-E014	gp130-OSMR receptor complex	activates	STAT3	OSM-gp130-JAK-STAT	activating	directed	OSM	OSM-responsive human cell lines	cytoplasm to nucleus	human	cytokine comparator	primary activation support	STAT3 is recruited by both type-I and type-II OSM receptor complexes.	high	medium	RETAIN_AS_OSMR_STAT3_EDGE
M21A-E015	gp130-OSMR receptor complex	activates	STAT5B	OSM-gp130-JAK-STAT	activating	directed	OSM	OSM-responsive human cell lines	cytoplasm to nucleus	human	cytokine comparator	primary receptor-comparison support	STAT5B activation was specific to the type-II gp130-OSMR complex in the cited comparison.	high	low	RETAIN_AS_RECEPTOR_SPECIFIC_STAT5B_BRANCH
M21A-E016	IFNAR1-IFNAR2 receptor complex	activates	TYK2	IFN-type-I-JAK-STAT-IRF	activating	directed	IFN-alpha or IFN-beta	IFN-responsive human cell systems	plasma-membrane receptor complex to cytoplasmic kinase	human	immune comparator	primary receptor-association support	IFNAR1 associates with TYK2 and receptor stimulation activates TYK2.	high	medium	RETAIN_AS_IFNAR_TYK2_EDGE
M21A-E017	IFNAR1-IFNAR2 receptor complex	activates	JAK1	IFN-type-I-JAK-STAT-IRF	activating	directed	IFN-alpha or IFN-beta	IFN-responsive human cell systems	plasma-membrane receptor complex to cytoplasmic kinase	human	immune comparator	primary receptor-association support	IFNAR2 associates with JAK1; JAK1 is required for type-I interferon response.	high	medium	RETAIN_AS_IFNAR_JAK1_EDGE
M21A-E018	IFNAR1-IFNAR2 receptor complex	activates	STAT1	IFN-type-I-JAK-STAT-IRF	activating	directed	IFN-alpha or IFN-beta	IFN-responsive human cell systems	cytoplasm to nucleus	human	immune comparator	primary activation support	Type-I interferon receptor stimulation activates STAT1.	high	medium	RETAIN_AS_IFNAR_STAT1_EDGE
M21A-E019	IFNAR1-IFNAR2 receptor complex	activates	STAT2	IFN-type-I-JAK-STAT-IRF	activating	directed	IFN-alpha or IFN-beta	IFN-responsive human cell systems	cytoplasm to nucleus	human	immune comparator	primary activation and loss-of-function support	STAT2 phosphorylation is required for efficient STAT1 recruitment and downstream ISGF3 formation.	high	medium	RETAIN_AS_IFNAR_STAT2_EDGE
M21A-E020	STAT1-STAT2-IRF9 complex	activates	ISRE transcription	IFN-type-I-JAK-STAT-IRF	activating	directed	IFN-alpha or IFN-beta	IFN-responsive human cell systems	nucleus	human	immune comparator	primary pathway-complex support	ISGF3 is represented as a transcriptional output complex rather than an extra kinase or TF node.	high	medium	RETAIN_AS_ISGF3_OUTPUT_COMPLEX
M21A-E021	IFNGR1-IFNGR2 receptor complex	activates	JAK1	IFN-type-II-JAK-STAT	activating	directed	IFN-gamma	IFN-responsive human and mouse cell systems	plasma-membrane receptor complex to cytoplasmic kinase	human; mouse	immune comparator	primary receptor-comparison and genetic support	Both receptor chains and JAK1 are required for IFN-gamma signaling in tested systems.	high	medium	RETAIN_AS_IFNGR_JAK1_EDGE
M21A-E022	IFNGR1-IFNGR2 receptor complex	activates	JAK2	IFN-type-II-JAK-STAT	activating	directed	IFN-gamma	IFN-responsive human and mouse cell systems	plasma-membrane receptor complex to cytoplasmic kinase	human; mouse	immune comparator	primary receptor-association support	JAK2 associates with the intracellular IFNGR2 region and is activated with IFN-gamma.	high	medium	RETAIN_AS_IFNGR_JAK2_EDGE
M21A-E023	IFNGR1-IFNGR2 receptor complex	activates	STAT1	IFN-type-II-JAK-STAT	activating	directed	IFN-gamma	IFN-responsive human and mouse cell systems	cytoplasm to nucleus	human; mouse	immune comparator	primary activation and knockout support	IFNGR2-deficient cells fail to activate STAT1 and IFN-gamma transcriptional responses.	high	medium	RETAIN_AS_IFNGR_STAT1_EDGE
M21A-E024	IFNGR1-IFNGR2 receptor complex	activates	MAPK1/ERK2 branch	IFN-type-II-noncanonical	context_dependent	directed	IFN-gamma	fibroblast signaling systems	cytoplasm to nucleus	human	immune comparator	primary branch-specific perturbation support	Pyk2-linked ERK2/MAPK1 activation is retained as an IFN-gamma-specific branch; MAPK3 involvement is not established and the branch is not generalized to IFN-alpha.	medium	low	RETAIN_AS_IFNGAMMA_PYK2_ERK2_BRANCH_WITH_MAPK3_LIMITATION
M21A-E025	TNFR1 receptor complex	recruits	TRADD	TNF-NF-kappaB-MAPK-death	activating	directed	TNF-alpha	TNF-responsive mammalian cell systems	plasma membrane to cytoplasmic signaling complex	human; mouse	inflammatory comparator	primary biochemical support	TRADD is the proximal TNFR1 adaptor and bifurcation point.	high	medium	RETAIN_AS_TNFR1_TRADD_EDGE
M21A-E026	TRADD	recruits	TRAF2	TNF-NF-kappaB-MAPK-death	activating	directed	TNF-alpha	TNF-responsive mammalian cell systems	cytoplasmic signaling complex	mouse	inflammatory comparator	primary interaction and branch perturbation support	TRAF2 recruitment supports the NF-kappaB branch but is not sufficient to represent all TNF outputs.	high	medium	RETAIN_AS_TRADD_TRAF2_BRANCH
M21A-E027	TRADD	recruits	FADD	TNF-NF-kappaB-MAPK-death	activating	directed	TNF-alpha	TNF-responsive mammalian cell systems	cytoplasmic signaling complex	mouse	inflammatory comparator	primary interaction and branch perturbation support	FADD recruitment defines the apoptotic branch distinct from TRAF2-dependent NF-kappaB signaling.	high	medium	RETAIN_AS_TRADD_FADD_BRANCH
M21A-E028	TNFR1-TRADD/RIPK1 branch complex	activates	RIPK1	TNF-NF-kappaB-MAPK-death	context_dependent	directed	TNF-alpha	TNF-responsive mammalian cell systems	cytoplasmic signaling complex	human; mouse	inflammatory comparator	primary complex-association support	TNFR1 association with TRADD and RIPK1 is retained as a non-ordered branch-complex hypothesis; a ternary TNFR1-TRADD-TRAF2 complex that activates RIPK1 is not established.	medium	low	HOLD_AS_NONORDERED_TNFR1_RIPK1_BRANCH_UNTIL_SPLIT
M21A-E029	TRAF2-RIPK1 signaling complex	activates	IKK-NFKB1-RELA	TNF-NF-kappaB	activating	directed	TNF-alpha	TNF-responsive mammalian cell systems	cytoplasm to nucleus	mouse	inflammatory comparator	primary branch perturbation support	TRAF2-linked signaling activates NF-kappaB; do not encode TRADD as required for every RIPK1 death output.	high	medium	RETAIN_AS_TNF_NFKB_BRANCH
M21A-E030	FADD	activates	CASP8	TNF-cell-death	activating	directed	TNF-alpha	TNF-responsive mammalian cell systems	cytoplasmic death-inducing complex	human; mouse	inflammatory comparator	primary branch perturbation support	FADD-dependent caspase-8 activation is retained as an apoptotic pathway-complex branch; a direct FADD-CASP8 binding edge is not inferred.	high	medium	RETAIN_AS_TNF_FADD_CASP8_PATHWAY_BRANCH
