perturbation_id	edge_id_or_branch	source_locator	species	cell_or_tissue_context	perturbation_type	perturbation_target	observed_effect	interpretation_boundary	confidence
M21A-SAT-P001	M21A-E009;M21A-E010	PMID:9188471	human	JAR and A375 OSM receptor comparison cells	receptor-complex comparison	LIFR-gp130 versus OSMR-gp130	Both complexes activated JAK-family kinases and STAT3; type-II OSMR-gp130 additionally activated STAT5b	Supports receptor-complex-specific branch separation, not a universal OSM/LIF output map	high
M21A-SAT-P002	M21A-E018;M21A-E019;M21A-E020	PMID:7532278	human	STAT2-deficient IFN signaling cells	genetic deficiency	STAT2	STAT1 phosphorylation and ISGF3 formation were impaired despite preserved JAK1/TYK2 phosphorylation	Separates receptor-proximal kinase activation from STAT2-dependent transcriptional complex formation	high
M21A-SAT-P003	M21A-E021;M21A-E022;M21A-E023	PMID:9653170	mouse	IFNGR2-deficient mouse-derived cells and splenocytes	knockout	IFNGR2	IFN-gamma failed to activate JAK/STAT proteins or downstream transcription	Supports receptor-complex necessity in mouse; does not establish astrocyte branch strength	high
M21A-SAT-P004	M21A-E024	PMID:10228162	mammal	NIH-3T3 fibroblast signaling system	dominant-negative kinase	Pyk2	Pyk2 interference reduced IFN-gamma-induced ERK2 and STAT1 serine phosphorylation but did not equivalently block IFN-alpha	Supports IFN-gamma-specific noncanonical branch	high
M21A-SAT-P005	M21A-E026;M21A-E027;M21A-E029;M21A-E030	PMID:8565075	mouse	TNFR1 signaling cells	mutant adaptor and branch inhibitors	TRAF2; FADD	TRAF2 mutant inhibited TNF NF-kappaB without blocking apoptosis, while FADD mutant inhibited apoptosis without blocking NF-kappaB	Directly supports bifurcation at TRADD	high
M21A-SAT-P006	M21A-E028;M21A-E029;M21A-E030	PMID:16611992	mouse	TNFR1 death-signaling cells	complex and gene perturbation	TRADD; RIPK1; FADD	TNF induced RIPK1/TRADD/TRAF2/FADD complexes; TRADD was not required for RIPK1-dependent necrosis	Do not make TRADD a universal prerequisite for every TNFR1 death output	high
M21A-SAT-P007	M21A-E031;M21A-E032;M21A-E033;M21A-E034	PMID:11416133; PMID:12538665	mammal	IL-1-responsive cells	dominant-negative and isoform comparison	MyD88; MyD88S; IRAK	MyD88/IRAK loss blocked IL-1 NF-kappaB responses; MyD88S failed to recruit IRAK4 and attenuated signaling	Supports canonical MyD88-IRAK relay plus inhibitory splice-isoform boundary	high
M21A-SAT-P008	M21A-E033;M21A-E034;M21A-E037	PMID:11518704	mammal	IL-1-responsive cells	kinase perturbation	IRAK	IRAK was required for IL-1-induced NF-kappaB and JNK and mediated TRAF6/TAB2 translocation	Exact IRAK4-to-IRAK1 order is retained conservatively	high
M21A-SAT-P009	M21A-E038;M21A-E039;M21A-E040	PMID:19380820; PMID:17559806	mammal	CXCR4-expressing cells	pertussis toxin, antagonist, and PI3K inhibition	G-alpha-i; CXCR4; PI3K	Pertussis toxin or CXCR4 antagonism blocked chemotaxis/signaling; PI3K inhibition reduced CXCL12-induced Akt	Supports GPCR and PI3K branch, not receptor tyrosine kinase equivalence	high
M21A-SAT-P010	M21A-E041	PMID:28781651	human	CXCR4-expressing cancer-cell signaling system	kinase inhibitor and receptor knockdown	SRC; EGFR	Src/EGFR inhibition or knockdown reduced CXCL12-induced ERK/Akt	Supports context-dependent Src-EGFR cross-talk	high
