review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	primary_evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-CELLCHAT-REMAINING-0280	Cd200 Cd200r1l	reviewed_unresolved	PMID:12960329; PMID:15946251; PMCID:PMC4617684	mouse; human	transfected CD200 receptor-family panels; macrophage/neutrophil immune contexts	recombinant receptor-family binding and agonist-antibody studies; no exact CD200–CD200R1L ligand assay located	CD200R-family interaction unresolved	ligand_receptor_binding_or_activation	CD200R-family inhibitory signaling	low	Family studies establish CD200R1 and related receptors but do not resolve CD200 binding to the exact CD200R1L paralog; review evidence was used only for pathway context.	—
M20A-CELLCHAT-REMAINING-0281	Cd200 Cd200r3	reviewed_unresolved	PMID:12960329; PMID:15946251; PMCID:PMC4617684	mouse; human	transfected CD200 receptor-family panels; macrophage/neutrophil immune contexts	recombinant receptor-family binding and agonist-antibody studies; no exact CD200–CD200R3 ligand assay located	CD200R-family interaction unresolved	ligand_receptor_binding_or_activation	CD200R-family inhibitory/activating receptor context	low	Family studies identify CD200R-related genes and DAP12-associated members but do not establish the exact CD200–CD200R3 pair.	—
M20A-CELLCHAT-REMAINING-0282	Cd209a Ceacam1	reviewed_binding_only	PMID:16246332; DOI:10.1016/j.febslet.2005.08.017	human	neutrophils and dendritic cells	glycan-dependent cell binding and blocking assays; CEACAM1 Lewis-x glycosylation required for DC-SIGN recognition	DC-SIGN/CEACAM1 glycan-dependent heterophilic adhesion	ligand_receptor_binding_or_activation	DC-SIGN–CEACAM1 contact	medium	Primary evidence is human CD209/DC-SIGN–CEACAM1; the queued mouse-style Cd209a/Ceacam1 ortholog pair was not independently reconstituted.	—
M20A-CELLCHAT-REMAINING-0283	Cd276 Treml2	reviewed_relay_candidate	PMID:18650384; PMID:19544488	mouse; human	mouse TLT-2-transduced T cells and DO11.10 cells; human/mouse receptor-expressing reporter comparisons	B7-H3-Ig binding to TLT-2; B7-H3-transfected stimulator coculture; anti-B7-H3/TLT-2 blockade; IL-2 and IFN-gamma output	B7-H3/TLT-2 direct immune receptor-complex costimulation	receptor_proximal_relay	B7-H3/TLT-2 → IL-2 and IFN-gamma → T-cell activation	high	Murine B7-H3–TLT-2 binding and costimulation are direct, whereas a human study did not reproduce the interaction; no intracellular kinase or terminal TF was directly measured.	—
M20A-CELLCHAT-REMAINING-0284	Cd46 Jag1	reviewed_relay_candidate	PMID:23086448; PMCID:PMC3505834; DOI:10.1038/ni.2454	human; mouse	primary human CD4-positive T cells; CD46-transgenic mouse erythrocytes; recombinant proteins	ELISA and surface plasmon resonance; cell-surface binding; CD3/CD46 stimulation; Jagged1 and Notch perturbation; HES1/RBPJ transcript assays	CD46–JAG1 direct ligand binding with Notch receptor-complex crosstalk	receptor_proximal_relay	CD46–JAG1 → Notch1/2 signaling → IFN-gamma/IL-10 switching	medium-high	Direct binding and Notch crosstalk are established, but the study did not resolve a kinase relay; HES1 and RBPJ were measured as transcripts rather than by direct TF occupancy.	
M20A-CELLCHAT-REMAINING-0285	Cd48 Cd244a	reviewed_relay_candidate	PMID:17950006; PMID:17599905; PMID:15905190; DOI:10.1074/jbc.M704483200	mouse; human	mouse and human NK cells; recombinant CD244/CD48 ectodomains; CD244-deficient NK cells	crystal structure and SPR; CD48/CD244 blockade; SAP, EAT-2, FYN interaction assays; calcium, cytotoxicity, IFN-gamma and tumor-clearance assays	CD48–CD244A heterophilic SLAM-family receptor-complex relay	receptor_proximal_relay	CD48/CD244A → SAP/EAT-2/FYN → calcium and NK effector function	high	Signaling polarity depends on species and co-receptors; no terminal TF was directly measured.	—
M20A-CELLCHAT-REMAINING-0286	Cd52 Siglecg	reviewed_relay_candidate	PMCID:PMC12936179; https://doi.org/10.1038/s41523-026-00895-3	mouse	mouse TNBC cells and bone-marrow-derived macrophages	CD52 or Siglec-G genetic loss/siRNA; anti-CD52 blockade; tumor-cell/macrophage coculture; phagocytosis and tumor-growth assays	CD52 sialoglycan–Siglec-G inhibitory immune checkpoint	receptor_proximal_relay	CD52–Siglec-G → macrophage inhibitory checkpoint → phagocytosis/tumor surveillance	medium-high	The primary study supports the exact murine axis and functional output; purified-protein affinity and a terminal TF were not directly measured.	—
M20A-CELLCHAT-REMAINING-0287	Cd55 Adgre5	reviewed_binding_only	PMID:9064337; PMCID:PMC2192782; DOI:10.1084/jem.184.3.1185	human	human lymphocytes and erythrocytes; COS cells expressing human CD97/ADGRE5	CD97-transfectant adhesion; CD55-deficient PNH/Inab erythrocytes; anti-CD55 blockade	direct CD55/DAF–ADGRE5/CD97 adhesion-GPCR binding	ligand_receptor_binding_or_activation	CD55–ADGRE5 adhesion receptor complex	medium-high	The primary assay establishes binding/adhesion but not a CD55-triggered intracellular ADGRE5 signaling branch or terminal TF.	—
M20A-CELLCHAT-REMAINING-0288	Cd55b Adgre5	reviewed_binding_only	PMID:10744645; PMID:10540231; PMCID:PMC2326925; DOI:10.1046/j.1365-2567.1999.00859.x	mouse	mouse erythrocytes and splenocytes; COS/HEK cells expressing mouse CD97/ADGRE5	mouse CD97 transfectant adhesion; anti-CD55 blockade; DAF-knockout controls	mouse Cd55b/Daf2–Adgre5/CD97 direct adhesion	ligand_receptor_binding_or_activation	CD55B–ADGRE5 adhesion receptor complex	medium-high	The murine DAF ligand is annotated as Cd55b/Daf2 in current mouse resources; the studies establish adhesion but not downstream ADGRE5 signaling or a terminal TF.	—
M20A-CELLCHAT-REMAINING-0289	Cd6 Alcam	reviewed_relay_candidate	PMID:9209500; PMID:16914752; PMCID:PMC1592849; DOI:10.1128/MCB.00688-06	mouse; human	mouse and human CD6/CD166 recombinant proteins; T-cell hybridomas; primary human T cells	BIAcore binding; CD166 blockade; CD6 cytoplasmic-Y662 mutants; SLP-76 coprecipitation; antigen-specific IL-2 assays	CD6–ALCAM/CD166 heterophilic adhesion and co-receptor relay	receptor_proximal_relay	CD6–ALCAM → phosphorylated CD6-Y662/SLP-76 → T-cell IL-2 response	high	The direct binding and CD6-dependent costimulation are supported, but the queued pair does not identify a single terminal TF; some CD6 signaling is ligand-independent.	—
