review_id	pair	status	stable_citations	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-LIANA-REMAINING-0448	Wnt4 Fzd8_lrp6	no_evidence_boundary	PMID:25605717; PMID:11029007; PMID:12121999; PMID:25902418; https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt4%22%20AND%20%22fzd8%22%20AND%20%22lrp6%22; https://europepmc.org/search?query=%22wnt4%22%20AND%20%22fzd8%22%20AND%20%22lrp6%22	human; mouse; recombinant WNT/FZD/LRP comparator systems; no exact submitted model	WNT-FZD selectivity and LRP5/6 comparator systems; no exact Wnt4-Fzd8-Lrp6 model	Bounded exact-pair search plus primary WNT-FZD/LRP5/6 comparator assays; no exact Wnt4-Fzd8-Lrp6 binding, activation, receptor reconstitution, or pair-specific function	no qualifying exact Wnt4-Fzd8-Lrp6 complex edge	no_evidence_boundary	Wnt4 -> WNT-FZD/LRP5/6 canonical-complex comparator context; exact Fzd8-Lrp6 composite unresolved	low	The submitted row is an exact WNT4-FZD8-LRP6 composite. WNT-FZD mapping, generic LRP6 pathway evidence, expression, co-mention, or beta-catenin output cannot establish this ternary pair; no terminal TF was assigned.	null
M20A-LIANA-REMAINING-0449	Wnt4 Fzd9_lrp5	no_evidence_boundary	PMID:25605717; PMID:11029007; PMID:12121999; PMID:25902418; https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt4%22%20AND%20%22fzd9%22%20AND%20%22lrp5%22; https://europepmc.org/search?query=%22wnt4%22%20AND%20%22fzd9%22%20AND%20%22lrp5%22	human; mouse; recombinant WNT/FZD/LRP comparator systems; no exact submitted model	WNT-FZD selectivity and LRP5/6 comparator systems; no exact Wnt4-Fzd9-Lrp5 model	Bounded exact-pair search plus primary WNT-FZD/LRP5/6 comparator assays; no exact Wnt4-Fzd9-Lrp5 binding, activation, receptor reconstitution, or pair-specific function	no qualifying exact Wnt4-Fzd9-Lrp5 complex edge	no_evidence_boundary	Wnt4 -> WNT-FZD/LRP5/6 canonical-complex comparator context; exact Fzd9-Lrp5 composite unresolved	low	The submitted row is an exact WNT4-FZD9-LRP5 composite. WNT-FZD mapping, generic LRP5 pathway evidence, expression, co-mention, or beta-catenin output cannot establish this ternary pair; no terminal TF was assigned.	null
M20A-LIANA-REMAINING-0450	Wnt4 Fzd9_lrp6	no_evidence_boundary	PMID:25605717; PMID:11029007; PMID:12121999; PMID:25902418; https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt4%22%20AND%20%22fzd9%22%20AND%20%22lrp6%22; https://europepmc.org/search?query=%22wnt4%22%20AND%20%22fzd9%22%20AND%20%22lrp6%22	human; mouse; recombinant WNT/FZD/LRP comparator systems; no exact submitted model	WNT-FZD selectivity and LRP5/6 comparator systems; no exact Wnt4-Fzd9-Lrp6 model	Bounded exact-pair search plus primary WNT-FZD/LRP5/6 comparator assays; no exact Wnt4-Fzd9-Lrp6 binding, activation, receptor reconstitution, or pair-specific function	no qualifying exact Wnt4-Fzd9-Lrp6 complex edge	no_evidence_boundary	Wnt4 -> WNT-FZD/LRP5/6 canonical-complex comparator context; exact Fzd9-Lrp6 composite unresolved	low	The submitted row is an exact WNT4-FZD9-LRP6 composite. WNT-FZD mapping, generic LRP6 pathway evidence, expression, co-mention, or beta-catenin output cannot establish this ternary pair; no terminal TF was assigned.	null
M20A-LIANA-REMAINING-0451	Wnt5a Fzd1	no_evidence_boundary	PMID:25605717; https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt5a%22%20AND%20%22fzd1%22; https://europepmc.org/search?query=%22wnt5a%22%20AND%20%22fzd1%22	mouse; human/recombinant WNT-FZD comparator systems; no exact submitted model	WNT-FZD receptor-selectivity and comparator systems; no exact Wnt5a-Fzd1 model	Bounded exact-pair PubMed and Europe PMC search with primary WNT-FZD mapping; no exact Wnt5a-Fzd1 binding, reconstitution, structural, or receptor-dependent functional assay	no qualifying exact Wnt5a-Fzd1 interaction or relay	no_evidence_boundary	Wnt5a -> WNT-FZD noncanonical comparator context; exact Fzd1 edge unresolved	low	Related WNT/FZD family, pathway, expression, database, noncognate-receptor, and co-mention findings were not transferred to Wnt5a-Fzd1; no terminal TF was assigned.	null
M20A-LIANA-REMAINING-0452	Wnt5a Fzd2	reviewed_unresolved	PMID:31907106; PMCID:PMC7851528; DOI:10.3727/096504020X15783052025051	human	Human breast-cancer cells	Co-immunoprecipitation and FZD2-dependent stemness, migration, and oncogenic pathway assays	WNT5A/B-FZD2 receptor-associated function; WNT5A-specific assignment unresolved	receptor_proximal_relay	WNT5A/B -> FZD2 -> stemness/migration and oncogenic pathway outputs	low	The primary ligand signal combines WNT5A and WNT5B, so WNT5A-specific binding is not cleanly separated; no purified affinity assay or SCI receiver model was provided. Downstream outputs do not establish a terminal TF.	null
M20A-LIANA-REMAINING-0453	Wnt5a Fzd4	reviewed_relay_candidate	PMID:25424568; DOI:10.1002/dneu.22250	rat	Rat primary hippocampal neurons with mouse/rat Wnt5a-Fzd4 reagents	Wnt5a stimulation, Fzd4 blockade/perturbation, and receptor-dependent dendrite branching and growth assays	Wnt5a-Fzd4 receptor-dependent functional relay	receptor_proximal_relay	Wnt5a -> Fzd4 -> noncanonical neuronal morphogenesis/dendrite growth	low	The assignment is functional and autocrine/cell-context dependent rather than purified ligand-receptor binding; the model is rat neuronal culture, not an SCI receiver model, and no terminal TF was measured.	null
M20A-LIANA-REMAINING-0454	Wnt5a Fzd5	reviewed_relay_candidate	PMID:29930766; PMCID:PMC6007469; PMID:35295855; PMCID:PMC8919396	human	Human prostate-cancer cells and human endometrial mesenchymal stem-like cells	Surface plasmon resonance; WNT5A/FZD5-dependent proliferation, apoptosis, and self-renewal assays	WNT5A-FZD5 direct binding with receptor-dependent function	ligand_receptor_binding_or_activation;receptor_proximal_relay	WNT5A -> FZD5 -> noncanonical/cell-state and endometrial stem-like-cell outputs	low	SPR responses required relatively high concentrations and the functional models are cancer or endometrial stem-like cells. The LRP5 result is a separate composite scope and is not transferred to this simple FZD5 edge; no terminal TF was assigned.	null
M20A-LIANA-REMAINING-0455	Wnt5a Fzd7	reviewed_relay_candidate	PMID:33200805; PMCID:PMC7705994; DOI:10.3892/mmr.2020.11690	human	Human Capan-2 pancreatic-cancer cells	Recombinant WNT5A stimulation with FZD7 silencing/inhibition and ABCG2, gemcitabine-resistance, and survival readouts	WNT5A-FZD7 receptor-dependent functional relay	receptor_proximal_relay	WNT5A -> FZD7 -> ABCG2/drug-resistance and survival program	low	This is an indirect functional receptor assignment in a pancreatic-cancer model, not purified binding or a general tissue-independent mechanism; no terminal TF was assigned.	null
M20A-LIANA-REMAINING-0456	Wnt5a Fzd8	reviewed_unresolved	PMID:29930766; PMID:25605717; https://europepmc.org/article/MED/29930766; https://europepmc.org/article/MED/25605717; https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt5a%22%20AND%20%22fzd8%22; https://europepmc.org/search?query=%22wnt5a%22%20AND%20%22fzd8%22	human; mouse	Recombinant WNT-FZD receptor assays and context-dependent cell-function comparator systems	WNT5A-FZD8 receptor assays and WNT-FZD binding screens; weak or non-rescuing response rather than clean pair-selective activation	weak/conflicting WNT5A-FZD8 receptor evidence	ligand_receptor_binding_or_activation;receptor_proximal_relay	WNT5A -> FZD8 noncanonical receptor comparator context; exact activation unresolved	low	The evidence is conflicting and low-specificity: FZD8 was tested, but the response was weak or non-rescuing and no direct pair-selective activation result was established. Do not promote from this boundary without a direct selective assay; no terminal TF was assigned.	null
M20A-LIANA-REMAINING-0457	Wnt5a Fzd9	no_evidence_boundary	PMID:25605717; https://pubmed.ncbi.nlm.nih.gov/?term=%22wnt5a%22%20AND%20%22fzd9%22; https://europepmc.org/search?query=%22wnt5a%22%20AND%20%22fzd9%22	mouse; human/recombinant WNT-FZD comparator systems; no exact submitted model	WNT-FZD receptor-selectivity and comparator systems; no exact Wnt5a-Fzd9 model	Bounded exact-pair PubMed and Europe PMC search with primary WNT-FZD mapping; no exact Wnt5a-Fzd9 binding, reconstitution, structural, or receptor-dependent functional assay	no qualifying exact Wnt5a-Fzd9 interaction or relay	no_evidence_boundary	Wnt5a -> WNT-FZD noncanonical comparator context; exact Fzd9 edge unresolved	low	Related WNT/FZD family, pathway, expression, database, noncognate-receptor, and co-mention findings were not transferred to Wnt5a-Fzd9; no terminal TF was assigned.	null
