evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-5643	M20A-EXT-3280	tgm2 sdc4	M21A-REUSE-2737	medium	high	PMID:19398782; PMID:22442151; PMID:20929862; PMCID:PMC3001003	Exact HS/SDC4 proteoglycan coreceptor plus TG2-FN matrix presentation relay/function supports qualified-high promotion; preserve PKCalpha/beta1 co-signaling and matrix context and do not call SDC4 a kinase receptor.	true	true	false
M21A-PAIR-EVID-5644	M20A-EXT-3283	thbs1 itga2b_itgb3	M21A-REUSE-2738	medium	high	PMID:9169439; DOI:10.1074/jbc.272.23.14740; PMID:8550562; DOI:10.1074/jbc.271.1.21	Exact TSP1 C-terminal/CD47-IAP/alphaIIbbeta3 platelet activation function supports qualified-high promotion; preserve the CD47 bridge and platelet context and do not claim direct binary THBS1-integrin binding.	true	true	false
M21A-PAIR-EVID-5645	M20A-EXT-3284	thbs1 itga4	M21A-REUSE-2739	medium	high	PMID:11980922; PMCID:PMC2173289; DOI:10.1083/jcb.200109098	Exact activated THBS1-alpha4beta1 matrix relay/function supports qualified-high promotion; preserve the complete alpha4beta1 complex, activation state, and matrix boundaries.	true	true	false
M21A-PAIR-EVID-5648	M20A-EXT-3144	shh scube2	M21A-REUSE-2741	medium-high	high	PMID:19480626; PMID:33038332; DOI:10.1042/BJ20090341	Exact lipidated SHH-SCUBE2 chaperone/release and receptor-proximal handoff supports qualified-high promotion; preserve CDON/BOC/GAS1-PTCH1 topology and treat GLI1 as a measured provisional endpoint.	true	true	false
M21A-PAIR-EVID-5649	M20A-EXT-3149	slit1 robo2	M21A-REUSE-2742	medium-high	high	PMID:18278043; PMID:19934013; PMID:17715346; DOI:10.1038/nn2051	Exact SLIT1-ROBO2 receptor-dependent adhesion/axon-guidance function supports qualified-high promotion; preserve N-cadherin/cytoskeletal and developmental context and do not infer a universal ROBO2 adaptor-to-TF branch.	true	true	false
M21A-PAIR-EVID-5650	M20A-EXT-3157	slit3 robo1	M21A-REUSE-2743	medium-high	high	PMID:23255421	Exact SLIT3-ROBO1 developmental migration/adhesion/survival function supports qualified-high promotion; preserve mouse cardiac neural-crest/systemic-venous-return context and unresolved intracellular relay.	true	true	false
M21A-PAIR-EVID-5652	M20A-EXT-3159	slit3 robo4	M21A-REUSE-2745	medium-high	high	PMID:24355925; PMID:24090675; PMID:35288626	Exact HS-SLIT3-ROBO4 endothelial receptor-complex relay/function supports qualified-high promotion; preserve HS presentation, endothelial context, and unresolved ROBO4 cytoplasmic relay.	true	true	false
M21A-PAIR-EVID-5653	M20A-EXT-3164	slpi plscr1	M21A-REUSE-2746	medium-high	high	PMID:19333378; PMCID:PMC2659420; DOI:10.1371/journal.pone.0005006	Exact membrane SLPI-PLSCR1/CD4 complex antiviral function supports qualified-high promotion; preserve human T-cell/monocyte context and do not convert antiviral activity into a generic kinase cascade.	true	true	false
M21A-PAIR-EVID-5654	M20A-EXT-3165	slpi plscr4	M21A-REUSE-2747	medium-high	high	PMID:19333378; PMCID:PMC2659420; DOI:10.1371/journal.pone.0005006	Exact membrane SLPI-PLSCR4/CD4 complex antiviral function supports qualified-high promotion; preserve shared-complex semantics and do not infer a distinct PLSCR4 cytosolic branch or TF.	true	true	false
M21A-PAIR-EVID-5655	M20A-EXT-3169	slurp1 chrna7	M21A-REUSE-2748	medium-high	high	PMID:29545933; PMCID:PMC5837762; DOI:10.18632/oncotarget.24312; PMID:34595181; PMCID:PMC8476798; DOI:10.3389/fcell.2021.739391; PMID:24365495; DOI:10.1016/j.jneuroim.2013.12.003	Exact modulatory SLURP1-CHRNA7 receptor-complex relay/function supports qualified-high promotion; preserve inhibitory versus modulatory direction and context-specific PDGFR/EGFR/NF-kappaB branches.	true	true	false
M21A-PAIR-EVID-5656	M20A-EXT-3173	snca lag3	M21A-REUSE-2749	medium-high	high	PMID:27708076; PMID:34172566	Exact pathogenic alpha-synuclein PFF-LAG3 binding/uptake and neuron-to-neuron toxicity function supports qualified-high promotion; preserve PFF conformers and do not transfer to monomeric SNCA or infer a canonical LAG3 relay.	true	true	false
M21A-PAIR-EVID-5657	M20A-EXT-3178	sost lrp4	M21A-REUSE-2750	medium-high	high	PMID:35099616; PMID:22696217	Exact extracellular SOST-LRP4 anchor/coreceptor-to-LRP5/6 WNT inhibition function supports qualified-high promotion; preserve LRP4 organizing topology and treat TCF/LEF as reporter output rather than a pair-specific TF.	true	true	false
