review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	primary_evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-CELLCHAT-REMAINING-0101	5-HT-TPH2_SLC6A4 Htr2c	reviewed_relay_candidate	PMID:10498829; PMCID:PMC3380724; DOI:10.1186/1471-2202-13-25	human HTR2C; mouse/rat comparator models	CHO-K1 cells expressing human HTR2C; stable HTR2C cell line	5-HT stimulation; intracellular Ca2+ and pERK assays; receptor-selective pharmacology	mature 5-HT activates HTR2C-Gq/11; TPH2 biosynthesis and SLC6A4 reuptake are not directly coupled to the receptor assay	receptor_proximal_relay	Gq/11→PLCβ→IP3/Ca2+→ERK	medium-high	Direct 5-HT-to-HTR2C signaling is supported in recombinant cells, but TPH2 production, SLC6A4 reuptake, release, and same-cell source-to-receptor coupling were not manipulated; no terminal TF.	—
M20A-CELLCHAT-REMAINING-0102	5-HT-TPH2_SLC6A4 HTR3_complex	reviewed_relay_candidate	PMID:11489465; DOI:10.1016/S0028-3908(01)00074-0; PMID:15831437; PMCID:PMC4548296; DOI:10.1124/jpet.105.085076	human HTR3A homomer and HTR3A/3B heteromer	HEK293 cells and Xenopus oocytes expressing human HTR3A or HTR3A/3B assemblies	5-HT-evoked whole-cell/two-electrode voltage-clamp currents; homomer versus heteromer pharmacology	mature 5-HT activates HTR3 ligand-gated cation-channel assemblies; TPH2 biosynthesis and SLC6A4 reuptake are not directly coupled to the receptor assay	receptor_proximal_relay	HTR3 complex→cation influx→membrane depolarization/transmitter release	medium-high	The receptor-complex node is composition-dependent; studies test HTR3A homomers and HTR3A/3B heteromers rather than every native HTR3 assembly; TPH2 production, SLC6A4 reuptake, and release were not manipulated; no terminal TF.	—
M20A-CELLCHAT-REMAINING-0103	5-HT-TPH2_SLC6A4 Htr4	reviewed_relay_candidate	PMID:27743992; PMID:9831890; PMCID:PMC1571008; DOI:10.1038/sj.bjp.0702163	human	Primary human adrenocortical cells; COS-7 cells expressing human HTR4	5-HT stimulation; cAMP/PKA and T-type Ca2+ assays; cortisol secretion; 5-HT-induced cAMP in HTR4-expressing COS-7 cells	mature 5-HT activates HTR4-Gs; TPH2 biosynthesis and SLC6A4 reuptake are not directly coupled to the receptor assay	receptor_proximal_relay	Gs→adenylyl cyclase→cAMP→PKA; T-type Ca2+→cortisol secretion	medium-high	Direct mature 5-HT-to-HTR4 relay and cellular output are supported, but TPH2 production, SLC6A4 reuptake, vesicular release, and same-cell source-to-receptor coupling were not manipulated; no terminal TF.	—
M20A-CELLCHAT-REMAINING-0104	5-HT-TPH2_SLC6A4 Htr5a	reviewed_relay_candidate	PMID:12558985; DOI:10.1046/j.1471-4159.2003.01518.x	human receptor; rat C6 glioma model	Undifferentiated rat C6 glioma cells stably expressing human HTR5A	5-HT stimulation; forskolin-cAMP; pertussis-toxin and G-protein blockade; IP3/Ca2+ measurements; patch clamp	mature 5-HT activates HTR5A-Gi/o; TPH2 biosynthesis and SLC6A4 reuptake are not directly coupled to the receptor assay	receptor_proximal_relay	Gi/o→adenylyl cyclase inhibition; IP3/Ca2+ store→K+ current	medium	Direct 5-HT receptor signaling was measured in a recombinant/overexpression context, but TPH2 production, SLC6A4 reuptake, and vesicular release were not manipulated; no terminal TF.	—
M20A-CELLCHAT-REMAINING-0105	5-HT-TPH2_SLC6A4 Htr6	reviewed_relay_candidate	PMID:16865095; PMCID:PMC1752021; DOI:10.1038/sj.bjp.0706827; PMID:9651336; DOI:10.1074/jbc.273.28.17469	rat and human HTR6	Rat HTR6-expressing cells; COS-7 cells expressing human HTR6; HEK293 receptor/adenylyl-cyclase coexpression	5-HT stimulation; cAMP assays; receptor mutagenesis; AC5/AC1/AC8 coexpression	mature 5-HT activates HTR6-Gs; TPH2 biosynthesis and SLC6A4 reuptake are not directly coupled to the receptor assay	receptor_proximal_relay	Gs→AC5→cAMP; Ca2+→AC1/AC8 branch	medium-high	Direct 5-HT-to-HTR6 relay is supported in recombinant systems, but TPH2 production, SLC6A4 reuptake, and vesicular release were not manipulated; no terminal TF.	—
M20A-CELLCHAT-REMAINING-0106	5-HT-TPH2_SLC6A4 Htr7	reviewed_relay_candidate	PMID:15339860; PMCID:PMC1575348; DOI:10.1038/sj.bjp.0705936; PMID:26482421; DOI:10.1016/j.neuropharm.2015.10.019	human and mouse	Human glioblastoma cell lines; mouse cerebellar slices/Purkinje cell synapses	5-HT stimulation and antagonist blockade in glioblastoma cells; HTR7 agonist/antagonist and synaptic-plasticity assays in mouse cerebellar slices	mature 5-HT activates HTR7-Gs; TPH2 biosynthesis and SLC6A4 reuptake are not directly coupled to the receptor assay	receptor_proximal_relay	Gs→cAMP; PKC→MAPK→cerebellar LTD	medium-high	Direct 5-HT-to-HTR7 cAMP signaling and receptor-dependent neuronal function are supported, but TPH2 production, SLC6A4 reuptake, and vesicular release were not manipulated; no terminal TF was directly measured.	—
M20A-CELLCHAT-REMAINING-0107	5alphaP-DHRS9 Pgr	reviewed_binding_only	PMID:832270; PMID:23209719; PMCID:PMC3507690; DOI:10.1371/journal.pone.0050350	human; elephant	Human mammary-carcinoma cytosol; recombinant human and elephant PR ligand-binding domains	5α-pregnane-3,20-dione/5α-dihydroprogesterone competition and in-vitro PR ligand-binding assays; PR sequence mutagenesis	5α-dihydroprogesterone binds PGR in species- and sequence-dependent fashion; DHRS9 production of the queued steroid was not coupled to PGR activation	ligand_receptor_binding_or_activation	5α-dihydroprogesterone→PGR ligand binding; genomic PGR output not directly tested	medium	Human PR binding is weaker than elephant PR binding and the queued DHRS9→5αP production step was not manipulated; antagonist-sensitive physiological effects are not treated as direct PGR transactivation; no terminal TF assigned.	—
M20A-CELLCHAT-REMAINING-0108	Ach-CHAT_SLC10A4 Chrm1	reviewed_relay_candidate	PMID:18272602; PMID:12591092	 rat; human	Cultured rat urothelial cells; HEK293T cells expressing human M1 receptor and KCNQ2/KCNQ3 channels	ACh/muscarinic agonist stimulation; subtype antagonists; PLC inhibitor U-73122; whole-cell M-current recordings	mature ACh/muscarinic agonism activates M1 Gq/11/PLC signaling; CHAT and SLC10A4 were not manipulated in the receptor assay	receptor_proximal_relay	Gq/11→PLCβ→IP3/Ca2+; KCNQ/M-current modulation	medium	M1-specific PLC evidence includes mixed native-subtype cells and recombinant agonist assays; CHAT biosynthesis, SLC10A4 handling, ACh release, and exact source-to-receptor coupling were not tested; no terminal TF.	—
M20A-CELLCHAT-REMAINING-0109	Ach-CHAT_SLC10A4 Chrm2	reviewed_relay_candidate	PMID:8751074; PMCID:PMC1576035; PMID:11250872	human receptor; rat	HEK cells stably expressing human M2; CHO cells expressing recombinant M2	ACh/carbachol/muscarinic agonist stimulation; forskolin-stimulated adenylyl cyclase; pertussis-toxin controls; receptor binding	mature ACh/muscarinic agonism activates M2 Gi/o and inhibits adenylyl cyclase; CHAT and SLC10A4 were not manipulated in the receptor assay	receptor_proximal_relay	Gi/o→adenylyl cyclase inhibition→reduced cAMP; context-dependent Gs/stimulatory component	medium-high	Direct M2 second-messenger relay is supported in recombinant cells, but CHAT biosynthesis, SLC10A4 handling, ACh release, and same-cell source-to-receptor coupling were not tested; agonist and receptor-density effects limit extrapolation; no terminal TF.	—
M20A-CELLCHAT-REMAINING-0110	Ach-CHAT_SLC10A4 Chrm3	reviewed_relay_candidate	PMID:8751074; PMID:18272602; PMID:12591092	human receptor; rat	HEK cells stably expressing human M3; cultured rat urothelial cells; HEK293T recombinant M3	ACh/muscarinic agonist stimulation; PLC inhibition; intracellular Ca2+ imaging; whole-cell M-current recordings	mature ACh/muscarinic agonism activates M3 Gq/11/PLC signaling; CHAT and SLC10A4 were not manipulated in the receptor assay	receptor_proximal_relay	Gq/11→PLCβ→IP3/Ca2+; KCNQ/M-current modulation	medium-high	Direct M3 PLC/Ca2+ relay is supported, but native urothelial responses contain multiple muscarinic subtypes; CHAT biosynthesis, SLC10A4 handling, ACh release, and same-cell source-to-receptor coupling were not tested; no terminal TF.	—
