review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-CELLCHAT-REMAINING-0445	E2-HSD17B1 Esr2	reviewed_function_only	PMID:25617485; PMID:8769313; DOI:10.1016/j.cbi.2015.01.008; https://pubmed.ncbi.nlm.nih.gov/?term=E2-HSD17B1+ESR2	human; mouse	human HSD17B1 transgenic ERE-luciferase mice; CHO cells expressing human ESR2	HSD17B1 expression or inhibition during E1 challenge; E2-driven ESR2 ERE-reporter transactivation	source-enzyme to E2 to ESR2 transcriptional response; composite route, not direct HSD17B1-ESR2 binding	downstream_pathway_function	estrogen synthesis and ESR2-dependent ERE transcription	medium	HSD17B1 converts E1 to E2 and increases aggregate estrogen-responsive reporter activity; ESR2 activation by E2 was measured in a separate receptor assay, so the composite CellChat edge is not a direct enzyme-receptor molecular interaction.	ESR2
M20A-CELLCHAT-REMAINING-0446	E2-HSD17B1 Gper1	reviewed_function_only	PMID:25617485; PMID:26998610; DOI:10.1016/j.cbi.2015.01.008; DOI:10.1371/journal.pone.0152138	human; mouse	human HSD17B1 transgenic mice; embryonic mouse hippocampal mHippoE-18 cells	HSD17B1/E1 conversion and inhibition; E2, G1, and antagonists with rapid cAMP and neuronal-response assays	source-enzyme to E2 to GPER1 functional response; composite route, not direct HSD17B1-GPER1 binding	downstream_pathway_function	estrogen synthesis to GPER1 rapid signaling	medium	The source-enzyme and receptor assays are separate; GPER1 signaling is supported by E2/G1 pharmacology, but no direct HSD17B1-GPER1 complex or terminal TF was measured.	—
M20A-CELLCHAT-REMAINING-0447	E2-HSD17B1 Nr1i2	reviewed_unresolved	PMID:25617485; https://pubmed.ncbi.nlm.nih.gov/?term=E2-HSD17B1+NR1I2; https://europepmc.org/search?query=E2-HSD17B1%20NR1I2	human; mouse	HSD17B1 transgenic estrogen-response models; exact NR1I2/PXR model not located	E1/E2 metabolism and estrogen reporter assays; no exact E2-NR1I2 ligand assay found	no qualifying exact composite edge	ligand_receptor_binding_or_activation	estrogen metabolism versus PXR/NR1I2 activation	low	HSD17B1-dependent E2 production does not establish E2 binding or activation of NR1I2/PXR; estrogen receptor cross-talk and family-level nuclear-receptor evidence were not transferred.	—
M20A-CELLCHAT-REMAINING-0448	Eda Eda2r	reviewed_relay_candidate	PMID:11035039; DOI:10.1074/jbc.M008356200; PMID:11570810; https://pubmed.ncbi.nlm.nih.gov/?term=EDA-A2+EDA2R	human; mouse	human/mouse XEDAR/EDA2R transfection systems; EDA-A2 ligand binding; TRAF perturbation; NF-kB/JNK reporter and kinase assays	EDA-A2 binding to EDA2R/XEDAR with receptor-proximal TRAF3/TRAF6 signaling	receptor_proximal_relay	EDA-A2-EDA2R to TRAF3/TRAF6 to canonical NF-kB and JNK	medium-high	The queued Eda symbol is an isoform-composite source; the exact ligand specificity is EDA-A2. NF-kB and JNK outputs were measured, but a single terminal NF-kB subunit was not resolved for this edge.	—
M20A-CELLCHAT-REMAINING-0449	Eda Edar	reviewed_relay_candidate	PMID:11035039; PMID:11570810; DOI:10.1074/jbc.M008356200; https://pubmed.ncbi.nlm.nih.gov/?term=EDA-A1+EDAR	human; mouse	human/mouse EDAR transfection and ligand-binding systems; EDAR mutants; TRAF and NF-kB/JNK assays	EDA-A1 binding to EDAR with EDAR death-domain/adaptor and TRAF-dependent relay	receptor_proximal_relay	EDA-A1-EDAR to EDARADD/TRAF6/TAK1 to NF-kB and JNK	medium-high	The Eda symbol combines isoforms; EDAR specificity is EDA-A1. The primary studies establish receptor-proximal pathway activation but do not justify a single terminal TF assignment for the composite row.	—
M20A-CELLCHAT-REMAINING-0451	Entpd1 Tmigd3	reviewed_unresolved	PMID:27886186; https://pubmed.ncbi.nlm.nih.gov/?term=ENTPD1+TMIGD3; https://europepmc.org/search?query=ENTPD1%20TMIGD3	human; mouse	TMIGD3 isoform and osteosarcoma RNAi models; ENTPD1/CD39 ectoenzyme systems	TMIGD3 isoform perturbation and ENTPD1 ATP/ADP hydrolysis literature; no exact pair assay	no qualifying exact composite edge	ligand_receptor_binding_or_activation	purinergic nucleotide metabolism versus TMIGD3 isoform biology	low	ENTPD1 enzymatically generates extracellular AMP/adenosine intermediates, while TMIGD3 has overlapping A3AR genomic context and isoform-specific functions; no direct ENTPD1-TMIGD3 binding or receptor-dependent assay was located.	—
M20A-CELLCHAT-REMAINING-0454	Esam Esam	reviewed_binding_only	PMID:11279107; DOI:10.1074/jbc.M100630200; PMID:16818677; PMID:19740102	human; mouse; hamster	human/mouse endothelial cells; ESAM-expressing CHO aggregation; ESAM-null mice; platelet and endothelial models	ESAM-expressing CHO cell aggregation; ESAM loss-of-function extravasation and thrombus phenotypes; NHERF1 interaction assays	homophilic ESAM-ESAM adhesion; functional vascular outputs retained separately	ligand_receptor_binding_or_activation	ESAM homophilic endothelial adhesion and junctional regulation	medium-high	Direct homophilic adhesion is established by aggregation assays. Knockout and scaffold studies support endothelial junction, neutrophil extravasation, and platelet functions but do not resolve an intracellular relay or terminal TF for the ESAM-ESAM contact.	—
M20A-CELLCHAT-REMAINING-0455	F11r F11r	reviewed_binding_only	PMID:12428104; PMID:15344881; PMID:40132981; DOI:10.1081/rrs-120034252	human; mouse	human platelets, HUVEC/HAEC, and mouse thrombosis models	immobilized recombinant F11R/JAM-A adhesion; soluble-F11R or blocking-peptide inhibition; flow and carotid-injury thrombus assays	homophilic F11R/JAM-A adhesion; PI3K/calcium and thrombus outputs are distinct functional observations	ligand_receptor_binding_or_activation	F11R/JAM-A homophilic adhesion in platelet-endothelial and platelet-platelet contacts	medium-high	The exact homophilic contact is supported by recombinant-protein inhibition and flow adhesion. Antibody crosslinking and platelet signaling studies do not prove that the homophilic contact itself uses the same intracellular pathway; no terminal TF was measured.	—
M20A-CELLCHAT-REMAINING-0456	F2 Pard3	reviewed_unresolved	PMID:9716134; PMID:10079109; https://pubmed.ncbi.nlm.nih.gov/?term=F2+PARD3	human; mouse	mouse PAR3-deficient platelets and human platelet receptor studies; PARD3 polarity-scaffold literature searched	thrombin activates protease-activated PAR3 encoded by F2RL2, not the PARD3 polarity scaffold	ligand_receptor_binding_or_activation	protease-activated receptor nomenclature boundary	low	The exact queued receptor symbol PARD3 is not the thrombin receptor gene F2RL2. PAR3/F2RL2 and PAR4 evidence cannot be transferred to F2-PARD3.	—
M20A-CELLCHAT-REMAINING-0457	Flrt1 Adgrl1	reviewed_binding_only	PMID:22405201; PMCID:PMC3326387; DOI:10.1016/j.neuron.2012.01.018; https://pubmed.ncbi.nlm.nih.gov/?term=FLRT1+LPHN1	human; mouse	recombinant FLRT and latrophilin ectodomains; affinity chromatography/mass spectrometry; cell-based adhesion assays	Direct FLRT1 ectodomain binding to ADGRL1/LPHN1; no exact FLRT1-ADGRL1 downstream perturbation	ligand_receptor_binding_or_activation	FLRT-ADGRL1 adhesion-GPCR trans-synaptic interaction	medium	O'Sullivan et al. report promiscuous binding of FLRT1-3 to LPHN1 and LPHN3, with strongest functional validation for FLRT3-LPHN3; this exact FLRT1-ADGRL1 edge is binding-supported but not functionally resolved.	—
M20A-CELLCHAT-REMAINING-0458	Flrt1 Adgrl2	reviewed_unresolved	PMID:22405201; PMID:25728924; https://pubmed.ncbi.nlm.nih.gov/?term=FLRT1+ADGRL2	human; mouse	recombinant FLRT/latrophilin literature and exact-pair search	family and isoform binding studies; no qualifying FLRT1-ADGRL2 assay located	no qualifying exact binding	ligand_receptor_binding_or_activation	FLRT-latrophilin isoform boundary	low	The primary FLRT-latrophilin studies support LPHN1/ADGRL1 and LPHN3/ADGRL3, not this exact ADGRL2 pair; family-level transfer is excluded.	—
M20A-CELLCHAT-REMAINING-0459	Flrt1 Adgrl3	reviewed_binding_only	PMID:22405201; PMCID:PMC3326387; DOI:10.1016/j.neuron.2012.01.018; https://pubmed.ncbi.nlm.nih.gov/?term=FLRT1+LPHN3	human; mouse	recombinant FLRT and LPHN3 ectodomains; affinity and cell-adhesion assays	Direct FLRT1 ectodomain binding to ADGRL3/LPHN3; no exact FLRT1-ADGRL3 functional output	ligand_receptor_binding_or_activation	FLRT-ADGRL3 adhesion-GPCR trans-synaptic interaction	medium	The primary study identifies FLRT1-3 as LPHN3 ligands but functionally validates synapse effects mainly through FLRT3-LPHN3; exact FLRT1-ADGRL3 downstream function remains unresolved.	—
M20A-CELLCHAT-REMAINING-0460	Flrt1 Flrt1	reviewed_unresolved	PMID:16440004; PMCID:PMC1456895; PMID:25374360; PMID:26633812	xenopus; mouse	xenopus FLRT-transfected cell sorting and co-immunoprecipitation; mouse FLRT structural and retinal biochemical studies	putative FLRT homotypic adhesion; exact FLRT1-FLRT1 self-binding not cleanly resolved	ligand_receptor_binding_or_activation	FLRT homophilic adhesion	low	Karaulanov et al. used FLRT3 as bait and detected FLRT1/2/3 family interactions, while later studies found FLRT homophilic binding weak, condition-sensitive, and likely cis-biased. Exact FLRT1-FLRT1 trans-binding is not established.	—
