evidence_id	review_id	pair_key	pathway_reuse_key	previous_tier	new_tier	source_locators	decision_basis	upstream_lr_confidence_unchanged	terminal_tf_status_unchanged	sql_materialization
M21A-PAIR-EVID-1162	M20A-CELLCHAT-REMAINING-0704	gaba-gad2_slc6a8 gabr_a1b2	M21A-REUSE-0725	medium	high	PMID:7815361; PMID:15946973; DOI:10.1111/j.1469-9568.1992.tb00103.x	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1163	M20A-CELLCHAT-REMAINING-0705	gaba-gad2_slc6a8 gabr_a1b2d	M21A-REUSE-0726	medium-high	high	PMID:18204487; PMCID:PMC2267270; DOI:10.1038/sj.bjp.0707665	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1164	M20A-CELLCHAT-REMAINING-0706	gaba-gad2_slc6a8 gabr_a1b2g2	M21A-REUSE-0727	medium-high	high	PMID:8757254; PMCID:PMC6578878; DOI:10.1523/JNEUROSCI.16-17-05415.1996; PMID:16339017	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1165	M20A-CELLCHAT-REMAINING-0707	gaba-gad2_slc6a8 gabr_a1b3	M21A-REUSE-0728	medium	high	PMID:8951718; PMCID:PMC1160919; DOI:10.1113/jphysiol.1996.sp021756; PMID:7815361	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1166	M20A-CELLCHAT-REMAINING-0708	gaba-gad2_slc6a8 gabr_a1b3g2	M21A-REUSE-0729	medium-high	high	PMID:8951718; PMCID:PMC1160919; DOI:10.1113/jphysiol.1996.sp021756; PMID:20176630; PMCID:PMC2872731	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1167	M20A-CELLCHAT-REMAINING-0709	gaba-gad2_slc6a8 gabr_a2b3g2	M21A-REUSE-0730	medium-high	high	PMID:22711532; PMCID:PMC3425235; DOI:10.3389/fnmol.2012.00035; PMID:9370445	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1168	M20A-CELLCHAT-REMAINING-0710	gaba-gad2_slc6a8 gabr_a3b3e	M21A-REUSE-0731	medium	high	PMID:22319471; PMID:16543268	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1169	M20A-CELLCHAT-REMAINING-0711	gaba-gad2_slc6a8 gabr_a3b3g2	M21A-REUSE-0732	medium-high	high	PMID:22319471; PMID:7766843; PMID:20074611	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1170	M20A-CELLCHAT-REMAINING-0712	gaba-gad2_slc6a8 gabr_a3b3q	M21A-REUSE-0733	medium	high	PMID:22319471	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
M21A-PAIR-EVID-1171	M20A-CELLCHAT-REMAINING-0713	gaba-gad2_slc6a8 gabr_a4b2d	M21A-REUSE-0734	medium-high	high	PMID:18227274; PMID:14966300; PMID:20337660; DOI:10.1111/j.1440-1681.2010.05374.x	Exact mature-ligand receptor-complex or connexin function supports qualified-high promotion at the supported receptor-proximal/downstream-function layer; source processing and native assembly boundaries are unchanged.	true	true	false
