review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	primary_evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-CELLCHAT-REMAINING-0180	ADR-PNMT_SLC18A2 Adrb2	reviewed_relay_candidate	PMID:10840035; PMID:16280323; PMID:11064152	human; rat	HEK293 cells with endogenous beta2AR; rat granulosa-derived cells expressing human beta2AR	isoproterenol/epinephrine stimulation; cAMP and ERK assays; beta-blocker, pertussis-toxin, PKA and beta-arrestin perturbations	beta2-adrenergic receptor agonist to Gs/cAMP and beta-arrestin/Rap1-B-Raf-ERK relay	receptor_proximal_relay	Gs to adenylyl cyclase/cAMP/PKA; beta-arrestin to ERK1/2	medium-high	The queued source is a catecholamine-processing/vesicular composite; PNMT or SLC18A2 was not manipulated in the receptor assays; no terminal TF was directly measured.	—
M20A-CELLCHAT-REMAINING-0181	ADR-PNMT_SLC18A2 Adrb3	reviewed_relay_candidate	PMID:14551227; PMID:19477016	mouse	cultured mouse brown adipocytes and 3T3-L1 adipocytes	NE or beta3-selective agonist stimulation; cAMP/PKA and PI3K/PKC inhibition; glucose uptake and CRE-reporter assays	beta3-adrenergic receptor to cAMP/PKA/PI3K-PKC metabolic relay	receptor_proximal_relay	Gs to cAMP/PKA to PI3K and conventional/novel PKC; CRE response	medium-high	Adrenergic stimulation was applied exogenously; PNMT/SLC18A2 production and release were not measured; CRE-reporter activation was not treated as direct TF assignment.	—
M20A-CELLCHAT-REMAINING-0182	Agt Agtr1b	reviewed_relay_candidate	PMID:7614710; PMID:12176659; PMID:24370594	rat; human	CHO cells expressing cloned rat AT1B; primary human breast epithelial cells; rat thick ascending limb	Ang II stimulation; IP3/Ca2+, PKC translocation, patch clamp, c-Src phosphorylation; losartan, PLC/PKC and NOX inhibition	AT1B receptor Gq/PLC/IP3-Ca2+/PKC relay with context-dependent Src and channel output	receptor_proximal_relay	Gq to PLC-beta to IP3/Ca2+ to PKC; PKC/NOX to Src	medium-high	The exact AT1B designation is directly tested in cloned-receptor pharmacology, while some downstream studies use native AT1R; no terminal TF was directly measured.	—
M20A-CELLCHAT-REMAINING-0183	Aldo-CYP11B2 Nr3c1	reviewed_unresolved	PMID:10373460; PMID:36789429; PMID:21354648	human; mouse	yeast/COS-7 receptor mutants; human GR/MR epithelial cell models	aldosterone binding/transactivation comparisons; GR knockout/co-expression and aldosterone-response assays	aldosterone/GR-MR cross-reactivity boundary; no qualifying wild-type direct Aldo-NR3C1 relay established	ligand_receptor_binding_or_activation	nuclear receptor overlap and MR-GR cooperativity	low	Aldosterone is primarily supported as an NR3C2 ligand; cited studies show context-dependent GR cooperation with MR rather than a clean direct Aldo-to-NR3C1 activation edge; CYP11B2 production was not manipulated.	—
M20A-CELLCHAT-REMAINING-0184	Aldo-CYP11B2 Nr3c2	reviewed_relay_candidate	PMID:15967794; PMID:32652691; PMID:24491541	 human; mouse	HEK293/MR reporter cells; mouse cortical collecting duct and distal convoluted tubular epithelial cells	aldosterone binding and receptor-activation assays; aldosterone-regulated gene expression; ChIP-seq and transcript response	aldosterone-activated mineralocorticoid receptor transcriptional relay	receptor_proximal_relay	NR3C2 nuclear translocation/DNA binding to GREs to SGK1/ENaC and other aldosterone-responsive genes	medium-high	The queued source includes the CYP11B2 biosynthetic enzyme; the receptor studies apply aldosterone directly and do not manipulate CYP11B2 flux; NR3C2 is the directly activated nuclear receptor/TF node.	NR3C2
M20A-CELLCHAT-REMAINING-0185	Amh AMHR2_ACVR1	reviewed_relay_candidate	PMID:11376112; PMID:20861221; PMCID:PMC7286617	mouse; human	Müllerian duct mesenchyme/epithelium; HEK293T receptor-reporter cells	Müllerian duct regression organ culture; Tlx-2 reporter; receptor perturbation and AMH processing/binding assays; HEK293T receptor-reporter assays	AMH-AMHR2/ACVR1 receptor-complex activation to BMP-SMAD relay	receptor_proximal_relay	AMHR2 to ACVR1 to SMAD1/5/8 to SMAD4 and Müllerian duct regression	medium-high	The receptor-complex node is retained explicitly; ACVR1 can be functionally redundant with other type-I receptors in some tissues; SMAD activation is direct, but the queued row does not specify all native type-I receptor composition.	SMAD1;SMAD5;SMAD8
M20A-CELLCHAT-REMAINING-0186	Androstenedione-CYP17A1 Ar	reviewed_relay_candidate	PMID:15522925; PMID:15336702; DOI:10.1210/jc.2004-1577	human; mouse	C3H10T1/2 mesenchymal cells; LNCaP and MDA-MB-453 cells; human AR ligand-binding domain	competitive AR binding; AR nuclear translocation; MMTV/PSA reporter and bicalutamide perturbation	androstenedione partial androgen-receptor agonism with nuclear transcriptional output	receptor_proximal_relay	AR ligand binding/nuclear translocation to androgen-response-element transcription and myogenic/prostate outputs	medium-high	Androstenedione is weaker than DHT and can be converted to testosterone; CYP17A1 production was not manipulated; AR is itself the directly activated TF node.	AR
M20A-CELLCHAT-REMAINING-0187	Androsterone-HSD17B6 Nr1h4	reviewed_unresolved	PMID:20026603; https://pubmed.ncbi.nlm.nih.gov/?term=androsterone+NR1H4	human; mouse; rat	FXR/NR1H4-expressing cell and endocrine models	exact androsterone-NR1H4 binding or transactivation search; CDCA/GW4064 FXR activation retained as a noncognate boundary	no qualifying exact androsterone-NR1H4 relay	ligand_receptor_binding_or_activation	FXR bile-acid ligand boundary	low	The retrieved primary FXR study uses CDCA or GW4064, not androsterone; HSD17B6 processing was not manipulated; no direct terminal TF assignment.	—
M20A-CELLCHAT-REMAINING-0188	Anxa1 Fpr-rs3	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=ANXA1+Fpr-rs3; PMCID:PMC3397896	mouse; human	mouse Fpr-related receptor literature and human FPR2/ALX comparator systems	exact ANXA1-Fpr-rs3 binding or receptor-dependent signaling search; human FPR2 comparator evidence	exact Fpr-rs3 edge unresolved	ligand_receptor_binding_or_activation	formyl-peptide receptor family boundary	low	FPR2/ALX evidence was not transferred to the distinct Fpr-rs3 receptor; no exact primary pair assay located.	—
M20A-CELLCHAT-REMAINING-0189	Anxa1 Fpr-rs4	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=ANXA1+Fpr-rs4; PMCID:PMC3397896	mouse; human	mouse Fpr-related receptor literature and human FPR2/ALX comparator systems	exact ANXA1-Fpr-rs4 binding or receptor-dependent signaling search; human FPR2 comparator evidence	exact Fpr-rs4 edge unresolved	ligand_receptor_binding_or_activation	formyl-peptide receptor family boundary	low	FPR2/ALX evidence was not transferred to the distinct Fpr-rs4 receptor; no exact primary pair assay located.	—
