expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-1055	M21B-DOWNSTREAM:00432	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phagocytosis_or_engulfment	transcription_factor|target_gene_expression	source_supported	NODE03973	GAS6	M21B-E000502	NODE06916	Mertk	M21B-E001069	NODE04426	GRB2					Gas6-MerTK pY867-Grb2 PI3K/PLCgamma2-dependent apoptotic-cell phagocytosis output	MERTK-pY867-GRB2	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000502;M21B-E001069;M21B-EVID-000445;M21B-EVID-001012;M21B-DOWNSTREAM-EVID:000734;PMID:18039660	M21B-DOWNSTREAM-EVID:000734	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1055	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phagocytosis_or_engulfment	as stated in primary model/assay	MerTK-mutant macrophage/HEK293 systems with Gas6, PI3K/PLCgamma2, FAK/p130Cas and apoptotic-cell phagocytosis assays	Gas6-MerTK activation; pY867-Grb2 receptor-proximal branch; engulfment output	no SCI transfer inferred; primary macrophage and engineered-cell models only	Bounded MerTK pY867-Grb2 route; preserve Gas6/phosphatidylserine and model limits.	Gas6 stimulation, MerTK Y867F mutation, receptor-mutant signaling and phagocytosis assays	unknown	composite_primary_evidence	PMID:18039660	MerTK Tyr867 controls PI3K/PLCgamma2-dependent cytoskeletal signaling and apoptotic-cell phagocytosis; PMID:18039660.	MerTK Tyr867 is required for PI3K/PLCgamma2 activation, FAK/p130Cas phosphorylation and apoptotic-cell phagocytosis.	No universal MerTK relay, terminal TF/target-gene or SCI function is inferred.	curated_primary_route	LITEXP:001055
M21B-LITEXP-1056	M21B-DOWNSTREAM:00434	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE04047	GDNF	M21B-E000322	NODE04068	GFRA1:RET receptor complex	M21B-E001074	NODE09450	PTPN11/SHP2					GDNF-GFRA1:RET pY687-SHP2 neuronal survival and neurite outgrowth output	RET-pY687-PTPN11	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000322;M21B-E001074;M21B-EVID-000265;M21B-EVID-001017;M21B-DOWNSTREAM-EVID:000739;PMID:20682772;PMCID:PMC2951258	M21B-DOWNSTREAM-EVID:000739	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1056	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	RET phosphopeptide/COS systems and GDNF/GFRalpha1 primary-neuron survival and neurite assays	GDNF-GFRA1:RET; pY687-SHP2 branch with cooperative pY1062 context; neuronal output	no SCI transfer inferred; neuronal comparator models only	SHP2 is a bounded RET pY687 continuation; distinguish it from pY1062-associated SHP2 complexes.	RET phosphopeptide pulldown, Y687F co-IP, GDNF stimulation and primary-neuron assays	unknown	composite_primary_evidence	PMID:20682772; PMCID:PMC2951258	SHP2 binds RET phospho-Tyr687 and contributes to GDNF-dependent neuronal survival and neurite outgrowth; PMID:20682772.	SHP2 interacts with RET pY687 and contributes to RET PI3K/AKT-dependent survival and neurite output.	No SCI, terminal TF or target-gene function is inferred.	curated_primary_route	LITEXP:001056
M21B-LITEXP-1057	M21B-DOWNSTREAM:00437	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE07522	MSP	M21B-E001075	NODE07533	MST1R/RON receptor	M21B-E001079	NODE03894	GAB1					MSP-RON pY1353-Gab1 AKT/MAPK/S6 and migration output	MST1R-pY1353-GAB1	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E001075;M21B-E001079;M21B-EVID-001018;M21B-EVID-001022;M21B-DOWNSTREAM-EVID:000744;PMID:21784853;PMCID:PMC3173233	M21B-DOWNSTREAM-EVID:000744	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1057	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human RON systems with MSP stimulation, adaptor assays, AKT/MAPK/S6 and migration readouts	Mature MSP-RON; pY1353-GAB1 branch; AKT/MAPK/S6 and migration output	no SCI transfer inferred; receptor-system comparator models only	GAB1 is a bounded RON pY1353 continuation; preserve mature MSP processing and context-dependent RON signaling.	MSP stimulation, RON phosphosite/adaptor assays and AKT/MAPK/S6/migration readouts	activating	composite_primary_evidence	PMID:21784853; PMCID:PMC3173233	RON phosphotyrosine sites recruit GAB1 and support downstream AKT/MAPK/S6 and migration responses; PMID:21784853.	MSP-activated RON pY1353 supports GAB1 association and AKT/MAPK/S6 and migration readouts.	No terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001057
M21B-LITEXP-1058	M21B-DOWNSTREAM:00438	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE07522	MSP	M21B-E001075	NODE07533	MST1R/RON receptor	M21B-E001080	NODE04426	GRB2					MSP-RON pY1360-Grb2 context-dependent AKT/MAPK/S6 output	MST1R-pY1360-GRB2	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E001075;M21B-E001080;M21B-EVID-001018;M21B-EVID-001023;M21B-DOWNSTREAM-EVID:000747;PMID:21784853;PMCID:PMC3173233	M21B-DOWNSTREAM-EVID:000747	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1058	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human RON systems with MSP stimulation, adaptor assays and AKT/MAPK/S6 readouts	Mature MSP-RON; pY1360-GRB2 branch; context-dependent AKT/MAPK/S6 output	no SCI transfer inferred; receptor-system comparator models only	GRB2 is a bounded RON pY1360 continuation; preserve processed MSP and phosphosite context.	MSP stimulation, RON phosphosite/adaptor assays and AKT/MAPK/S6 readouts	activating	composite_primary_evidence	PMID:21784853; PMCID:PMC3173233	MSP-activated RON pY1360 supports a GRB2-associated receptor-proximal branch; PMID:21784853.	MSP-activated RON pY1360 supports GRB2 association and context-dependent AKT/MAPK/S6 output.	No terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001058
M21B-LITEXP-1059	M21B-DOWNSTREAM:00443	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE06871	Mdk	M20B-E004218	NODE00438	Alk	M21B-E001087	NODE10257	SHC1					Mdk-Alk pY1507-Shc1 ERK activation and differentiation output	ALK-pY1507-SHC1	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M20B-E004218;M21B-E001087;M20B-EVID-004218;M21B-EVID-001030;M21B-DOWNSTREAM-EVID:000765;PMID:17274988	M21B-DOWNSTREAM-EVID:000765	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1059	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	as stated in primary model/assay	HEK293 wild-type/ALK-mutant antibody activation, Shc co-IP, ERK activation and PC12 differentiation assays	Mdk-Alk input with separately supported ALK pY1507-Shc1 docking; ERK/differentiation output	no SCI transfer inferred; engineered-cell and PC12 comparator models only	Composite Mdk-Alk plus ALK pY1507-Shc1 route; no direct Mdk-to-Shc1 causality or universal ALK ligand mechanism is asserted.	ALK antibody activation, tyrosine mutants, Shc co-IP, ERK and PC12 differentiation assays	unknown	composite_primary_evidence	PMID:17274988	ALK pY1507 is required for Shc association, ERK activation and PC12 differentiation; PMID:17274988.	ALK pY1507 is required for Shc association and ERK/differentiation output in antibody-activated systems; Mdk-Alk is a bounded composite input.	Preserve unresolved ligand-to-site linkage; no terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001059
M21B-LITEXP-1060	M21B-DOWNSTREAM:00447	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE10041	SCF	M21B-E000496	NODE06130	KIT	M21B-E001096	NODE09466	PTPN6/SHP1					SCF-KIT pY569-SHP1 negative-regulatory and proliferation output	KIT-pY569-PTPN6	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000496;M21B-E001096;M21B-EVID-000439;M21B-EVID-001039;M21B-DOWNSTREAM-EVID:000773;PMID:9528781;PMCID:PMC121439	M21B-DOWNSTREAM-EVID:000773	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1060	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	as stated in primary model/assay	Phosphorylated KIT receptor-tail GST/phosphopeptide binding and Ba/F3 KIT Y569F assays measuring SHP1 association and SCF proliferation	SCF-KIT activation; pY569-SHP1 docking; receptor regulation and proliferation output	no SCI transfer inferred; hematopoietic and engineered-cell comparator models only	SHP1 is a bounded KIT pY569 negative-regulatory continuation; distinguish pY567/pY569 from SHP2-associated sites.	KIT phosphopeptide binding, Y569F mutation, SHP1 association and SCF proliferation assays	unknown	composite_primary_evidence	PMID:9528781; PMCID:PMC121439	KIT pY569 is a major SHP1 docking site; loss of the site increases SCF-dependent proliferation; PMID:9528781.	Phosphorylated KIT pY569 supports SHP1 docking, while Y569F disrupts association and increases SCF-dependent proliferation.	No terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001060
M21B-LITEXP-1061	M21B-DOWNSTREAM:00461	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE01417	C1q/complement component 1q	M21B-E001118	NODE11376	TREM2	M21B-E001121	NODE05588	INPP5D/SHIP1					C1q-TREM2-DAP12 pY65-SHIP1 inhibitory PI3K/ERK/Ca2+ signaling output	TREM2-DAP12-pY65-INPP5D	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E001118;M21B-E001121;M21B-EVID-001061;M21B-EVID-001064;M21B-DOWNSTREAM-EVID:000808;PMID:37442133;PMID:20484116;PMCID:PMC2900152	M21B-DOWNSTREAM-EVID:000808	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1061	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	mouse and human comparator models	C1q-TREM2 binding systems plus mouse bone-marrow macrophage/pre-osteoclast and osteoclast DAP12 pY65/SHIP1 and PI3K/ERK/Vav/Ca2+ assays	C1q-TREM2 input with separately supported TREM2-DAP12 pY65-INPP5D/SHIP1 relay	no SCI transfer inferred; myeloid comparator models only	Composite C1q-TREM2 plus DAP12 pY65-SHIP1 route; no direct C1q-to-SHIP1 causality or productive signaling interpretation is asserted.	C1q-TREM2 binding/function combined with TREM2 ligation, DAP12 pY65 pull-down, SHIP1 recruitment and PI3K/ERK/Vav/Ca2+ readouts	unknown	composite_primary_evidence	PMID:20484116; PMCID:PMC2900152; DOI:10.1074/jbc.M110.112540	DAP12 pY65 recruits SHIP1/INPP5D and attenuates PI3K-associated signaling after TREM2 ligation; PMID:20484116.	DAP12 pY65 recruits SHIP1/INPP5D through SH2-dependent binding and attenuates PI3K-associated signaling after TREM2 ligation; C1q-TREM2 is a separate input layer.	SHIP1 is inhibitory/competitive, not a productive target; no terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001061
M21B-LITEXP-1062	M21B-DOWNSTREAM:00463	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE01417	C1q/complement component 1q	M21B-E000706	NODE01866	CD33/SIGLEC3	M21B-E001123	NODE09466	PTPN6/SHP1					C1q-CD33 pY340-SHP1 inhibitory calcium-signaling output	CD33-pY340-PTPN6	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E000706;M21B-E001123;M21B-EVID-000649;M21B-EVID-001066;M21B-DOWNSTREAM-EVID:000813;PMID:10206955;PMID:10887109;DOI:10.1074/jbc.274.17.11505	M21B-DOWNSTREAM-EVID:000813	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1062	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	human	Human THP-1/U937 CD33 mutant/phosphopeptide and CD64-coupled calcium assays; C1q-CD33/LAIR1 comparator systems	C1q-CD33 input with pY340-PTPN6/SHP1 inhibitory ITIM relay and calcium output	no SCI transfer inferred; human myeloid comparator models only	Composite C1q-CD33 plus dominant CD33 pY340-SHP1 route; no C1q-specific causality or microglial specificity is asserted.	C1q-CD33/LAIR1 binding and ITIM assays combined with CD33 mutants, phosphopeptides, SHP1 binding and calcium inhibition	inhibitory	composite_primary_evidence	PMID:10206955; PMID:10887109; DOI:10.1074/jbc.274.17.11505	CD33 pY340 supports dominant SHP1 recruitment and inhibitory calcium signaling; PMID:10206955; PMID:10887109.	CD33 pY340 assays support dominant SHP1 recruitment and inhibitory calcium signaling; C1q-CD33 is a separate composite input layer.	Preserve surrogate assay context; no natural ligand specificity, terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001062
M21B-LITEXP-1063	M21B-DOWNSTREAM:00464	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE01417	C1q/complement component 1q	M21B-E000706	NODE01866	CD33/SIGLEC3	M21B-E001124	NODE09450	PTPN11/SHP2					C1q-CD33 pY340-SHP2 inhibitory calcium-signaling output	CD33-pY340-PTPN11	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E000706;M21B-E001124;M21B-EVID-000649;M21B-EVID-001067;M21B-DOWNSTREAM-EVID:000814;PMID:10206955;PMID:10887109;DOI:10.1074/jbc.274.17.11505	M21B-DOWNSTREAM-EVID:000814	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1063	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	human	Human THP-1/U937 CD33 mutant/phosphopeptide and CD64-coupled calcium assays; C1q-CD33/LAIR1 comparator systems	C1q-CD33 input with pY340-PTPN11/SHP2 recruitment and calcium output	no SCI transfer inferred; human myeloid comparator models only	Composite C1q-CD33 plus CD33 pY340-SHP2 route; preserve the SHP1-dominant functional caveat.	C1q-CD33/LAIR1 assays combined with CD33 mutants, phosphopeptides, SHP2 binding and calcium readouts	inhibitory	composite_primary_evidence	PMID:10206955; PMID:10887109; DOI:10.1074/jbc.274.17.11505	CD33 pY340 supports SHP2 recruitment, while functional calcium inhibition is more strongly SHP1-dependent; PMID:10206955; PMID:10887109.	CD33 pY340 supports SHP2 recruitment; C1q-CD33 is a separate input layer and SHP1 remains the dominant functional inhibitor in the primary.	Promote SHP2 recruitment only; no terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001063
M21B-LITEXP-1064	M21B-DOWNSTREAM:00467	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|secreted_protein_or_release	transcription_factor|target_gene_expression	source_supported	NODE06715	MAG/myelin-associated glycoprotein	M21B-E002877	NODE09025	PIR-B/LILRB2	M21B-E001128	NODE09466	PTPN6/SHP1					MAG-PIR-B pY794/pY824-SHP1 inhibitory calcium and serotonin-release output	PIR-B-pY794-pY824-PTPN6	primary_literature_route_expansion	composite_primary_receptor_adaptor_route_output	M21B-E002877;M21B-E001128;M21B-EVID-002820;M21B-EVID-001071;M21B-DOWNSTREAM-EVID:000819;PMID:18988857;PMID:9482905;PMCID:PMC19370;DOI:10.1073/pnas.95.5.2446	M21B-DOWNSTREAM-EVID:000819	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1064	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	secreted_protein_or_release	mouse	Murine splenic B cells and PIR-B chimeric RBL mast cells with ITIM peptide binding, Y794F/Y824F mutants, BCR/FcεRI co-ligation, Ca2+ and serotonin-release inhibition; separate MAG-PIR-B systems	MAG-PIR-B input with PIR-B Y794/Y824 tandem ITIM-SHP1 inhibitory relay and release output	no SCI transfer inferred; murine immune and CNS myelin comparator models only	Composite MAG-PIR-B plus PIR-B Y794/Y824-SHP1 route; preserve immune and myelin contexts and do not infer a physiological ligand-to-site chain.	MAG-PIR-B binding and neurite assays combined with PIR-B ITIM peptide binding, mutants, co-ligation, calcium and serotonin-release assays	inhibitory	composite_primary_evidence	PMID:9482905; PMCID:PMC19370; DOI:10.1073/pnas.95.5.2446	PIR-B ITIM Y794/Y824 recruit SHP1 and mediate inhibitory signaling in B-cell and chimeric mast-cell assays; PMID:9482905; PMCID:PMC19370.	PIR-B Y794/Y824 recruit SHP1 and mediate inhibitory calcium and serotonin-release responses; MAG-PIR-B is a separate composite input layer.	No physiological PIR-B ligand, direct MAG-to-SHP1 causality, terminal TF, target gene or SCI function is inferred.	curated_primary_route	LITEXP:001064
