observation_id	context_id	source_system	source_database	source_record_type	source_record_key	source_version	modality	assay	measurement_kind	measured_entity_name	measured_entity_type	feature_id	value_numeric	value_text	value_kind	unit	direction_vs_control	comparator	biological_replicates	timepoint_value	timepoint_unit	perturbation	cell_type	sample_id	observation_status	evidence_role	dependency_group	source_artifact_path	source_artifact_sha256	source_locator	provenance_note
FLOW_MSCS_ITDB_000010__PSTAT3_IF	sci:protein:11929fde1f974fa2	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	marker localization	pSTAT3	phosphorylated_protein	Stat3		unknown	unreported		unknown				unknown	not_reported	unassigned or bulk sample		unknown	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010_UNSPECIFIED_TIMEPOINT:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""primary_source_checked_ambiguous"",""notes"":""Series parent retained; explicit child timepoint rows created by MTP_SPLIT_20260824: FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D. Do not use this parent row for timepoint-specific aggregation."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D	sci:protein:130f68a290c3d0f3	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	marker localization	pSTAT3	phosphorylated_protein	Stat3		decreased with Zeb2os knockdown versus control	qualitative		decreased with Zeb2os knockdown versus control			17.0	day	Moderate contusive SCI; Zeb2os knockdown versus control AAV endpoint	unassigned or bulk sample		reported	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_SPLIT_PSTAT3_IF_17D:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""primary_source_checked_not_reported"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Distance/treatment child rows created by ZEB2OS_F6_DIGITIZATION_20260824; parent remains non-aggregating."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C1200	sci:protein:49f45c6180e7f56d	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C1200	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	4.7		numeric	% of pSTAT3-immunoreactive area	reference_control	reference_control		17.0	day	Moderate contusive SCI; Control; AAV-transduced region; distance C1200	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__C1200:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C1200;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C1200	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C1200"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Control, C1200, approximately 4.7 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C400	sci:protein:3d3a92511e7ef660	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C400	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	9.9		numeric	% of pSTAT3-immunoreactive area	reference_control	reference_control		17.0	day	Moderate contusive SCI; Control; AAV-transduced region; distance C400	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__C400:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C400;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C400	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C400"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Control, C400, approximately 9.9 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C800	sci:protein:5792ff6952f668ac	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C800	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	4.6		numeric	% of pSTAT3-immunoreactive area	reference_control	reference_control		17.0	day	Moderate contusive SCI; Control; AAV-transduced region; distance C800	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__C800:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C800;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C800	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__C800"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Control, C800, approximately 4.6 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__Epi	sci:protein:faf9f579b3cf6217	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__Epi	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	10.6		numeric	% of pSTAT3-immunoreactive area	reference_control	reference_control		17.0	day	Moderate contusive SCI; Control; AAV-transduced region; distance Epi	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__Epi:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__Epi;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__Epi	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__Epi"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Control, Epi, approximately 10.6 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R1200	sci:protein:08267bc80fb9ba7c	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R1200	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	3.5		numeric	% of pSTAT3-immunoreactive area	reference_control	reference_control		17.0	day	Moderate contusive SCI; Control; AAV-transduced region; distance R1200	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__R1200:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R1200;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R1200	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R1200"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Control, R1200, approximately 3.5 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R400	sci:protein:2db3cc82c0cf010f	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R400	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	12.0		numeric	% of pSTAT3-immunoreactive area	reference_control	reference_control		17.0	day	Moderate contusive SCI; Control; AAV-transduced region; distance R400	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__R400:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R400;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R400	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R400"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Control, R400, approximately 12 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R800	sci:protein:28199ef491ebab92	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R800	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	9.2		numeric	% of pSTAT3-immunoreactive area	reference_control	reference_control		17.0	day	Moderate contusive SCI; Control; AAV-transduced region; distance R800	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__R800:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R800;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R800	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__CONTROL__R800"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Control, R800, approximately 9.2 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__ZEB2OS_KD__C1200	sci:protein:e928eebbb074d9f0	mSCS	flow_protein	protein_observation	FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__ZEB2OS_KD__C1200	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	mean pSTAT3-immunoreactive area	pSTAT3	phosphorylated_protein	Stat3	2.2		numeric	% of pSTAT3-immunoreactive area	decreased_vs_control			17.0	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C1200	unassigned or bulk sample		transcribed	dataset_observation	mSCS:flow_protein:FLOW_MSCS_ITDB_000010:FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__C1200:FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__ZEB2OS_KD__C1200;RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures;selected_view_line_observation_id=FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__ZEB2OS_KD__C1200	"{""canonical_observation_id"":""FLOW_MSCS_ITDB_000010__PSTAT3_IF__TP_17D__ZEB2OS_KD__C1200"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Child timepoint row split from parent FLOW_MSCS_ITDB_000010__PSTAT3_IF: 17 day; numeric value remains pending. Primary-source IF sweep IFSWEEP_20260824T020000Z: At 17 dpi, Zeb2os knockdown reduced pSTAT3-immunoreactive area in the AAV-transduced region. Fig. 6 reports n=4-6 for pSTAT3 quantification; the paper provides mean +/- SEM plots but no printed scalar values. Approximate figure-digitized child created by ZEB2OS_F6_DIGITIZATION_20260824: Figure 6D, Zeb2os KD, C1200, approximately 2.2 % of pSTAT3-immunoreactive area; n=4–6 per group. The source shows mean ± SEM; SEM was not separately digitized, and no exact printed scalar was available."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures"",""support_tier"":""B_direct_incomplete""}"
