context_id	study_id	injury_model	injury_level	injury_severity	sex	timepoint_value	timepoint_unit	tissue	injury_distance	injury_distance_unit	sample_scope	cell_type	experimental_condition	study_perturbation_status	protein_observation_count	protein_state_observation_count	protein_expression_observation_count	numeric_observation_count	missing_core_fields	missing_secondary_fields	core_context_completeness	secondary_context_completeness	refinement_priority
sci:protein:000abfc71149eb80	FLOW_SCI_344	in vivo contusion traumatic spinal cord injury at the T9 vertebral level	T9 vertebral level	multiple injury severities; exact impact parameters not extracted in current pass	not reported in current pass	3	day	ventral white matter and lesion-centered spinal cord			ventral/lateral white-matter tract and lesion-centered spinal cord	total neurofilament-positive axons	SCI	injury-severity comparison without molecular treatment	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:019d1146bb40c3cb	FLOW_SCI_400	cervical spinal cord hemi-contusion	cervical	graded cervical hemi-contusion; exact severity retained for later extraction	not reported in current extraction	7	day	cervical lesion and lesion rim			lesion-centered cervical spinal-cord sections	F4/80-positive microglia/macrophages	SCI; wild-type and Apoe knockout comparison	Apoe knockout versus wild-type; sham and injured controls	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:025df1fb4b920aae	FLOW_SCI_065	moderate contusion SCI	thoracic; exact level requires Methods extraction	moderate contusion; exact impact parameter requires Methods extraction	unknown	25	hours	lesion epicenter or uninjured T8 segment			whole_tissue	unassigned or bulk sample	SCI vehicle or rolipram versus uninjured control	rolipram treatment versus vehicle; treatment-stratified observational protein panel retained	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:02683e3b8e29e916	FLOW_SCI_044	clip compression SCI at T9/T10; vascular clip applied for 1 minute	T9/T10	complete hind-limb paralysis reported; exact clip force not extracted	female	4	days	lesion core and periphery			isolectin-B4-positive macrophages in SCI lesion core/periphery	lesional macrophages	SCI versus sham	none	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:02c827dfc20b422d	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	R400 relative to lesion epicenter (-400 µm)	-400	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R400	Zeb2os perturbation	1	1	0	1		sex;sample_count	9/9	3/5	medium
sci:protein:030093ce992492e6	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	24	hour	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Severe SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:03251d1512f89bf9	FLOW_SCI_217	spinal cord transection in CMV-BDNF26 transgenic and wild-type mice	not extracted	complete transection; exact level not captured	not extracted	28	day	ventral horn and lesion-associated spinal cord			mixed_cell_population	BDNF-positive spinal cord cells/fibers	BDNF-overexpression SCT versus WT SCT	constitutive BDNF overexpression transgene versus wild-type SCI	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:034014da8f521e28	FLOW_SCI_182	mid-thoracic contusive spinal cord injury	mid-thoracic	contusion; exact force not captured in first-pass extraction	unknown	3	day	vascular penumbra			LEA-positive spinal-cord microvessels/endothelial cells	LEA-positive microvessels/endothelial cells	SCI	Notch1 agonist antibody or Jagged1-Fc antagonist administered after SCI; receptor observations include untreated temporal context	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:0380358a512b6144	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	12	hour	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Moderate SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:041afd4f77c92da9	FLOW_MSCS_ITDB_000006	75 kdyne T9 contusion spinal cord injury	T9	75 kdyne contusion	young female mice	35	dpi	T9 contusion spinal cord; Figure 1 ROI			whole_tissue	unassigned or bulk sample	Vehicle	microglia depletion	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:046a9243ac366437	FLOW_SCI_173	Adult mouse spinal cord injury model using TrkBF616 mice and pharmacogenetic TrkB inhibition with 1NMP; exact injury level and contusion parameters pending extraction.	thoracic; exact level pending extraction	traumatic SCI; exact severity pending extraction	male and female; exact group counts pending extraction	34	day	lumbar spinal cord			bulk lumbar spinal-cord tissue	lumbar spinal cord tissue	SCI; TrkBF616 pharmacogenetic inhibition versus vehicle	TrkBF616 pharmacogenetic inhibition with 1NMP versus vehicle/wild-type controls	2	0	2	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:04d2fbcbeacab79a	FLOW_SCI_054	T12 compression spinal cord injury using a 50-g platform load	T12	50-g compression for 5 minutes over a 2 x 5 mm platform	male Sprague-Dawley rats, 10 weeks, 250-300 g	7	day	injury-site spinal cord leukocyte fraction			T12 injury-site spinal-cord tissue and sorted granulocyte-negative CD45lowCD11b+ microglia	granulocyte-negative CD45lowCD11b+ microglia	SCI versus sham; control- and LRCH1-shRNA-infected microglia transfer arms	LRCH1 knockdown in primary microglia followed by adoptive spinal injection; endogenous time course observational	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:054306f97ee855e8	FLOW_SCI_184	wild-type mouse thoracic spinal cord hemisection	thoracic; exact segment not captured in first-pass extraction	hemisection	unknown	14	day	lesion site and adjacent longitudinal cord			injury-adjacent spinal-cord tissue and astrocyte-associated lesion region	injured spinal cord section	SCI plus 2-week blocker treatment	ephrin-A5-Fc or EphA4-Fc receptor blockade versus PBS control	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:0556efc8f6148bdc	FLOW_SCI_141	thoracic contusion SCI in C57BL/6J mice	thoracic; exact vertebral level requires extraction	contusion; exact impact parameters require extraction	unknown	42	days	central canal ependymal-cell region and lesion-centered spinal cord			ependymal-cell-containing spinal-cord sections	central canal ependymal cells	SCI; control versus ependymal-cell-specific Il17ra deletion	IL-17A neutralization and ependymal-cell-specific Il17ra conditional deletion	1	0	1	0		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:05f9d3f602151f8b	FLOW_SCI_414	T9 contusion spinal cord injury using an Infinite Horizons impactor	T9	60 kdyn contusion	male and female adult mice; behavioral analysis female only	3	day	injury epicenter and surrounding spinal cord			PDGFRα-lineage GFP-positive spinal-cord OPCs	PDGFRalpha-GFP-positive or NG2-positive oligodendrocyte precursor cells	contusion SCI in control and Chd7-cKO mice	OPC-specific Chd7 deletion with matched reporter controls; intact and injured comparisons	3	0	3	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:062154a781f596f1	FLOW_SCI_031	complete spinal cord transection	between T9 and T10	complete transection	unknown	3	day	lesion epicenter			spatial tissue	Iba1-positive microglia/macrophages	SCI	IL-1 knockout versus wild-type mice	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
