observation_id	study_id	timepoint_id	population_id	protein	gene_symbol	assay	measurement_kind	protein_form	protein_resolution	extraction_status	evidence_grade	evidence_status	post_injury_value	timepoint_unit	tissue_region	injury_distance	injury_distance_unit	condition	perturbation_status	injury_model	injury_severity	injury_level	sex	reported_label	sample_scope	source_location	source_repository_accession	gap_reason
FLOW_MSCS_ITDB_000003__C3_IF	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__C3_IF__TP_0P5D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_C3_IF_0P5D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	0.5	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__C3_IF__TP_14D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_C3_IF_14D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	14.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__C3_IF__TP_1D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_C3_IF_1D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__C3_IF__TP_3D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_C3_IF_3D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__C3_IF__TP_60D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_C3_IF_60D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	60.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__C3_IF__TP_7D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_C3_IF_7D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	7.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__C3_IF__TP_90D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_C3_IF_90D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	C3	C3	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	90.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF__TP_0P5D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_GFAP_IF_0P5D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	0.5	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF__TP_14D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_GFAP_IF_14D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	14.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF__TP_1D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_GFAP_IF_1D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF__TP_3D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_GFAP_IF_3D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF__TP_60D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_GFAP_IF_60D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	60.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF__TP_7D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_GFAP_IF_7D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	7.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000003__GFAP_IF__TP_90D	FLOW_MSCS_ITDB_000003	FLOW_MSCS_ITDB_000003__TP_SPLIT_GFAP_IF_90D	FLOW_MSCS_ITDB_000003_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	90.0	day	near lesion epicenter			Mouse hemisection SCI; astrocyte immunofluorescence validation near the lesion epicenter	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Results and immunofluorescence figures; astrocyte-state marker validation		source_extraction_not_final
FLOW_MSCS_ITDB_000004__CD19_FLOW	FLOW_MSCS_ITDB_000004	FLOW_MSCS_ITDB_000004_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000004_UNASSIGNED_POPULATION	CD19	Cd19	flow_cytometry	cell frequency	surface protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	genetic Hif1alpha lineage/repopulation design	traumatic spinal cord injury				unassigned or bulk sample	unknown	IHC, IF, flow cytometry methods and figures		source_extraction_not_final
FLOW_MSCS_ITDB_000004__GFAP_IHC	FLOW_MSCS_ITDB_000004	FLOW_MSCS_ITDB_000004_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000004_UNASSIGNED_POPULATION	GFAP	Gfap	immunohistochemistry	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	genetic Hif1alpha lineage/repopulation design	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	IHC, IF, flow cytometry methods and figures		source_extraction_not_final
FLOW_MSCS_ITDB_000004__TMEM119_IF	FLOW_MSCS_ITDB_000004	FLOW_MSCS_ITDB_000004_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000004_UNASSIGNED_POPULATION	TMEM119	Tmem119	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	genetic Hif1alpha lineage/repopulation design	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	IHC, IF, flow cytometry methods and figures		source_extraction_not_final
