pair_key	pair_label_canonical	agent_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
il4 il4ra	Il4 Il4ra	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Il4%20Il4ra;https://europepmc.org/search?query=Il4%20Il4ra	human, mouse and recombinant cytokine-receptor systems	primary direct binding and receptor activation	The submitted cytokine and receptor complex are canonical members of the corresponding cytokine receptor system, with direct ligand binding and/or receptor-dependent functional signaling reported.	Several receptor subunits are shared across cytokine families and ligand processing, species, and receptor stoichiometry can affect activity.	aliases=Il4 Il4ra,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
il5 il5ra_csf2rb	Il5 Il5ra_csf2rb	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Il5%20Il5ra_csf2rb;https://europepmc.org/search?query=Il5%20Il5ra_csf2rb	human, mouse and recombinant cytokine-receptor systems	primary direct binding and receptor activation	The submitted cytokine and receptor complex are canonical members of the corresponding cytokine receptor system, with direct ligand binding and/or receptor-dependent functional signaling reported.	Several receptor subunits are shared across cytokine families and ligand processing, species, and receptor stoichiometry can affect activity.	aliases=Il5 Il5ra_csf2rb,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
il6 il6r_il6st	Il6 Il6r_il6st	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Il6%20Il6r_il6st;https://europepmc.org/search?query=Il6%20Il6r_il6st	human, mouse and recombinant cytokine-receptor systems	primary direct binding and receptor activation	The submitted cytokine and receptor complex are canonical members of the corresponding cytokine receptor system, with direct ligand binding and/or receptor-dependent functional signaling reported.	Several receptor subunits are shared across cytokine families and ligand processing, species, and receptor stoichiometry can affect activity.	aliases=Il6 Il6r_il6st,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
il7 il7r_il2rg	Il7 IL7R_IL2RG	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Il7%20IL7R_IL2RG;https://europepmc.org/search?query=Il7%20IL7R_IL2RG	human, mouse and recombinant cytokine-receptor systems	primary direct binding and receptor activation	The submitted cytokine and receptor complex are canonical members of the corresponding cytokine receptor system, with direct ligand binding and/or receptor-dependent functional signaling reported.	Several receptor subunits are shared across cytokine families and ligand processing, species, and receptor stoichiometry can affect activity.	aliases=Il7 IL7R_IL2RG,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
il9 il9r_il2rg	Il9 IL9R_IL2RG	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Il9%20IL9R_IL2RG;https://europepmc.org/search?query=Il9%20IL9R_IL2RG	human, mouse and recombinant cytokine-receptor systems	primary direct binding and receptor activation	The submitted cytokine and receptor complex are canonical members of the corresponding cytokine receptor system, with direct ligand binding and/or receptor-dependent functional signaling reported.	Several receptor subunits are shared across cytokine families and ligand processing, species, and receptor stoichiometry can affect activity.	aliases=Il9 IL9R_IL2RG,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
inhba acvr1b_acvr2a	Inhba Acvr1b_acvr2a	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Inhba%20Acvr1b_acvr2a;https://europepmc.org/search?query=Inhba%20Acvr1b_acvr2a;https://pubmed.ncbi.nlm.nih.gov/12385827/;https://europepmc.org/article/MED/12385827;https://pubmed.ncbi.nlm.nih.gov/2457849/;https://europepmc.org/article/MED/2457849;https://pubmed.ncbi.nlm.nih.gov/22991378/;https://europepmc.org/article/MED/22991378	human, mouse and recombinant activin/inhibin receptor systems	primary direct binding and receptor activation	Activin A/B ligands derived from INHBA or INHBB engage the submitted type-I/type-II activin receptor combinations and activate canonical SMAD signaling in binding and functional studies.	Ligand/receptor stoichiometry and receptor availability determine signaling; activin and inhibin nomenclature overlaps and should be checked against mature dimer composition.	aliases=Inhba Acvr1b_acvr2a,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
inhba acvr1b_acvr2b	Inhba Acvr1b_acvr2b	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Inhba%20Acvr1b_acvr2b;https://europepmc.org/search?query=Inhba%20Acvr1b_acvr2b;https://pubmed.ncbi.nlm.nih.gov/12385827/;https://europepmc.org/article/MED/12385827;https://pubmed.ncbi.nlm.nih.gov/2457849/;https://europepmc.org/article/MED/2457849;https://pubmed.ncbi.nlm.nih.gov/22991378/;https://europepmc.org/article/MED/22991378	human, mouse and recombinant activin/inhibin receptor systems	primary direct binding and receptor activation	Activin A/B ligands derived from INHBA or INHBB engage the submitted type-I/type-II activin receptor combinations and activate canonical SMAD signaling in binding and functional studies.	Ligand/receptor stoichiometry and receptor availability determine signaling; activin and inhibin nomenclature overlaps and should be checked against mature dimer composition.	aliases=Inhba Acvr1b_acvr2b,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
inhbb acvr1b_acvr2a	Inhbb Acvr1b_acvr2a	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Inhbb%20Acvr1b_acvr2a;https://europepmc.org/search?query=Inhbb%20Acvr1b_acvr2a;https://pubmed.ncbi.nlm.nih.gov/12385827/;https://europepmc.org/article/MED/12385827;https://pubmed.ncbi.nlm.nih.gov/2457849/;https://europepmc.org/article/MED/2457849;https://pubmed.ncbi.nlm.nih.gov/22991378/;https://europepmc.org/article/MED/22991378	human, mouse and recombinant activin/inhibin receptor systems	primary direct binding and receptor activation	Activin A/B ligands derived from INHBA or INHBB engage the submitted type-I/type-II activin receptor combinations and activate canonical SMAD signaling in binding and functional studies.	Ligand/receptor stoichiometry and receptor availability determine signaling; activin and inhibin nomenclature overlaps and should be checked against mature dimer composition.	aliases=Inhbb Acvr1b_acvr2a,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
inhbb acvr1b_acvr2b	Inhbb Acvr1b_acvr2b	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Inhbb%20Acvr1b_acvr2b;https://europepmc.org/search?query=Inhbb%20Acvr1b_acvr2b;https://pubmed.ncbi.nlm.nih.gov/12385827/;https://europepmc.org/article/MED/12385827;https://pubmed.ncbi.nlm.nih.gov/2457849/;https://europepmc.org/article/MED/2457849;https://pubmed.ncbi.nlm.nih.gov/22991378/;https://europepmc.org/article/MED/22991378	human, mouse and recombinant activin/inhibin receptor systems	primary direct binding and receptor activation	Activin A/B ligands derived from INHBA or INHBB engage the submitted type-I/type-II activin receptor combinations and activate canonical SMAD signaling in binding and functional studies.	Ligand/receptor stoichiometry and receptor availability determine signaling; activin and inhibin nomenclature overlaps and should be checked against mature dimer composition.	aliases=Inhbb Acvr1b_acvr2b,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
inhbb acvr1c_acvr2a	Inhbb Acvr1c_acvr2a	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Inhbb%20Acvr1c_acvr2a;https://europepmc.org/search?query=Inhbb%20Acvr1c_acvr2a;https://pubmed.ncbi.nlm.nih.gov/12385827/;https://europepmc.org/article/MED/12385827;https://pubmed.ncbi.nlm.nih.gov/2457849/;https://europepmc.org/article/MED/2457849;https://pubmed.ncbi.nlm.nih.gov/22991378/;https://europepmc.org/article/MED/22991378	human, mouse and recombinant activin/inhibin receptor systems	primary direct binding and receptor activation	Activin A/B ligands derived from INHBA or INHBB engage the submitted type-I/type-II activin receptor combinations and activate canonical SMAD signaling in binding and functional studies.	Ligand/receptor stoichiometry and receptor availability determine signaling; activin and inhibin nomenclature overlaps and should be checked against mature dimer composition.	aliases=Inhbb Acvr1c_acvr2a,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
