pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
e2-hsd17b1 gper1	E2-HSD17B1 Gper1	retain_low	https://pubmed.ncbi.nlm.nih.gov/19931550/;https://pubmed.ncbi.nlm.nih.gov/19442754/	human;mouse;recombinant GPER1 systems	direct mature estradiol-GPER1 binding/function;biosynthetic-context composite	The cited studies support mature 17beta-estradiol binding and signaling through GPER1, not an HSD17B1-containing ligand.	HSD17B1 is a steroid-converting enzyme and is not part of the mature receptor-binding ligand; membrane versus nuclear estrogen receptor context remains relevant.	Underlying E2-GPER1 evidence is real, but the submitted E2-HSD17B1 composite is contextual rather than the tested ligand.
eda edar	Eda Edar	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/21730053/;https://pubmed.ncbi.nlm.nih.gov/24391090/	human;mouse;dog;chicken;recombinant mammalian/avian receptor systems	direct ligand-receptor binding and receptor activation	EDA1/EDA-A1 receptor-binding-site assays and EDAR reporter/rescue studies support the EDA-EDAR relationship.	EDA alternative splicing is essential: EDA1 signals through EDAR whereas EDA2 preferentially targets XEDAR; species and agonist-antibody assays differ.	Exact EDA-EDAR binding and EDAR-dependent developmental function confirmed.
egf egfr	Egf Egfr	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/28988771/	human;recombinant EGFR systems	direct growth-factor binding and receptor dimerization/activation	The structural study directly compares EGF-bound EGFR dimers and shows ligand-dependent EGFR dimer stabilization and signaling kinetics.	EGFR dimer composition and ligand presentation affect stability and downstream kinetics.	Exact EGF-EGFR/ErbB1 structural receptor evidence checked.
ereg egfr	Ereg Egfr	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/14572630/;https://pubmed.ncbi.nlm.nih.gov/28988771/	human;recombinant ErbB systems	direct growth-factor binding and receptor dimerization/activation	Epiregulin is directly identified as a ligand for ErbB1/EGFR and is structurally shown to stabilize EGFR dimers.	Epiregulin is released from a membrane precursor and produces ligand-specific dimer stability and partial-agonist behavior.	Exact EREG-EGFR pair confirmed by binding/structure evidence.
ereg erbb4	Ereg Erbb4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/14572630/	human;recombinant ErbB4 systems	direct growth-factor binding	The primary epiregulin study explicitly identifies ErbB4/ErbB-4 as an EREG receptor and discusses receptor-binding affinity.	ErbB4 signaling can occur in heterodimers and epiregulin processing/presentation affects activity.	Exact EREG-ErbB4 ligand-receptor assignment confirmed.
esam esam	Esam Esam	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/11279107/	human;mouse;ESAM-expressing CHO cells	direct homophilic cell adhesion	ESAM-expressing cells aggregate in a direct cell-adhesion assay through homophilic ESAM interactions.	This is a membrane adhesion pair rather than a soluble signaling ligand-receptor interaction.	Exact ESAM-ESAM homophilic adhesion tested.
f11r f11r	F11r F11r	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/40132981/	human;mouse	direct homophilic adhesion and receptor-dependent function	Surface-bound and soluble F11R/JAM-A homophilic interactions were tested in platelet adhesion, thrombus, blocking-antibody, and mouse thrombosis assays.	JAM-A also has cis-dimerization and PDZ-scaffold functions; the submitted edge is homophilic, not heterophilic JAM adhesion.	Exact F11R/JAM-A self-interaction and functional consequence confirmed.
flrt1 flrt1	Flrt1 Flrt1	retain_low	https://pubmed.ncbi.nlm.nih.gov/16872596/	mouse;FLRT-family developmental systems	family-level homophilic cell-contact localization	The cited study reports all three FLRT proteins localizing homophilically at cell-cell contacts during mouse development, but does not provide an isolated FLRT1-FLRT1 binding or aggregation assay.	Family-wide localization does not establish the exact FLRT1 self-pair or distinguish cis from trans engagement.	Real FLRT homophilic context, but exact FLRT1-FLRT1 primary adhesion assay is unresolved.
flrt2 flrt2	Flrt2 Flrt2	retain_low	https://pubmed.ncbi.nlm.nih.gov/16872596/	mouse;FLRT-family developmental systems	family-level homophilic cell-contact localization	The cited study reports all three FLRT proteins localizing homophilically at cell-cell contacts during mouse development, but does not provide an isolated FLRT2-FLRT2 binding or aggregation assay.	Family-wide localization does not establish the exact FLRT2 self-pair or distinguish cis from trans engagement.	Real FLRT homophilic context, but exact FLRT2-FLRT2 primary adhesion assay is unresolved.
flrt3 flrt3	Flrt3 Flrt3	retain_low	https://pubmed.ncbi.nlm.nih.gov/16872596/	mouse;FLRT-family developmental systems	family-level homophilic cell-contact localization	The cited study reports all three FLRT proteins localizing homophilically at cell-cell contacts and discusses FLRT3 developmental biology, but does not provide an isolated FLRT3-FLRT3 binding or aggregation assay.	Family-wide localization does not establish the exact FLRT3 self-pair or distinguish cis from trans engagement.	Real FLRT homophilic context, but exact FLRT3-FLRT3 primary adhesion assay is unresolved.
