pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
nectin1 cd96	Nectin1 Cd96	approve_candidate	PMID:30759143; PMCID:PMC6373967	human	direct_primary_binding	Human nectin-1/PVRL1 and CD96 ectodomains were tested by ELISA and SPR, with the CD96 site mapped to the nectin-1 V domain; transfected K562/NK-92 assays provided receptor-dependent function.	The paper directly assays human proteins; mouse CD96-nectin-1 binding is discussed from prior work rather than tested here.	Exact ligand and receptor confirmed; direct binding and cell function, canonical V-domain interface.
nectin1 nectin3	Nectin1 Nectin3	approve_candidate	PMID:12011057	human	direct_primary_binding_adhesion	Purified nectin ectodomains were compared by kinetic binding assays and cell assays; nectin-1/nectin-3 is an exact V-to-V heterophilic adhesion interaction with measured affinity.	Affinity depends on nectin isoform presentation and cis/trans context.	Exact pair and adhesion assay confirmed; receptor is nectin-3, not a family-level substitute.
nectin1 nectin4	Nectin1 Nectin4	approve_candidate	PMID:12011057	human	direct_primary_binding_adhesion	Purified nectin ectodomains were compared by kinetic binding assays and cell assays; nectin-1/nectin-4 is an exact V-to-V heterophilic adhesion interaction with measured affinity.	Affinity is substantially weaker than nectin-1/nectin-3 and depends on ectodomain presentation.	Exact pair and adhesion assay confirmed.
nectin2 cd226	Nectin2 Cd226	retain_low	PMID:33298247; PMCID:PMC7851444	human;mouse	review_only	The cited source is a review that reports CD226/DNAM-1 recognition of nectin-2/PVRL2 in the checkpoint network.	No direct primary binding or activation assay for this pair is provided in the cited source; species and affinity details are review-level.	Real relationship, but citation is not a primary exact-pair source.
nectin2 tigit	Nectin2 Tigit	retain_low	PMID:33298247; PMCID:PMC7851444	human;mouse	review_only	The cited source is a review that reports TIGIT recognition of nectin-2/PVRL2 in the checkpoint network.	No direct primary binding or activation assay for this pair is provided in the cited source; receptor signaling context varies by species.	Real relationship, but citation is not a primary exact-pair source.
nectin3 nectin2	Nectin3 Nectin2	approve_candidate	PMID:10744716; PMID:12011057	human	direct_primary_binding_adhesion	The cited nectin primary study explicitly reports nectin-3 binding nectin-2, and the ectodomain/cell adhesion work supports a direct heterophilic trans interaction.	Nectin/PVR nomenclature and affinity depend on species and ectodomain orientation.	Exact pair confirmed by primary adhesion evidence.
nectin3 pvr	Nectin3 Pvr	approve_candidate	PMID:10744716; PMID:12011057	human	direct_primary_binding_adhesion	The primary nectin study explicitly reports nectin-3 binding PVR/CD155 in the heterophilic nectin trans-interaction network.	The cited work is primarily biochemical/adhesion evidence and does not establish immune-receptor signaling for this pair.	Exact nectin-3/PVR pair confirmed; PVR is the receptor-side adhesion partner here.
nectin3 tigit	Nectin3 Tigit	retain_low	PMID:33298247; PMCID:PMC7851444	human;mouse	review_only	The cited source is a review that lists TIGIT binding to nectin-3/PVRL3.	No primary exact-pair binding assay is supplied by the cited source, and the review notes a context-dependent interaction network.	Retain as real but review-only evidence.
negr1 negr1	Negr1 Negr1	approve_candidate	PMID:25057311; PMCID:PMC8997467	human;mouse	direct_primary_binding_adhesion	NEGR1 homophilic binding was tested with soluble NEGR1-Fc on NEGR1-expressing cells, alongside cell aggregation and glycosylation-mutant assays.	The strongest direct binding assay uses human NEGR1; GPI anchoring and glycosylation affect surface delivery and interaction strength.	Exact self-pair and homophilic adhesion confirmed; no heterophilic partner was substituted.
nodal acvr1c_acvr2b_cfc1	Nodal ACVR1C_ACVR2B_CFC1	retain_low	PMID:12052855	mouse;frog	direct_primary_binding_complex	The primary Nodal study supports Nodal/ALK7(ACVR1C) with ActRIIB(ACVR2B) and an EGF-CFC coreceptor in binding and reporter/reconstitution assays.	The cited paper uses Cripto terminology and does not unambiguously test the submitted CFC1/Cryptic chain as the exact coreceptor; human support is not direct.	Real composite receptor context, but exact CFC1 versus Cripto identity and chain notation require manual resolution.
