pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
ccl9 ccr1	Ccl9 Ccr1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/15905581/	mouse and human CCR1 assay systems	direct binding and receptor activation	CCL9/MIP-1gamma is an alternative CCR1 ligand; primary assays showed CCR1 agonism, chemotaxis, and enhanced activity after N-terminal processing.	Mature versus truncated CCL9 activity differs; source is ligand-processing and inflammation context.	Exact CCL9-CCR1 primary paper checked; not inferred from chemokine-family similarity.
cd160 tnfrsf14	Cd160 Tnfrsf14	approve_candidate	https://www.nature.com/articles/ni1554	human	direct binding and receptor-dependent inhibition	HVEM/TNFRSF14 bound CD160 and HVEM-transfected cells inhibited CD4 T-cell activation in a CD160-dependent manner.	HVEM can also engage BTLA; assay used human cells and receptor mutants.	Exact HVEM-CD160 interaction and CD160-dependent functional consequence confirmed.
cd1d1 ceacam5	Cd1d1 Ceacam5	approve_candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC3981948/	human	direct binding	CEACAM5 was shown to interact specifically with CD1d through its B3 domain in biochemical and cell-based assays.	Interaction is domain- and glycoprotein-context dependent; source focuses intestinal homeostasis.	Exact CEACAM5-CD1d pair, not a CEACAM-family proxy, is tested.
cd40lg cd40	Cd40lg Cd40	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/7681403/	human	direct binding and receptor activation	CD40-Fc bound activated human T-cell CD40 ligand with nanomolar affinity and the pair supported CD40-dependent activation biology.	Human activated-lymphocyte system; membrane presentation matters.	Exact CD40L-CD40 binding assay checked.
cd48 cd244a	Cd48 Cd244a	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/17950006/	mouse	direct binding and adhesion	The 2B4/CD244 receptor was structurally and biophysically characterized bound to CD48, including SPR measurements.	Mouse receptor-ligand system; signaling outcome depends on cellular context.	Exact CD48-CD244 complex and chain identity confirmed.
cd55 adgre5	Cd55 Adgre5	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/9064337/	human	direct adhesion	CD97/ADGRE5-transfected COS cells adhered specifically to CD55-positive cells; CD55-deficient erythrocytes failed to adhere and anti-CD55 blocked adhesion.	Original assay is cell adhesion and does not define all ADGRE5 splice isoforms.	Exact CD55-CD97 pair established in the primary paper.
cd6 alcam	Cd6 Alcam	approve_candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC2192054/	human	direct binding and adhesion	ALCAM-Fc bound CD6-transfected COS cells, establishing ALCAM as a direct CD6 ligand in cell-binding assays.	Species and construct context are human ALCAM/CD6 transfectants.	Exact CD6-ALCAM pair and adhesion assay confirmed.
cd80 cd274	Cd80 Cd274	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/29871885/	human	direct cis binding and receptor-dependent checkpoint modulation	PD-L1/CD274 bound B7-1/CD80 only in cis on the same cell surface, supported by cell, ELISA, flow, and NanoBiT assays.	This is cis binding; it does not establish a conventional trans-ligand interaction.	Exact CD80-CD274 pair confirmed with the required cis topology.
cd8a ceacam5	Cd8a Ceacam5	approve_candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC3981948/	human	direct binding and receptor-associated activation	CEACAM5 bound CD8alpha and activated the CD8-associated Lck pathway in the cited primary study.	The result is glycoprotein/domain dependent and uses human intestinal models.	Exact CEACAM5-CD8A interaction and downstream receptor-associated effect confirmed.
cd96 pvr	Cd96 Pvr	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/15034010/	human	direct adhesion and receptor-dependent cytotoxicity	CD96 promoted NK-cell target adhesion through interaction with poliovirus receptor/PVR/CD155 and supported cytotoxic function.	Cellular adhesion and cytotoxicity assays do not define all affinity or isoform details.	Exact CD96-PVR pair tested.
cd99 cd99	Cd99 Cd99	approve_candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC4438993/	mouse	direct homophilic adhesion	Murine CD99 transfectants underwent calcium-dependent homophilic aggregation that was blocked by anti-CD99.	Homophilic aggregation is species and glycoform dependent.	Exact CD99-CD99 self-interaction is demonstrated.
cd99 pilra	Cd99 Pilra	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/18209065/	mouse	direct glycan-dependent binding	PILRalpha/PILRA recognition of mouse CD99 required sialylated O-linked glycans and was tested as a specific receptor-ligand interaction.	Recognition depends on CD99 glycosylation and mouse species.	Exact CD99-PILRA pair and glycan requirement confirmed.
